 ******* Program HYDRUS
 ******* Evaporation Experiment - Ole Wendroth                                  
  
 Date:   1.10.    Time:  14:45:45
 Units: L = cm   , T = days , M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .60000E-03  .60000E-03    2     2    -4    -1     T
     2  .13890E-02  .78900E-03    2     4    -4    -1     T
     3  .19870E-02  .59800E-03    3     7    -4    -1     T
     4  .27622E-02  .77519E-03    2     9    -4    -1     T
     5  .37699E-02  .10077E-02    2    11    -4    -1     T
     6  .50464E-02  .12765E-02    2    13    -4    -1     T
     7  .68335E-02  .17871E-02    2    15    -4    -1     T
     8  .91311E-02  .22976E-02    2    17    -4    -1     T
     9  .11888E-01  .27572E-02    2    19    -4    -1     T
    10  .15565E-01  .36762E-02    2    21    -4    -1     T
    11  .19241E-01  .36762E-02    2    23    -4    -1     T
    12  .22917E-01  .36762E-02    2    25    -4    -1     T
    13  .23509E-01  .59232E-03    2    27    -4    -1     T
    14  .24291E-01  .78187E-03    2    29    -4    -1     T
    15  .25279E-01  .98762E-03    2    31    -4    -1     T
    16  .26646E-01  .13675E-02    2    33    -4    -1     T
    17  .28287E-01  .16410E-02    2    35    -4    -1     T
    18  .30397E-01  .21098E-02    2    37    -4    -1     T
    19  .33562E-01  .31647E-02    2    39    -4    -1     T
    20  .36727E-01  .31647E-02    2    41    -4    -1     T
    21  .43056E-01  .63295E-02    2    43    -4    -1     T
    22  .43656E-01  .60000E-03    2    45    -4    -1     T
    23  .44431E-01  .77483E-03    2    47    -4    -1     T
    24  .45438E-01  .10073E-02    2    49    -4    -1     T
    25  .46748E-01  .13095E-02    2    51    -4    -1     T
    26  .48474E-01  .17261E-02    2    53    -4    -1     T
    27  .50739E-01  .22655E-02    2    55    -4    -1     T
    28  .53571E-01  .28319E-02    2    57    -4    -1     T
    29  .57465E-01  .38939E-02    2    59    -4    -1     T
    30  .62008E-01  .45428E-02    2    61    -4    -1     T
    31  .67686E-01  .56785E-02    2    63    -4    -1     T
    32  .76204E-01  .85178E-02    2    65    -4    -1     T
    33  .84722E-01  .85178E-02    2    67    -4    -1     T
    34  .85322E-01  .60000E-03    2    69    -4    -1     T
    35  .86097E-01  .77485E-03    2    71    -4    -1     T
    36  .87104E-01  .10073E-02    2    73    -4    -1     T
    37  .88414E-01  .13095E-02    2    75    -4    -1     T
    38  .90140E-01  .17262E-02    2    77    -4    -1     T
    39  .92405E-01  .22656E-02    2    79    -4    -1     T
    40  .95237E-01  .28320E-02    2    81    -4    -1     T
    41  .99131E-01  .38940E-02    2    83    -4    -1     T
    42  .10367E+00  .45430E-02    2    85    -4    -1     T
    43  .10935E+00  .56787E-02    2    87    -4    -1     T
    44  .11787E+00  .85180E-02    2    89    -4    -1     T
    45  .12639E+00  .85180E-02    2    91    -4    -1     T
    46  .12699E+00  .60000E-03    2    93    -4    -1     T
    47  .12776E+00  .77485E-03    2    95    -4    -1     T
    48  .12877E+00  .10073E-02    2    97    -4    -1     T
    49  .13008E+00  .13095E-02    2    99    -4    -1     T
    50  .13181E+00  .17262E-02    2   101    -4    -1     T
    51  .13407E+00  .22656E-02    2   103    -4    -1     T
    52  .13690E+00  .28320E-02    2   105    -4    -1     T
    53  .14080E+00  .38940E-02    2   107    -4    -1     T
    54  .14534E+00  .45430E-02    2   109    -4    -1     T
    55  .15102E+00  .56787E-02    2   111    -4    -1     T
    56  .15954E+00  .85180E-02    2   113    -4    -1     T
    57  .16806E+00  .85180E-02    2   115    -4    -1     T
    58  .16866E+00  .60000E-03    2   117    -4    -1     T
    59  .16943E+00  .77638E-03    2   119    -4    -1     T
    60  .17045E+00  .10153E-02    2   121    -4    -1     T
    61  .17178E+00  .13304E-02    2   123    -4    -1     T
    62  .17347E+00  .16932E-02    2   125    -4    -1     T
    63  .17569E+00  .22223E-02    2   127    -4    -1     T
    64  .17847E+00  .27779E-02    2   129    -4    -1     T
    65  .18229E+00  .38196E-02    2   131    -4    -1     T
    66  .18764E+00  .53474E-02    2   133    -4    -1     T
    67  .19477E+00  .71299E-02    2   135    -4    -1     T
    68  .20190E+00  .71299E-02    2   137    -4    -1     T
    69  .20903E+00  .71299E-02    2   139    -4    -1     T
    70  .20963E+00  .60000E-03    2   141    -4    -1     T
    71  .21041E+00  .78556E-03    2   143    -4    -1     T
    72  .21143E+00  .10196E-02    2   145    -4    -1     T
    73  .21274E+00  .13028E-02    2   147    -4    -1     T
    74  .21442E+00  .16888E-02    2   149    -4    -1     T
    75  .21662E+00  .21954E-02    2   151    -4    -1     T
    76  .21960E+00  .29795E-02    2   153    -4    -1     T
    77  .22347E+00  .38733E-02    2   155    -4    -1     T
    78  .22845E+00  .49800E-02    2   157    -4    -1     T
    79  .23443E+00  .59760E-02    2   159    -4    -1     T
    80  .24240E+00  .79680E-02    2   161    -4    -1     T
    81  .25833E+00  .15936E-01    2   163    -4    -1     T
    82  .25893E+00  .59867E-03    2   165    -4    -1     T
    83  .25971E+00  .77555E-03    2   167    -4    -1     T
    84  .26072E+00  .10106E-02    2   169    -4    -1     T
    85  .26201E+00  .12935E-02    2   171    -4    -1     T
    86  .26374E+00  .17247E-02    2   173    -4    -1     T
    87  .26599E+00  .22554E-02    2   175    -4    -1     T
    88  .26900E+00  .30072E-02    2   177    -4    -1     T
    89  .27301E+00  .40096E-02    2   179    -4    -1     T
    90  .27802E+00  .50120E-02    2   181    -4    -1     T
    91  .28554E+00  .75179E-02    2   183    -4    -1     T
    92  .29306E+00  .75179E-02    2   185    -4    -1     T
    93  .29366E+00  .60000E-03    2   187    -4    -1     T
    94  .29443E+00  .77638E-03    2   189    -4    -1     T
    95  .29545E+00  .10153E-02    2   191    -4    -1     T
    96  .29678E+00  .13304E-02    2   193    -4    -1     T
    97  .29847E+00  .16932E-02    2   195    -4    -1     T
    98  .30069E+00  .22223E-02    2   197    -4    -1     T
    99  .30347E+00  .27779E-02    2   199    -4    -1     T
   100  .30729E+00  .38196E-02    2   201    -4    -1     T
   101  .31264E+00  .53474E-02    2   203    -4    -1     T
   102  .31977E+00  .71299E-02    2   205    -4    -1     T
   103  .32690E+00  .71299E-02    2   207    -4    -1     T
   104  .33403E+00  .71299E-02    2   209    -4    -1     T
   105  .33463E+00  .60000E-03    2   211    -4    -1     T
   106  .33540E+00  .77483E-03    2   213    -4    -1     T
   107  .33641E+00  .10073E-02    2   215    -4    -1     T
   108  .33772E+00  .13095E-02    2   217    -4    -1     T
   109  .33945E+00  .17261E-02    2   219    -4    -1     T
   110  .34171E+00  .22655E-02    2   221    -4    -1     T
   111  .34454E+00  .28319E-02    2   223    -4    -1     T
   112  .34844E+00  .38939E-02    2   225    -4    -1     T
   113  .35298E+00  .45428E-02    2   227    -4    -1     T
   114  .35866E+00  .56785E-02    2   229    -4    -1     T
   115  .36718E+00  .85178E-02    2   231    -4    -1     T
   116  .37569E+00  .85178E-02    2   233    -4    -1     T
   117  .37629E+00  .60000E-03    2   235    -4    -1     T
   118  .37707E+00  .77646E-03    2   237    -4    -1     T
   119  .37809E+00  .10154E-02    2   239    -4    -1     T
   120  .37942E+00  .13305E-02    2   241    -4    -1     T
