 ******* Program HYDRUS
 ******* Transient flow infolving hysteresis with solute transport              
  
 Date:   1.10.    Time:  15: 6:37
 Units: L = cm   , T = hours, M = -    



                             Node(  1)                      Node( 11)                      Node( 21)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          .000    -948.737   .0676     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .000    -713.060   .0694     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .000    -593.645   .0717     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .001    -478.152   .0748     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .001    -385.470   .0787     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .001    -311.410   .0834     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .001    -248.673   .0897     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .002    -179.063   .1023     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .003    -148.288   .1110     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .003    -120.972   .1222     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .004    -104.335   .1317     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .005     -82.997   .1495     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .006     -72.874   .1620     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .007     -63.333   .1751     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .008     -57.146   .1871     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .008     -52.870   .1954     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .009     -49.407   .2033     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .010     -45.955   .2127     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .011     -42.688   .2217     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .012     -39.747   .2303     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .013     -36.996   .2404     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .014     -34.437   .2498     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .017     -30.339   .2664     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .019     -28.010   .2770     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .020     -25.792   .2872     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .022     -24.080   .2958     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .024     -22.636   .3036     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .027     -20.407   .3154     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .030     -18.748   .3248     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .033     -17.297   .3329     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .036     -15.930   .3407     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .039     -14.875   .3466     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .042     -13.906   .3520     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .045     -13.004   .3571     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .048     -12.238   .3612     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .051     -11.510   .3650     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .054     -10.893   .3682     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .057     -10.299   .3712     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .060      -9.727   .3740     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .064      -9.093   .3770     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .068      -8.469   .3798     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .073      -7.757   .3830     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .079      -7.064   .3857     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .084      -6.427   .3881     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .089      -5.849   .3901     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .095      -5.320   .3918     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .100      -4.830   .3933     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .105      -4.361   .3945     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .110      -3.902   .3957     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .116      -3.486   .3966     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .121      -3.093   .3974     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .126      -2.711   .3980     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .131      -2.345   .3986     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .136      -1.998   .3991     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .142      -1.653   .3994     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .147      -1.315   .3997     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
          .152      -1.011   .4000     .000     -1050.000   .0659     .000     -1040.000   .0661     .000
