 ******* Program HYDRUS
 ******* Transient flow infolving hysteresis with solute transport              
  
 Date:   1.10.    Time:  15: 6:37
 Units: L = cm   , T = hours, M = -    


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .10000E-03  .10000E-03    3     3    -4    -5     T
     2  .20000E-03  .10000E-03    3     6    -4    -5     T
     3  .33000E-03  .13000E-03    3     9    -4    -5     T
     4  .50000E-03  .17000E-03    3    12    -4    -5     T
     5  .71857E-03  .21857E-03    3    15    -4    -5     T
     6  .98086E-03  .26229E-03    3    18    -4    -5     T
     7  .13306E-02  .34971E-03    3    21    -4    -5     T
     8  .20300E-02  .69943E-03    3    24    -4    -5     T
     9  .25200E-02  .49000E-03    3    27    -4    -5     T
    10  .31600E-02  .64000E-03    4    31    -4    -5     T
    11  .37100E-02  .55000E-03    3    34    -4    -5     T
    12  .48100E-02  .11000E-02    5    39    -4    -5     T
    13  .56400E-02  .83000E-03    4    43    -4    -5     T
    14  .65900E-02  .95000E-03    4    47    -4    -5     T
    15  .75400E-02  .95000E-03    4    51    -4    -5     T
    16  .82400E-02  .70000E-03    3    54    -4    -5     T
    17  .89400E-02  .70000E-03    3    57    -4    -5     T
    18  .98767E-02  .93667E-03    4    61    -4    -5     T
    19  .10813E-01  .93667E-03    3    64    -4    -5     T
    20  .11750E-01  .93667E-03    3    67    -4    -5     T
    21  .13005E-01  .12550E-02    4    71    -4    -5     T
    22  .14260E-01  .12550E-02    3    74    -4    -5     T
    23  .16770E-01  .25100E-02    4    78    -4    -5     T
    24  .18570E-01  .18000E-02    4    82    -4    -5     T
    25  .20383E-01  .18133E-02    3    85    -4    -5     T
    26  .22197E-01  .18133E-02    3    88    -4    -5     T
    27  .24010E-01  .18133E-02    3    91    -4    -5     T
    28  .27050E-01  .30400E-02    4    95    -4    -5     T
    29  .30090E-01  .30400E-02    4    99    -4    -5     T
    30  .33130E-01  .30400E-02    4   103    -4    -5     T
    31  .36170E-01  .30400E-02    4   107    -4    -5     T
    32  .39210E-01  .30400E-02    4   111    -4    -5     T
