 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Example 2 - Grass Field Problem (Hupselse Beek 1982)                  *
 *   Modified model of soil hydraulic parameters                        *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb)............. 176


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............      .000
 Saturated moisture content..........(WCS)............      .399
 First coefficient...................(ALPHA)..........      .030
 Second coefficeint..................(N)..............     1.600
 Saturated conductivity..............(CONDS).......... .1000E+02
 Pore conectivity factor.............(L)..............      .500


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............      .000
 Saturated moisture content..........(WCS)............      .339
 First coefficient...................(ALPHA)..........      .030
 Second coefficeint..................(N)..............     2.000
 Saturated conductivity..............(CONDS).......... .3000E+02
 Pore conectivity factor.............(L)..............      .500


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
     1     90.100    -25.338       1     1       .001344
     2     90.100     74.615       1     2       .001344
     3     90.100    169.535       1     3       .001344
     4     90.200    -25.609       1     1       .001344
     5     90.333    -26.033       1     1       .001344
     6     90.500    -26.541       1     1       .001344
     7     93.589    160.737       1     3       .001344
     8     95.100    -40.083       1     1       .001344
     9     95.100      -.026       3     2       .036790
    10     95.100      -.097       0     1       .000026
    11     95.100      -.163       0     2       .000026
    12     95.229    -40.354       1     1       .001344
    13     96.383     58.099       1     2       .001344
    14     98.383    158.527       1     3       .001344
    15    101.589    -27.820       1     1       .001344
    16    101.589     71.632       1     2       .001344
    17    102.100    169.269       1     3       .001344
    18    107.500    153.072       1     3       .001344
    19    110.000    -50.321       1     1       .001344
    20    110.000      -.020       3     2       .036790
    21    110.000     -2.200       0     1       .000026
    22    110.000      -.590       0     2       .000026
    23    111.000     48.191       1     2       .001344
    24    114.383    136.160       1     3       .001344
    25    116.383    -65.122       1     1       .001344
    26    116.383     36.622       1     2       .001344
    27    118.100    128.619       1     3       .001344
