 ******* Program HYDRUS
 ******* Example 2 - Grass Field Problem (Hupselse Beek 1982)                   
  
 Date:   1.10.    Time:  14:31:34
 Units: L = cm   , T = days , M = -    



                             Node( 10)                      Node( 20)                      Node( 30)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp   
        90.100     -25.338   .3698     .000        74.613   .3390     .000       169.530   .3390     .000
        90.200     -25.609   .3694     .000        74.351   .3390     .000       169.269   .3390     .000
        90.333     -26.031   .3688     .000        73.939   .3390     .000       168.858   .3390     .000
        90.500     -26.537   .3682     .000        73.442   .3390     .000       168.362   .3390     .000
        90.667     -27.054   .3675     .000        72.930   .3390     .000       167.851   .3390     .000
        90.833     -27.565   .3668     .000        72.425   .3390     .000       167.347   .3390     .000
        91.000     -28.076   .3661     .000        71.923   .3390     .000       166.846   .3390     .000
        91.100     -28.347   .3657     .000        71.642   .3390     .000       166.566   .3390     .000
        91.229     -28.703   .3653     .000        71.285   .3390     .000       166.210   .3390     .000
        91.383     -29.083   .3647     .000        70.895   .3390     .000       165.821   .3390     .000
        91.589     -29.568   .3641     .000        70.406   .3390     .000       165.332   .3390     .000
        92.000     -30.489   .3629     .000        69.488   .3390     .000       164.417   .3390     .000
        92.100     -30.737   .3626     .000        69.256   .3390     .000       164.185   .3390     .000
        92.229     -30.965   .3623     .000        69.007   .3390     .000       163.936   .3390     .000
        92.383     -31.289   .3619     .000        68.692   .3390     .000       163.622   .3390     .000
        92.589     -31.711   .3613     .000        68.278   .3390     .000       163.208   .3390     .000
        93.000     -32.560   .3602     .000        67.448   .3390     .000       162.380   .3390     .000
        93.098     -32.772   .3599     .000        67.248   .3390     .000       162.180   .3390     .000
        93.221     -33.181   .3594     .000        66.915   .3390     .000       161.848   .3390     .000
        93.405     -33.763   .3586     .000        66.378   .3390     .000       161.311   .3390     .000
        93.589     -34.367   .3579     .000        65.808   .3390     .000       160.742   .3390     .000
        93.794     -35.039   .3570     .000        65.158   .3390     .000       160.094   .3390     .000
        94.000     -35.703   .3561     .000        64.522   .3390     .000       159.459   .3390     .000
        94.250     -36.509   .3551     .000        63.740   .3390     .000       158.678   .3390     .000
        94.625     -38.172   .3530     .000        62.249   .3390     .000       157.189   .3390     .000
        95.000     -39.737   .3510     .000        60.772   .3390     .000       155.715   .3390     .000
        95.100     -40.146   .3505     .000        60.383   .3390     .000       155.327   .3390     .000
        95.229     -40.416   .3502     .000        59.981   .3390     .000       154.925   .3390     .000
        95.357     -40.721   .3498     .000        59.617   .3390     .000       154.562   .3390     .000
        95.518     -41.044   .3494     .000        59.236   .3390     .000       154.182   .3390     .000
        95.759     -41.517   .3489     .000        58.725   .3390     .000       153.671   .3390     .000
        96.000     -41.968   .3483     .000        58.253   .3390     .000       153.200   .3390     .000
        96.096     -42.074   .3482     .000        58.092   .3390     .000       153.039   .3390     .000
        96.239     -41.872   .3484     .000        58.020   .3390     .000       152.967   .3390     .000
        96.383     -41.650   .3487     .000        58.047   .3390     .000       152.994   .3390     .000
        96.537     -41.327   .3491     .000        58.199   .3390     .000       153.146   .3390     .000
        96.769     -40.796   .3497     .000        58.593   .3390     .000       153.539   .3390     .000
        97.000     -40.237   .3504     .000        59.077   .3390     .000       154.023   .3390     .000
        97.100     -39.930   .3508     .000        59.319   .3390     .000       154.265   .3390     .000
        97.229     -39.584   .3512     .000        59.658   .3390     .000       154.602   .3390     .000
        97.383     -39.051   .3519     .000        60.133   .3390     .000       155.077   .3390     .000
        97.589     -38.309   .3528     .000        60.838   .3390     .000       155.781   .3390     .000
        98.000     -36.732   .3548     .000        62.428   .3390     .000       157.369   .3390     .000
        98.096     -36.472   .3551     .000        62.755   .3390     .000       157.695   .3390     .000
        98.239     -36.128   .3556     .000        63.198   .3390     .000       158.138   .3390     .000
        98.383     -35.899   .3559     .000        63.538   .3390     .000       158.477   .3390     .000
        98.537     -35.696   .3561     .000        63.825   .3390     .000       158.764   .3390     .000
        98.769     -35.453   .3565     .000        64.140   .3390     .000       159.078   .3390     .000
        99.000     -35.225   .3568     .000        64.408   .3390     .000       159.346   .3390     .000
        99.100     -35.091   .3569     .000        64.533   .3390     .000       159.470   .3390     .000
        99.229     -34.882   .3572     .000        64.714   .3390     .000       159.651   .3390     .000
        99.383     -34.590   .3576     .000        64.973   .3390     .000       159.909   .3390     .000
        99.589     -34.168   .3581     .000        65.372   .3390     .000       160.308   .3390     .000
       100.000     -33.278   .3593     .000        66.258   .3390     .000       161.192   .3390     .000
       100.100     -33.049   .3596     .000        66.479   .3390     .000       161.413   .3390     .000
       100.229     -32.735   .3600     .000        66.788   .3390     .000       161.722   .3390     .000
       100.383     -32.342   .3605     .000        67.176   .3390     .000       162.109   .3390     .000
