 ******* Program HYDRUS
 ******* Example 2 - Grass Field Problem (Hupselse Beek 1982)                   
  
 Date:   1.10.    Time:  14:31:34
 Units: L = cm   , T = days , M = -    


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .90100E+02  .10000E+00    2     2    -4    -7     T
     2  .90200E+02  .99998E-01    2     4    -4    -7     T
     3  .90333E+02  .13300E+00    2     6    -4    -7     T
     4  .90500E+02  .16700E+00    2     8    -4    -7     T
     5  .90667E+02  .16667E+00    2    10    -4    -7     T
     6  .90833E+02  .16667E+00    2    12    -4    -7     T
     7  .91000E+02  .16667E+00    2    14    -4    -7     T
     8  .91100E+02  .10000E+00    2    16    -4    -7     T
     9  .91229E+02  .12857E+00    2    18    -4    -7     T
    10  .91383E+02  .15429E+00    2    20    -4    -7     T
    11  .91589E+02  .20571E+00    2    22    -4    -7     T
    12  .92000E+02  .41143E+00    2    24    -4    -7     T
    13  .92100E+02  .10000E+00    2    26    -4    -7     T
    14  .92229E+02  .12857E+00    2    28    -4    -7     T
    15  .92383E+02  .15429E+00    2    30    -4    -7     T
    16  .92589E+02  .20571E+00    2    32    -4    -7     T
    17  .93000E+02  .41143E+00    2    34    -4    -7     T
    18  .93098E+02  .98166E-01    2    36    -4    -7     T
    19  .93221E+02  .12271E+00    2    38    -4    -7     T
    20  .93405E+02  .18406E+00    2    40    -4    -7     T
    21  .93589E+02  .18406E+00    2    42    -4    -7     T
    22  .93794E+02  .20550E+00    2    44    -4    -7     T
    23  .94000E+02  .20551E+00    2    46    -4    -7     T
    24  .94250E+02  .25000E+00    2    48    -4    -7     T
    25  .94625E+02  .37500E+00    2    50    -4    -7     T
    26  .95000E+02  .37500E+00    2    52    -4    -7     T
    27  .95100E+02  .99998E-01    2    54    -4    -7     T
    28  .95229E+02  .12900E+00    2    56    -4    -7     T
    29  .95357E+02  .12850E+00    2    58    -4    -7     T
    30  .95518E+02  .16063E+00    2    60    -4    -7     T
    31  .95759E+02  .24094E+00    2    62    -4    -7     T
    32  .96000E+02  .24094E+00    2    64    -4    -7     T
    33  .96096E+02  .95751E-01    2    66    -4    -7     T
    34  .96239E+02  .14363E+00    2    68    -4    -7     T
    35  .96383E+02  .14362E+00    2    70    -4    -7     T
    36  .96537E+02  .15425E+00    2    72    -4    -7     T
