 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Solute Transport with Nitrification Chain                             *
 *Parameter Estimation of Soil Hydraulic Properties                     *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb).............  93


 Solute transport parameters
 ===========================
 Bulk density........................(RO).............  .100E+04
 Longitudinal dispersivity...........(DISP)...........  .000E+00
 Type-1 adsorption sites fraction....(FRAC)...........  .100E+01
 Diffusion in water..................(DIFW)...........  .000E+00
 Diffusion in gas....................(DIFG)...........  .180E+00
 First adsorption coefficient........(KD).............  .000E+00
 Second adsorption coefficient.......(NU).............  .100E-03
 Third adsorption coefficient........(BETA)...........  .000E+00
 Henry law constant..................(HENRY)..........  .100E+01
 First-order reaction (liquid).......(SNKL1)..........  .000E+00
 First-order reaction (solid)........(SNKS1)..........  .000E+00
 first-order reaction (gas)..........(SNKG1)..........  .000E+00
 Chain first-order reaction (liquid).(SNKL1`).........  .000E+00
 Chain first-order reaction (solid)..(SNKS1`).........  .200E-02
 Chain first-order reaction (gas)....(SNKG1`).........  .200E-02
 Zero-order reaction (liquid)........(SNKL0)..........  .000E+00
 Zero-order reaction (solid).........(SNKS0)..........  .000E+00
 Zero-order reaction (gas)...........(SNKG0)..........  .000E+00
 Mass-transfer coefficient...........(ALPHA)..........  .000E+00
===========================
 Bulk density........................(RO).............  .000E+00
 Longitudinal dispersivity...........(DISP)........... 


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
     1     10.234   .100E-29       4     1       .423955
     2     12.664   .129E-29       4     1       .423955
     3     15.364   .140E-27       4     1       .423955
     4     18.334   .893E-25       4     1       .423955
     5     21.304   .347E-22       4     1       .423955
     6     25.084   .286E-19       4     1       .423955
     7     30.754   .129E-15       4     1       .423955
     8     35.074   .263E-13       4     1       .423955
     9     40.204   .562E-11       4     1       .423955
    10     45.064   .417E-09       4     1       .423955
    11     50.000   .176E-07       4     1       .423955
    12     55.153   .497E-06       4     1       .423955
    13     60.283   .846E-05       4     1       .423955
    14     65.413   .945E-04       4     1       .423955
    15     70.003   .597E-03       4     1       .423955
    16     75.133   .341E-02       4     1       .423955
    17     80.263       .014       4     1       .423955
    18     81.613       .020       4     1       .423955
    19     83.233       .029       4     1       .423955
    20     84.583       .039       4     1       .423955
    21     85.933       .052       4     1       .423955
    22     87.013       .064       4     1       .423955
    23     87.823       .074       4     1       .423955
    24     88.633       .085       4     1       .423955
    25     89.443       .097       4     1       .423955
    26     90.253       .111       4     1       .423955
    27     91.333       .131       4     1       .423955
    28     92.143       .147       4     1       .423955
    29     92.683       .159       4     1       .423955
    30     93.223       .171       4     1       .423955
    31     93.763       .183       4     1       .423955
    32     94.303       .196       4     1       .423955
    33     94.843       .209       4     1       .423955
    34     95.383       .223       4     1       .423955
    35     95.923       .237       4     1       .423955
    36     96.463       .251       4     1       .423955
    37     97.003       .265       4     1       .423955
    38     97.543       .280       4     1       .423955
    39     98.083       .295       4     1       .423955
    40     98.623       .310       4     1       .423955
    41     99.163       .325       4     1       .423955
    42     99.703       .340       4     1       .423955
    43    100.000       .348       4     1       .423955
    44    100.567       .364       4     1       .423955
    45    101.110       .379       4     1       .423955
    46    101.650       .394       4     1       .423955
    47    102.190       .408       4     1       .423955
    48    102.730       .422       4     1       .423955
    49    103.270       .436       4     1       .423955
    50    103.810       .449       4     1       .423955
    51    104.350       .463       4     1       .423955
    52    104.890       .475       4     1       .423955
    53    105.430       .487       4     1       .423955
    54    105.970       .499       4     1       .423955
    55    106.510       .510       4     1       .423955
    56    107.050       .520       4     1       .423955
    57    107.590       .530       4     1       .423955
    58    108.130       .539       4     1       .423955
    59    108.670       .548       4     1       .423955
    60    109.210       .556       4     1       .423955
    61    109.750       .564       4     1       .423955
    62    110.290       .571       4     1       .423955
    63    110.830       .577       4     1       .423955
    64    111.370       .583       4     1       .423955
    65    111.910       .588       4     1       .423955
    66    112.720       .594       4     1       .423955
    67    113.260       .598       4     1       .423955
    68    113.800       .602       4     1       .423955
    69    114.340       .605       4     1       .423955
    70    114.880       .607       4     1       .423955
    71    115.420       .609       4     1       .423955
    72    115.960       .611       4     1       .423955
    73    116.500       .612       4     1       .423955
    74    117.040       .614       4     1       .423955
    75    117.580       .614       4     1       .423955
    76    118.120       .615       4     1       .423955
