 ******* Program HYDRUS
 ******* Solute Transport with Nitrification Chain                              
  
 Date:   1.10.    Time:  14:30:40
 Units: L = cm   , T = hours, M = -    
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   20    .000  .10000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
 
     F     F     F     F     F     F     F     F     F     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1       .000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
   2     -1.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
   3     -2.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
   4     -3.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
   5     -4.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
   6     -5.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
   7     -6.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
   8     -7.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
   9     -8.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  10     -9.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  11    -10.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  12    -11.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  13    -12.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  14    -13.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  15    -14.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  16    -15.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  17    -16.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  18    -17.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  19    -18.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  20    -19.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  21    -20.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  22    -21.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  23    -22.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  24    -23.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  25    -24.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  26    -25.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  27    -26.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  28    -27.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  29    -28.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  30    -29.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  31    -30.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  32    -31.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  33    -32.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  34    -33.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  35    -34.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  36    -35.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  37    -36.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  38    -37.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  39    -38.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  40    -39.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  41    -40.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  42    -41.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  43    -42.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  44    -43.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  45    -44.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  46    -45.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  47    -46.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  48    -47.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  49    -48.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
