 ******* Program HYDRUS
 ******* Solute Transport with Nitrification Chain                              
  
 Date:   1.10.    Time:  14:30:40
 Units: L = cm   , T = hours, M = -    



                             Node( 50)                                 Node(100)                                 Node(150)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
         1.000        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         1.385        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         1.876        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         2.433        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         2.953        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         3.499        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         4.017        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         4.565        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         5.080        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         5.628        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         6.140        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         6.689        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         7.196        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         7.702        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         8.209        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         8.715        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         9.221        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
         9.728        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
        10.234        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
        10.785        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
        11.255        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
        11.725        .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00          .000  1.0000   20.000   .000E+00
