 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption                      
  
 Date:   8. 7.    Time:  19:20:18
 Units: L = cm   , T = days , M = mmol 



                             Node(  1)                                 Node( 11)                                 Node( 21)                                 Node( 31)                                 Node( 44)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
          .002        .000   .6330   20.000   .666E+00          .000   .6330   20.000   .879E-06          .000   .6330   20.000   .136E-11          .000   .6330   20.000   .210E-17          .000   .6330   20.000   .276E-24
          .003        .000   .6330   20.000   .796E+00          .000   .6330   20.000   .262E-05          .000   .6330   20.000   .408E-11          .000   .6330   20.000   .631E-17          .000   .6330   20.000   .828E-24
          .004        .000   .6330   20.000   .907E+00          .000   .6330   20.000   .754E-05          .000   .6330   20.000   .122E-10          .000   .6330   20.000   .190E-16          .000   .6330   20.000   .249E-23
          .005        .000   .6330   20.000   .100E+01          .000   .6330   20.000   .203E-04          .000   .6330   20.000   .366E-10          .000   .6330   20.000   .569E-16          .000   .6330   20.000   .747E-23
          .006        .000   .6330   20.000   .111E+01          .000   .6330   20.000   .661E-04          .000   .6330   20.000   .166E-09          .000   .6330   20.000   .268E-15          .000   .6330   20.000   .352E-22
          .008        .000   .6330   20.000   .121E+01          .000   .6330   20.000   .178E-03          .000   .6330   20.000   .697E-09          .000   .6330   20.000   .124E-14          .000   .6330   20.000   .166E-21
          .009        .000   .6330   20.000   .132E+01          .000   .6330   20.000   .512E-03          .000   .6330   20.000   .445E-08          .000   .6330   20.000   .116E-13          .000   .6330   20.000   .185E-20
          .011        .000   .6330   20.000   .144E+01          .000   .6330   20.000   .147E-02          .000   .6330   20.000   .390E-07          .000   .6330   20.000   .248E-12          .000   .6330   20.000   .984E-19
          .014        .000   .6330   20.000   .154E+01          .000   .6330   20.000   .325E-02          .000   .6330   20.000   .210E-06          .000   .6330   20.000   .257E-11          .000   .6330   20.000   .182E-17
          .017        .000   .6330   20.000   .167E+01          .000   .6330   20.000   .706E-02          .000   .6330   20.000   .133E-05          .000   .6330   20.000   .439E-10          .000   .6330   20.000   .104E-15
