 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]
        .00200   .649E+02  -.895E-24   .130E+00  -.179E-26   .000E+00   .000E+00   .666E+00   .000E+00   .276E-24   .000E+00   .000E+00   .000E+00       1
        .00300   .649E+02  -.358E-23   .195E+00  -.537E-26   .000E+00   .000E+00   .796E+00   .000E+00   .828E-24   .000E+00   .000E+00   .000E+00       2
        .00400   .649E+02  -.108E-22   .260E+00  -.161E-25   .000E+00   .000E+00   .907E+00   .000E+00   .249E-23   .000E+00   .000E+00   .000E+00       3
        .00500   .649E+02  -.323E-22   .325E+00  -.485E-25   .000E+00   .000E+00   .100E+01   .000E+00   .747E-23   .000E+00   .000E+00   .000E+00       4
        .00630   .649E+02  -.139E-21   .409E+00  -.229E-24   .000E+00   .000E+00   .111E+01   .000E+00   .352E-22   .000E+00   .000E+00   .000E+00       5
        .00760   .649E+02  -.654E-21   .494E+00  -.108E-23   .000E+00   .000E+00   .121E+01   .000E+00   .166E-21   .000E+00   .000E+00   .000E+00       6
        .00929   .649E+02  -.654E-20   .603E+00  -.121E-22   .000E+00   .000E+00   .132E+01   .000E+00   .185E-20   .000E+00   .000E+00   .000E+00       7
        .01149   .649E+02  -.326E-18   .746E+00  -.727E-21   .000E+00   .000E+00   .144E+01   .000E+00   .984E-19   .000E+00   .000E+00   .000E+00       8
        .01368   .649E+02  -.622E-17   .889E+00  -.144E-19   .000E+00   .000E+00   .154E+01   .000E+00   .182E-17   .000E+00   .000E+00   .000E+00       9
        .01654   .649E+02  -.345E-15   .107E+01  -.999E-18   .000E+00   .000E+00   .167E+01   .000E+00   .104E-15   .000E+00   .000E+00   .000E+00      10
        .01939   .649E+02  -.579E-14   .126E+01  -.175E-16   .000E+00   .000E+00   .177E+01   .000E+00   .168E-14   .000E+00   .000E+00   .000E+00      11
        .02311   .649E+02  -.201E-12   .150E+01  -.764E-15   .000E+00   .000E+00   .190E+01   .000E+00   .602E-13   .000E+00   .000E+00   .000E+00      12
        .02794   .649E+02  -.938E-11   .181E+01  -.461E-13   .000E+00   .000E+00   .204E+01   .000E+00   .283E-11   .000E+00   .000E+00   .000E+00      13
        .03277   .649E+02  -.124E-09   .213E+01  -.644E-12   .000E+00   .000E+00   .217E+01   .000E+00   .353E-10   .000E+00   .000E+00   .000E+00      14
        .03904   .649E+02  -.225E-08   .254E+01  -.148E-10   .000E+00   .000E+00   .231E+01   .000E+00   .657E-09   .000E+00   .000E+00   .000E+00      15
        .04532   .649E+02  -.199E-07   .294E+01  -.140E-09   .000E+00   .000E+00   .244E+01   .000E+00   .547E-08   .000E+00   .000E+00   .000E+00      16
        .05346   .649E+02  -.207E-06   .347E+01  -.182E-08   .000E+00   .000E+00   .259E+01   .000E+00   .583E-07   .000E+00   .000E+00   .000E+00      17
        .06160   .649E+02  -.131E-05   .400E+01  -.125E-07   .000E+00   .000E+00   .272E+01   .000E+00   .345E-06   .000E+00   .000E+00   .000E+00      18
        .07221   .649E+02  -.884E-05   .469E+01  -.106E-06   .000E+00   .000E+00   .288E+01   .000E+00   .238E-05   .000E+00   .000E+00   .000E+00      19
        .08282   .649E+02  -.415E-04   .538E+01  -.546E-06   .000E+00   .000E+00   .302E+01   .000E+00   .104E-04   .000E+00   .000E+00   .000E+00      20
        .09655   .649E+02  -.191E-03   .627E+01  -.318E-05   .000E+00   .000E+00   .318E+01   .000E+00   .486E-04   .000E+00   .000E+00   .000E+00      21
        .11028   .649E+02  -.675E-03   .716E+01  -.124E-04   .000E+00   .000E+00   .332E+01   .000E+00   .159E-03   .000E+00   .000E+00   .000E+00      22
        .12809   .649E+02  -.227E-02   .832E+01  -.529E-04   .000E+00   .000E+00   .349E+01   .000E+00   .539E-03   .000E+00   .000E+00   .000E+00      23
        .14590   .649E+02  -.623E-02   .948E+01  -.164E-03   .000E+00   .000E+00   .364E+01   .000E+00   .138E-02   .000E+00   .000E+00   .000E+00      24
        .16939   .649E+02  -.162E-01   .110E+02  -.544E-03   .000E+00   .000E+00   .382E+01   .000E+00   .361E-02   .000E+00   .000E+00   .000E+00      25
        .19288   .649E+02  -.361E-01   .125E+02  -.139E-02   .000E+00   .000E+00   .398E+01   .000E+00   .752E-02   .000E+00   .000E+00   .000E+00      26
        .21637   .649E+02  -.681E-01   .141E+02  -.299E-02   .000E+00   .000E+00   .413E+01   .000E+00   .134E-01   .000E+00   .000E+00   .000E+00      27
        .24137   .649E+02  -.115E+00   .157E+02  -.588E-02   .000E+00   .000E+00   .427E+01   .000E+00   .221E-01   .000E+00   .000E+00   .000E+00      28
