 ******* Program HYDRUS
 ******* Solute Transport with Non-equilibrium Cation Adsorption                
  
 Date:   1.10.    Time:  14:25:39
 Units: L = cm   , T = days , M = mmol 
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   20    .000  .10000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
 
     F     F     F     F     F     F     F     F     F     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1       .000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
   2     -2.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
   3     -4.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
   4     -6.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
   5     -8.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
   6    -10.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
   7    -12.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
   8    -14.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
   9    -16.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
  10    -18.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
  11    -20.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
  12    -22.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
  13    -24.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
  14    -26.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
  15    -28.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
  16    -30.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00   .0000E+00
end

 Number of species in the chain :   1


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .000   .445    .100E-01    .200E+01    .171E+02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
   .4450   -.100E-05  -.6000E+01   .0000E+00   .1711E+02   .1233E+01    1.0000
   .4450   -.126E-05  -.5899E+01   .0000E+00   .1711E+02   .1233E+01    1.0000
   .4450   -.159E-05  -.5798E+01   .0000E+00   .1711E+02   .1233E+01    1.0000
   .4450   -.201E-05  -.5697E+01   .0000E+00   .1711E+02   .1233E+01    1.0000
   .4450   -.254E-05  -.5596E+01   .0000E+00   .1711E+02   .1233E+01    1.0000
   .4450   -.320E-05  -.5495E+01   .0000E+00   .1711E+02   .1233E+01    1.0000
   .4450   -.404E-05  -.5394E+01   .0000E+00   .1711E+02   .1233E+01    1.0000
   .4450   -.509E-05  -.5293E+01   .2267E-09   .1711E+02   .1233E+01    1.0000
   .4450   -.643E-05  -.5192E+01   .2860E-09   .1711E+02   .1233E+01    1.0000
   .4450   -.811E-05  -.5091E+01   .3610E-09   .1711E+02   .1233E+01    1.0000
   .4450   -.102E-04  -.4990E+01   .4555E-09   .1711E+02   .1233E+01    1.0000
   .4450   -.129E-04  -.4889E+01   .5747E-09   .1711E+02   .1233E+01    1.0000
   .4450   -.163E-04  -.4788E+01   .7252E-09   .1711E+02   .1233E+01    1.0000
   .4450   -.206E-04  -.4687E+01   .9151E-09   .1711E+02   .1233E+01    1.0000
   .4450   -.260E-04  -.4586E+01   .1155E-08   .1711E+02   .1233E+01    1.0000
   .4450   -.327E-04  -.4485E+01   .1457E-08   .1711E+02   .1233E+01    1.0000
   .4450   -.413E-04  -.4384E+01   .1839E-08   .1711E+02   .1233E+01    1.0000
   .4450   -.521E-04  -.4283E+01   .2320E-08   .1711E+02   .1233E+01    1.0000
   .4450   -.658E-04  -.4182E+01   .2928E-08   .1711E+02   .1233E+01    1.0000
   .4450   -.830E-04  -.4081E+01   .3694E-08   .1711E+02   .1233E+01    1.0000
   .4450   -.105E-03  -.3980E+01   .4662E-08   .1711E+02   .1233E+01    1.0000
   .4450   -.132E-03  -.3879E+01   .5883E-08   .1711E+02   .1233E+01    1.0000
   .4450   -.167E-03  -.3778E+01   .7423E-08   .1711E+02   .1233E+01    1.0000
   .4450   -.210E-03  -.3677E+01   .9367E-08   .1711E+02   .1233E+01    1.0000
   .4450   -.266E-03  -.3576E+01   .1182E-07   .1711E+02   .1233E+01    1.0000
   .4450   -.335E-03  -.3475E+01   .1491E-07   .1711E+02   .1233E+01    1.0000
   .4450   -.423E-03  -.3374E+01   .1882E-07   .1711E+02   .1233E+01    1.0000
   .4450   -.534E-03  -.3273E+01   .2375E-07   .1711E+02   .1233E+01    1.0000
   .4450   -.673E-03  -.3172E+01   .2997E-07   .1711E+02   .1233E+01    1.0000
   .4450   -.850E-03  -.3071E+01   .3781E-07   .1711E+02   .1233E+01    1.0000
   .4450   -.107E-02  -.2970E+01   .4772E-07   .1711E+02   .1233E+01    1.0000
   .4450   -.135E-02  -.2869E+01   .6021E-07   .1711E+02   .1233E+01    1.0000
   .4450   -.171E-02  -.2768E+01   .7598E-07   .1711E+02   .1233E+01    1.0000
   .4450   -.215E-02  -.2667E+01   .9587E-07   .1711E+02   .1233E+01    1.0000
   .4450   -.272E-02  -.2566E+01   .1210E-06   .1711E+02   .1233E+01    1.0000
   .4450   -.343E-02  -.2465E+01   .1527E-06   .1711E+02   .1233E+01    1.0000
   .4450   -.433E-02  -.2364E+01   .1926E-06   .1711E+02   .1233E+01    1.0000
   .4450   -.546E-02  -.2263E+01   .2431E-06   .1711E+02   .1233E+01    1.0000
   .4450   -.689E-02  -.2162E+01   .3067E-06   .1711E+02   .1233E+01    1.0000
   .4450   -.870E-02  -.2061E+01   .3870E-06   .1710E+02   .1233E+01    1.0000
   .4450   -.110E-01  -.1960E+01   .4884E-06   .1710E+02   .1233E+01    1.0000
   .4450   -.138E-01  -.1859E+01   .6163E-06   .1710E+02   .1233E+01    1.0000
   .4450   -.175E-01  -.1758E+01   .7776E-06   .1710E+02   .1233E+01    1.0000
   .4450   -.221E-01  -.1657E+01   .9813E-06   .1710E+02   .1233E+01    1.0000
   .4450   -.278E-01  -.1556E+01   .1238E-05   .1710E+02   .1233E+01    1.0000
   .4450   -.351E-01  -.1455E+01   .1562E-05   .1710E+02   .1233E+01    1.0000
   .4450   -.443E-01  -.1354E+01   .1972E-05   .1709E+02   .1233E+01    1.0000
   .4450   -.559E-01  -.1253E+01   .2488E-05   .1709E+02   .1233E+01    1.0000
   .4450   -.705E-01  -.1152E+01   .3139E-05   .1708E+02   .1233E+01    1.0000
   .4450   -.890E-01  -.1051E+01   .3961E-05   .1708E+02   .1232E+01    1.0000
   .4450   -.112E+00  -.9495E+00   .4999E-05   .1707E+02   .1232E+01    1.0000
   .4450   -.142E+00  -.8485E+00   .6308E-05   .1706E+02   .1232E+01    1.0000
   .4450   -.179E+00  -.7475E+00   .7959E-05   .1705E+02   .1232E+01    1.0000
   .4450   -.226E+00  -.6465E+00   .1004E-04   .1703E+02   .1231E+01    1.0000
   .4450   -.285E+00  -.5455E+00   .1267E-04   .1701E+02   .1231E+01    1.0000
   .4450   -.359E+00  -.4444E+00   .1599E-04   .1699E+02   .1230E+01    1.0000
   .4450   -.453E+00  -.3434E+00   .2018E-04   .1695E+02   .1229E+01    1.0000
   .4450   -.572E+00  -.2424E+00   .2546E-04   .1691E+02   .1228E+01    1.0000
   .4450   -.722E+00  -.1414E+00   .3213E-04   .1686E+02   .1227E+01    1.0000
   .4450   -.911E+00  -.4040E-01   .4054E-04   .1680E+02   .1225E+01    1.0000
   .4450   -.115E+01   .6061E-01   .5115E-04   .1672E+02   .1223E+01     .9999
   .4450   -.145E+01   .1616E+00   .6454E-04   .1661E+02   .1220E+01     .9999
   .4449   -.183E+01   .2626E+00   .8143E-04   .1649E+02   .1217E+01     .9998
   .4449   -.231E+01   .3636E+00   .1027E-03   .1632E+02   .1213E+01     .9997
   .4448   -.292E+01   .4646E+00   .1296E-03   .1612E+02   .1207E+01     .9996
   .4447   -.368E+01   .5657E+00   .1634E-03   .1587E+02   .1201E+01     .9993
   .4445   -.464E+01   .6667E+00   .2059E-03   .1555E+02   .1192E+01     .9989
   .4442   -.586E+01   .7677E+00   .2593E-03   .1515E+02   .1180E+01     .9983
   .4438   -.739E+01   .8687E+00   .3262E-03   .1466E+02   .1166E+01     .9973
   .4431   -.933E+01   .9697E+00   .4097E-03   .1405E+02   .1148E+01     .9957
   .4420   -.118E+02   .1071E+01   .5130E-03   .1330E+02   .1124E+01     .9931
   .4402   -.148E+02   .1172E+01   .6395E-03   .1238E+02   .1093E+01     .9892
   .4374   -.187E+02   .1273E+01   .7918E-03   .1129E+02   .1053E+01     .9829
   .4331   -.236E+02   .1374E+01   .9697E-03   .1000E+02   .1000E+01     .9732
   .4264   -.298E+02   .1475E+01   .1168E-02   .8540E+01   .9314E+00     .9583
   .4165   -.376E+02   .1576E+01   .1373E-02   .6942E+01   .8415E+00     .9359
   .4019   -.475E+02   .1677E+01   .1558E-02   .5299E+01   .7242E+00     .9032
   .3817   -.599E+02   .1778E+01   .1683E-02   .3740E+01   .5728E+00     .8577
   .3549   -.756E+02   .1879E+01   .1708E-02   .2404E+01   .3810E+00     .7975
   .3219   -.955E+02   .1980E+01   .1608E-02   .1394E+01   .1443E+00     .7234
   .2843   -.120E+03   .2081E+01   .1397E-02   .7271E+00  -.1384E+00     .6388
   .2446   -.152E+03   .2182E+01   .1123E-02   .3436E+00  -.4639E+00     .5496
   .2057   -.192E+03   .2283E+01   .8434E-03   .1493E+00  -.8259E+00     .4623
   .1699   -.242E+03   .2384E+01   .5998E-03   .6073E-01  -.1217E+01     .3819
   .1385   -.305E+03   .2485E+01   .4096E-03   .2353E-01  -.1628E+01     .3112
   .1118   -.385E+03   .2586E+01   .2718E-03   .8813E-02  -.2055E+01     .2512
   .0896   -.486E+03   .2687E+01   .1769E-03   .3226E-02  -.2491E+01     .2014
   .0716   -.614E+03   .2788E+01   .1136E-03   .1163E-02  -.2934E+01     .1609
   .0570   -.774E+03   .2889E+01   .7241E-04   .4155E-03  -.3381E+01     .1281
   .0453   -.977E+03   .2990E+01   .4590E-04   .1475E-03  -.3831E+01     .1018
   .0360   -.123E+04   .3091E+01   .2899E-04   .5213E-04  -.4283E+01     .0808
   .0285   -.156E+04   .3192E+01   .1827E-04   .1838E-04  -.4736E+01     .0641
   .0226   -.196E+04   .3293E+01   .1150E-04   .6471E-05  -.5189E+01     .0509
   .0180   -.248E+04   .3394E+01   .7235E-05   .2276E-05  -.5643E+01     .0403
   .0142   -.313E+04   .3495E+01   .4548E-05   .8000E-06  -.6097E+01     .0320
   .0113   -.394E+04   .3596E+01   .2858E-05   .2811E-06  -.6551E+01     .0253
   .0089   -.498E+04   .3697E+01   .1795E-05   .9873E-07  -.7006E+01     .0201
   .0071   -.628E+04   .3798E+01   .1128E-05   .3468E-07  -.7460E+01     .0159
   .0056   -.792E+04   .3899E+01   .7084E-06   .1218E-07  -.7914E+01     .0126
   .0044   -.100E+05   .4000E+01   .4449E-06   .4276E-08  -.8369E+01     .0100
end


 Solute transport information
 ============================

 Galerkin finite-element method


 lTDep     cTolA     cTolR   MaxItC
  F     .100E-03     .0001     20


 Mat.     Bulk.D.    DispL    Fraction  Immobile WC
  1       1.2220     .0000     .4711     .0000

    Dif.w.      Dif.g.   -------------------------------------------------- ( 1.solute)
   .4888E+02   .0000E+00
 Mat.     KS         Nu         Beta      Henry      SinkL1     SinkS1     SinkG1     SinkL1`    SinkS1`    SinkG1`    SinkL0     SinkS0     SinkG0      Alfa
   1  .1141E+01  .0000E+00  .1000E+01  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .3175E+00

