 ******* Program HYDRUS
 ******* Solute Transport with Non-equilibrium Cation Adsorption                
  
 Date:   1.10.    Time:  14:25:39
 Units: L = cm   , T = days , M = mmol 



                             Node(  4)                                 Node(  9)                                 Node( 16)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
          .010        .000   .4450   20.000   .137E-03          .000   .4450   20.000   .854E-11          .000   .4450   20.000   .192E-19
          .023        .000   .4450   20.000   .180E-02          .000   .4450   20.000   .554E-09          .000   .4450   20.000   .605E-17
          .040        .000   .4450   20.000   .121E-01          .000   .4450   20.000   .181E-07          .000   .4450   20.000   .963E-15
          .062        .000   .4450   20.000   .550E-01          .000   .4450   20.000   .376E-06          .000   .4450   20.000   .907E-13
          .091        .000   .4450   20.000   .199E+00          .000   .4450   20.000   .604E-05          .000   .4450   20.000   .683E-11
          .128        .000   .4450   20.000   .584E+00          .000   .4450   20.000   .707E-04          .000   .4450   20.000   .326E-09
          .175        .000   .4450   20.000   .145E+01          .000   .4450   20.000   .647E-03          .000   .4450   20.000   .113E-07
          .240        .000   .4450   20.000   .327E+01          .000   .4450   20.000   .569E-02          .000   .4450   20.000   .446E-06
          .327        .000   .4450   20.000   .638E+01          .000   .4450   20.000   .412E-01          .000   .4450   20.000   .132E-04
          .413        .000   .4450   20.000   .955E+01          .000   .4450   20.000   .161E+00          .000   .4450   20.000   .121E-03
          .500        .000   .4450   20.000   .123E+02          .000   .4450   20.000   .454E+00          .000   .4450   20.000   .719E-03
          .563        .000   .4450   20.000   .138E+02          .000   .4450   20.000   .827E+00          .000   .4450   20.000   .207E-02
          .625        .000   .4450   20.000   .151E+02          .000   .4450   20.000   .137E+01          .000   .4450   20.000   .535E-02
          .688        .000   .4450   20.000   .160E+02          .000   .4450   20.000   .208E+01          .000   .4450   20.000   .125E-01
          .750        .000   .4450   20.000   .167E+02          .000   .4450   20.000   .297E+01          .000   .4450   20.000   .270E-01
          .813        .000   .4450   20.000   .172E+02          .000   .4450   20.000   .399E+01          .000   .4450   20.000   .537E-01
          .875        .000   .4450   20.000   .176E+02          .000   .4450   20.000   .513E+01          .000   .4450   20.000   .997E-01
          .938        .000   .4450   20.000   .179E+02          .000   .4450   20.000   .631E+01          .000   .4450   20.000   .174E+00
         1.000        .000   .4450   20.000   .181E+02          .000   .4450   20.000   .752E+01          .000   .4450   20.000   .286E+00
         1.063        .000   .4450   20.000   .182E+02          .000   .4450   20.000   .869E+01          .000   .4450   20.000   .448E+00
         1.125        .000   .4450   20.000   .183E+02          .000   .4450   20.000   .981E+01          .000   .4450   20.000   .669E+00
         1.188        .000   .4450   20.000   .184E+02          .000   .4450   20.000   .108E+02          .000   .4450   20.000   .959E+00
         1.250        .000   .4450   20.000   .185E+02          .000   .4450   20.000   .118E+02          .000   .4450   20.000   .132E+01
         1.313        .000   .4450   20.000   .185E+02          .000   .4450   20.000   .126E+02          .000   .4450   20.000   .177E+01
         1.375        .000   .4450   20.000   .186E+02          .000   .4450   20.000   .133E+02          .000   .4450   20.000   .229E+01
         1.438        .000   .4450   20.000   .186E+02          .000   .4450   20.000   .140E+02          .000   .4450   20.000   .288E+01
         1.500        .000   .4450   20.000   .186E+02          .000   .4450   20.000   .145E+02          .000   .4450   20.000   .354E+01
         1.563        .000   .4450   20.000   .187E+02          .000   .4450   20.000   .149E+02          .000   .4450   20.000   .424E+01
         1.625        .000   .4450   20.000   .187E+02          .000   .4450   20.000   .153E+02          .000   .4450   20.000   .499E+01
         1.688        .000   .4450   20.000   .187E+02          .000   .4450   20.000   .156E+02          .000   .4450   20.000   .576E+01
         1.750        .000   .4450   20.000   .187E+02          .000   .4450   20.000   .159E+02          .000   .4450   20.000   .654E+01
         1.813        .000   .4450   20.000   .188E+02          .000   .4450   20.000   .161E+02          .000   .4450   20.000   .732E+01
         1.875        .000   .4450   20.000   .188E+02          .000   .4450   20.000   .162E+02          .000   .4450   20.000   .808E+01
         1.938        .000   .4450   20.000   .188E+02          .000   .4450   20.000   .164E+02          .000   .4450   20.000   .880E+01
         2.000        .000   .4450   20.000   .188E+02          .000   .4450   20.000   .165E+02          .000   .4450   20.000   .949E+01
         2.063        .000   .4450   20.000   .188E+02          .000   .4450   20.000   .166E+02          .000   .4450   20.000   .101E+02
         2.125        .000   .4450   20.000   .189E+02          .000   .4450   20.000   .167E+02          .000   .4450   20.000   .107E+02
         2.188        .000   .4450   20.000   .189E+02          .000   .4450   20.000   .168E+02          .000   .4450   20.000   .113E+02
         2.250        .000   .4450   20.000   .189E+02          .000   .4450   20.000   .169E+02          .000   .4450   20.000   .118E+02
         2.313        .000   .4450   20.000   .189E+02          .000   .4450   20.000   .169E+02          .000   .4450   20.000   .122E+02
         2.375        .000   .4450   20.000   .190E+02          .000   .4450   20.000   .170E+02          .000   .4450   20.000   .126E+02
         2.438        .000   .4450   20.000   .190E+02          .000   .4450   20.000   .171E+02          .000   .4450   20.000   .130E+02
         2.500        .000   .4450   20.000   .190E+02          .000   .4450   20.000   .171E+02          .000   .4450   20.000   .133E+02
         2.564        .000   .4450   20.000   .190E+02          .000   .4450   20.000   .172E+02          .000   .4450   20.000   .136E+02
         2.628        .000   .4450   20.000   .190E+02          .000   .4450   20.000   .172E+02          .000   .4450   20.000   .139E+02
         2.693        .000   .4450   20.000   .190E+02          .000   .4450   20.000   .173E+02          .000   .4450   20.000   .141E+02
         2.757        .000   .4450   20.000   .191E+02          .000   .4450   20.000   .173E+02          .000   .4450   20.000   .143E+02
         2.821        .000   .4450   20.000   .191E+02          .000   .4450   20.000   .174E+02          .000   .4450   20.000   .144E+02
         2.885        .000   .4450   20.000   .191E+02          .000   .4450   20.000   .174E+02          .000   .4450   20.000   .146E+02
         2.950        .000   .4450   20.000   .191E+02          .000   .4450   20.000   .175E+02          .000   .4450   20.000   .147E+02
         3.014        .000   .4450   20.000   .191E+02          .000   .4450   20.000   .175E+02          .000   .4450   20.000   .149E+02
         3.078        .000   .4450   20.000   .192E+02          .000   .4450   20.000   .176E+02          .000   .4450   20.000   .150E+02
         3.142        .000   .4450   20.000   .192E+02          .000   .4450   20.000   .176E+02          .000   .4450   20.000   .151E+02
         3.207        .000   .4450   20.000   .192E+02          .000   .4450   20.000   .177E+02          .000   .4450   20.000   .152E+02
         3.271        .000   .4450   20.000   .192E+02          .000   .4450   20.000   .177E+02          .000   .4450   20.000   .153E+02
         3.335        .000   .4450   20.000   .192E+02          .000   .4450   20.000   .177E+02          .000   .4450   20.000   .154E+02
         3.399        .000   .4450   20.000   .192E+02          .000   .4450   20.000   .178E+02          .000   .4450   20.000   .155E+02
         3.464        .000   .4450   20.000   .192E+02          .000   .4450   20.000   .178E+02          .000   .4450   20.000   .155E+02
         3.528        .000   .4450   20.000   .193E+02          .000   .4450   20.000   .179E+02          .000   .4450   20.000   .156E+02
         3.592        .000   .4450   20.000   .193E+02          .000   .4450   20.000   .179E+02          .000   .4450   20.000   .157E+02
         3.656        .000   .4450   20.000   .193E+02          .000   .4450   20.000   .179E+02          .000   .4450   20.000   .158E+02
         3.720        .000   .4450   20.000   .193E+02          .000   .4450   20.000   .180E+02          .000   .4450   20.000   .158E+02
         3.785        .000   .4450   20.000   .193E+02          .000   .4450   20.000   .180E+02          .000   .4450   20.000   .159E+02
         3.849        .000   .4450   20.000   .193E+02          .000   .4450   20.000   .180E+02          .000   .4450   20.000   .160E+02
         3.913        .000   .4450   20.000   .193E+02          .000   .4450   20.000   .181E+02          .000   .4450   20.000   .160E+02
         3.977        .000   .4450   20.000   .194E+02          .000   .4450   20.000   .181E+02          .000   .4450   20.000   .161E+02
