 ******* Program HYDRUS
 ******* Solute Transport with Non-equilibrium Cation Adsorption                
  
 Date:   1.10.    Time:  14:25:39
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
    2      2.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
    3      4.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
    4      6.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
    5      8.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
    6     10.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
    7     12.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
    8     14.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
    9     16.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
   10     18.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
   11     20.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
   12     22.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
   13     24.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
   14     26.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
   15     28.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
   16     30.00      .000      .445        .0    .171E+02     1.000      .000     1.000     1.000     1.000
end
