 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *Parameter Estimation of Soil Hydraulic Properties                     *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb)............. 175


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.000
 Saturated moisture content..........(WCS)............     0.430
 First coefficient...................(ALPHA)..........     0.032
 Second coefficient..................(N)..............     2.657
 Saturated conductivity..............(CONDS).......... .1450E-01
 Pore conectivity factor.............(L)..............     0.660
 Moisture content....................(WCM)............     0.430
 Saturated moisture content (wetting)(WCSwet).........     0.384
 First coefficient (wettine).........(ALPHAW).........     0.067
 Saturated conductivity (wetting)....(CONDKW)......... .1000E-01


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
     1     31.000      0.020       2     1      0.739820
     2     32.000      0.100       2     1      0.739820
     3     33.000      0.150       2     1      0.739820
     4     34.000      0.200       2     1      0.739820
     5     36.000      0.250       2     1      0.739820
     6     38.500      0.300       2     1      0.739820
     7     42.000      0.320       2     1      0.739820
     8     46.500      0.340       2     1      0.739820
     9     52.000      0.360       2     1      0.739820
    10     61.500      0.380       2     1      0.739820
    11     83.000      0.400       2     1      0.739820
    12    102.000      0.020       2     2      0.739820
    13    106.000      0.100       2     2      0.739820
    14    108.000      0.150       2     2      0.739820
    15    112.000      0.200       2     2      0.739820
    16    121.000      0.250       2     2      0.739820
    17    133.000      0.300       2     2      0.739820
    18    139.000      0.420       2     1      0.739820
    19    142.000      0.320       2     2      0.739820
    20    156.000      0.340       2     2      0.739820
    21    176.000      0.360       2     2      0.739820
    22    179.000      0.020       2     3      0.739820
    23    186.000      0.100       2     3      0.739820
    24    190.000      0.150       2     3      0.739820
    25    196.000      0.200       2     3      0.739820
    26    204.000      0.250       2     3      0.739820
    27    212.000      0.380       2     2      0.739820
    28    225.000      0.300       2     3      0.739820
    29    246.000      0.320       2     3      0.739820
    30    265.000      0.340       2     3      0.739820
    31    280.000      0.400       2     2      0.739820
