 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 4.    Time:  19:43:53
 Units: L = cm   , T = min  , M = mmol 



                               Node( 11)                      Node( 20)                      Node( 26)                      Node( 32)                      Node( 38)                      Node( 44)                      Node( 52)                      Node( 58)                      Node( 64)                      Node( 72)

         time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          0.0001      -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000
          0.0002      -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000
          0.0003      -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000
          0.0005      -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000
          0.0007      -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000
          0.0010      -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000
          0.0014      -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000
          0.0019      -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000
          0.0025      -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000
          0.0031      -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000        -37.55  0.0208   20.000
