 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 4.    Time:  19:43:53
 Units: L = cm   , T = min  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-03  0.10000E-03    3        3     3    -1     T
        2  0.2000000E-03  0.10000E-03    3        6     3    -1     T
        3  0.3300000E-03  0.13000E-03    3        9     3    -1     T
        4  0.4990000E-03  0.16900E-03    3       12     3    -1     T
        5  0.7186999E-03  0.21970E-03    3       15     3    -1     T
        6  0.1004310E-02  0.28561E-03    3       18     3    -1     T
        7  0.1375603E-02  0.37129E-03    3       21     3    -1     T
        8  0.1858284E-02  0.48268E-03    3       24     3    -1     T
        9  0.2485768E-02  0.62748E-03    4       28     3    -1     T
       10  0.3113253E-02  0.62748E-03    3       31     3    -1     T
       11  0.3928984E-02  0.81573E-03    3       34     3    -1     T
       12  0.4989433E-02  0.10604E-02    3       37     3    -1     T
       13  0.6368017E-02  0.13786E-02    3       40     3    -1     T
       14  0.8160177E-02  0.17922E-02    4       44     3    -1     T
       15  0.9952336E-02  0.17922E-02    4       48     3    -1     T
       16  0.1174450E-01  0.17922E-02    3       51     3    -1     T
       17  0.1407430E-01  0.23298E-02    3       54     3    -1     T
       18  0.1710305E-01  0.30287E-02    3       57     3    -1     T
       19  0.2104042E-01  0.39374E-02    4       61     3    -1     T
       20  0.2497780E-01  0.39374E-02    4       65     3    -1     T
       21  0.2891517E-01  0.39374E-02    3       68     3    -1     T
       22  0.3403376E-01  0.51186E-02    3       71     3    -1     T
       23  0.4068792E-01  0.66542E-02    5       76     3    -1     T
       24  0.4734208E-01  0.66542E-02    4       80     3    -1     T
       25  0.5399624E-01  0.66542E-02    3       83     3    -1     T
       26  0.6264665E-01  0.86504E-02    3       86     3    -1     T
       27  0.7389218E-01  0.11246E-01    3       89     3    -1     T
       28  0.8851137E-01  0.14619E-01    4       93     3    -1     T
       29  0.1031306E+00  0.14619E-01    4       97     3    -1     T
       30  0.1177497E+00  0.14619E-01    3      100     3    -1     T
       31  0.1367547E+00  0.19005E-01    3      103     3    -1     T
       32  0.1614611E+00  0.24706E-01    6      109     3    -1     T
       33  0.1861675E+00  0.24706E-01    4      113     3    -1     T
       34  0.2108740E+00  0.24706E-01    3      116     3    -1     T
       35  0.2429923E+00  0.32118E-01    4      120     3    -1     T
       36  0.2751107E+00  0.32118E-01    6      126     3    -1     T
       37  0.3072290E+00  0.32118E-01    4      130     3    -1     T
       38  0.3393474E+00  0.32118E-01    4      134     3    -1     T
       39  0.3714657E+00  0.32118E-01    4      138     3    -1     T
       40  0.4035841E+00  0.32118E-01    4      142     3    -1     T
       41  0.4357024E+00  0.32118E-01    4      146     3    -1     T
       42  0.4678208E+00  0.32118E-01    4      150     3    -1     T
       43  0.4999392E+00  0.32118E-01    4      154     3    -1     T
       44  0.5320575E+00  0.32118E-01    3      157     3    -1     T
       45  0.5738114E+00  0.41754E-01    4      161     3    -1     T
       46  0.6155652E+00  0.41754E-01    3      164     3    -1     T
       47  0.6698452E+00  0.54280E-01    5      169     3    -1     T
       48  0.7241253E+00  0.54280E-01    5      174     3    -1     T
       49  0.7784053E+00  0.54280E-01    4      178     3    -1     T
       50  0.8326853E+00  0.54280E-01    4      182     3    -1     T
       51  0.8869653E+00  0.54280E-01    5      187     3    -1     T
       52  0.9412453E+00  0.54280E-01    3      190     3    -1     T
       53  0.1011809E+01  0.70564E-01    4      194     3    -1     T
       54  0.1082373E+01  0.70564E-01    5      199     3    -1     T
       55  0.1152937E+01  0.70564E-01    4      203     3    -1     T
       56  0.1223501E+01  0.70564E-01    6      209     3    -1     T
       57  0.1294065E+01  0.70564E-01    5      214     3    -1     T
       58  0.1364629E+01  0.70564E-01    4      218     3    -1     T
       59  0.1435193E+01  0.70564E-01    4      222     3    -1     T
       60  0.1505757E+01  0.70564E-01    4      226     3    -1     T
       61  0.1576321E+01  0.70564E-01    5      231     3    -1     T
       62  0.1646885E+01  0.70564E-01    5      236     3    -1     T
       63  0.1717449E+01  0.70564E-01    4      240     3    -1     T
       64  0.1788014E+01  0.70564E-01    3      243     3    -1     T
       65  0.1879747E+01  0.91733E-01    5      248     3    -1     T
       66  0.1971480E+01  0.91733E-01    4      252     3    -1     T
       67  0.2063213E+01  0.91733E-01    4      256     3    -1     T
       68  0.2154946E+01  0.91733E-01    5      261     3    -1     T
       69  0.2246680E+01  0.91733E-01    4      265     3    -1     T
       70  0.2338413E+01  0.91733E-01    4      269     3    -1     T
       71  0.2430146E+01  0.91733E-01    5      274     3    -1     T
       72  0.2521879E+01  0.91733E-01    3      277     3    -1     T
       73  0.2641132E+01  0.11925E+00    3      280     3    -1     T
       74  0.2796162E+01  0.15503E+00    6      286     3    -1     T
       75  0.2951191E+01  0.15503E+00    5      291     3    -1     T
       76  0.3106220E+01  0.15503E+00    4      295     3    -1     T
       77  0.3261249E+01  0.15503E+00    6      301     3    -1     T
       78  0.3416278E+01  0.15503E+00    4      305     3    -1     T
       79  0.3571307E+01  0.15503E+00    5      310     3    -1     T
       80  0.3726336E+01  0.15503E+00    4      314     3    -1     T
       81  0.3881365E+01  0.15503E+00    5      319     3    -1     T
       82  0.4036395E+01  0.15503E+00    5      324     3    -1     T
       83  0.4191424E+01  0.15503E+00    4      328     3    -1     T
       84  0.4346453E+01  0.15503E+00    4      332     3    -1     T
       85  0.4501482E+01  0.15503E+00    4      336     3    -1     T
       86  0.4656511E+01  0.15503E+00    4      340     3    -1     T
       87  0.4811540E+01  0.15503E+00    4      344     3    -1     T
       88  0.4966569E+01  0.15503E+00    5      349     3    -1     T
       89  0.5121599E+01  0.15503E+00    4      353     3    -1     T
       90  0.5276628E+01  0.15503E+00    3      356     3    -1     T
       91  0.5478166E+01  0.20154E+00    5      361     3    -1     T
       92  0.5679703E+01  0.20154E+00    5      366     3    -1     T
       93  0.5881241E+01  0.20154E+00    5      371     3    -1     T
       94  0.6082779E+01  0.20154E+00    4      375     3    -1     T
       95  0.6284317E+01  0.20154E+00    5      380     3    -1     T
       96  0.6485855E+01  0.20154E+00    5      385     3    -1     T
       97  0.6687393E+01  0.20154E+00    4      389     3    -1     T
       98  0.6888931E+01  0.20154E+00    6      395     3    -1     T
       99  0.7090468E+01  0.20154E+00    5      400     3    -1     T
      100  0.7292006E+01  0.20154E+00    3      403     3    -1     T
      101  0.7554006E+01  0.26200E+00    6      409     3    -1     T
      102  0.7816005E+01  0.26200E+00    5      414     3    -1     T
      103  0.8078004E+01  0.26200E+00    5      419     3    -1     T
      104  0.8340003E+01  0.26200E+00    5      424     3    -1     T
      105  0.8602002E+01  0.26200E+00    5      429     3    -1     T
      106  0.8864002E+01  0.26200E+00    5      434     3    -1     T
      107  0.9126001E+01  0.26200E+00    5      439     3    -1     T
      108  0.9388000E+01  0.26200E+00    6      445     3    -1     T
      109  0.9649999E+01  0.26200E+00    4      449     3    -1     T
      110  0.9911999E+01  0.26200E+00    4      453     3    -1     T
      111  0.1017400E+02  0.26200E+00    6      459     3    -1     T
      112  0.1043600E+02  0.26200E+00    4      463     3    -1     T
      113  0.1069800E+02  0.26200E+00    4      467     3    -1     T
      114  0.1096000E+02  0.26200E+00    6      473     3    -1     T
      115  0.1122199E+02  0.26200E+00    4      477     3    -1     T
      116  0.1148399E+02  0.26200E+00    4      481     3    -1     T
      117  0.1174599E+02  0.26200E+00    4      485     3    -1     T
      118  0.1200799E+02  0.26200E+00    5      490     3    -1     T
