 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 4.    Time:  19:43:53
 Units: L = cm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0001  0.00000E+00  0.00000E+00 -0.75565E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.75565E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11387E+01  0.75565E-04  0.00000E+00      1  0.00000E+00      0.000
       0.0002  0.00000E+00  0.00000E+00 -0.75682E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.15125E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11387E+01  0.15125E-03  0.00000E+00      2  0.00000E+00      0.000
       0.0003  0.00000E+00  0.00000E+00 -0.75097E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.24887E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11388E+01  0.24887E-03  0.00000E+00      3  0.00000E+00      0.000
       0.0005  0.00000E+00  0.00000E+00 -0.74345E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37452E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11390E+01  0.37452E-03  0.00000E+00      4  0.00000E+00      0.000
       0.0007  0.00000E+00  0.00000E+00 -0.73379E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.53573E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11391E+01  0.53573E-03  0.00000E+00      5  0.00000E+00      0.000
       0.0010  0.00000E+00  0.00000E+00 -0.72145E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.74178E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11393E+01  0.74178E-03  0.00000E+00      6  0.00000E+00      0.000
       0.0014  0.00000E+00  0.00000E+00 -0.70576E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.10038E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11396E+01  0.10038E-02  0.00000E+00      7  0.00000E+00      0.000
       0.0019  0.00000E+00  0.00000E+00 -0.68592E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.13349E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11399E+01  0.13349E-02  0.00000E+00      8  0.00000E+00      0.000
       0.0025  0.00000E+00  0.00000E+00 -0.66921E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.17548E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11403E+01  0.17548E-02  0.00000E+00      9  0.00000E+00      0.000
       0.0031  0.00000E+00  0.00000E+00 -0.65660E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.21668E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11407E+01  0.21668E-02  0.00000E+00     10  0.00000E+00      0.000
       0.0039  0.00000E+00  0.00000E+00 -0.64077E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.26895E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11413E+01  0.26895E-02  0.00000E+00     11  0.00000E+00      0.000
       0.0050  0.00000E+00  0.00000E+00 -0.62072E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.33478E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11419E+01  0.33478E-02  0.00000E+00     12  0.00000E+00      0.000
       0.0064  0.00000E+00  0.00000E+00 -0.59571E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.41690E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11427E+01  0.41690E-02  0.00000E+00     13  0.00000E+00      0.000
       0.0082  0.00000E+00  0.00000E+00 -0.57018E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.51909E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11438E+01  0.51909E-02  0.00000E+00     14  0.00000E+00      0.000
       0.0100  0.00000E+00  0.00000E+00 -0.55453E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.61847E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11448E+01  0.61847E-02  0.00000E+00     15  0.00000E+00      0.000
       0.0117  0.00000E+00  0.00000E+00 -0.53953E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.71516E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11457E+01  0.71516E-02  0.00000E+00     16  0.00000E+00      0.000
       0.0141  0.00000E+00  0.00000E+00 -0.52056E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.83644E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11469E+01  0.83644E-02  0.00000E+00     17  0.00000E+00      0.000
       0.0171  0.00000E+00  0.00000E+00 -0.49702E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.98698E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11484E+01  0.98698E-02  0.00000E+00     18  0.00000E+00      0.000
       0.0210  0.00000E+00  0.00000E+00 -0.47795E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.11752E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11503E+01  0.11752E-01  0.00000E+00     19  0.00000E+00      0.000
       0.0250  0.00000E+00  0.00000E+00 -0.46311E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.13575E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11522E+01  0.13575E-01  0.00000E+00     20  0.00000E+00      0.000
       0.0289  0.00000E+00  0.00000E+00 -0.44871E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.15342E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11539E+01  0.15342E-01  0.00000E+00     21  0.00000E+00      0.000
       0.0340  0.00000E+00  0.00000E+00 -0.43069E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.17546E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11561E+01  0.17546E-01  0.00000E+00     22  0.00000E+00      0.000
       0.0407  0.00000E+00  0.00000E+00 -0.41187E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.20287E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11589E+01  0.20287E-01  0.00000E+00     23  0.00000E+00      0.000
       0.0473  0.00000E+00  0.00000E+00 -0.39999E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.22949E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11615E+01  0.22949E-01  0.00000E+00     24  0.00000E+00      0.000
       0.0540  0.00000E+00  0.00000E+00 -0.38865E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.25535E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11641E+01  0.25535E-01  0.00000E+00     25  0.00000E+00      0.000
       0.0626  0.00000E+00  0.00000E+00 -0.37434E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.28773E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11674E+01  0.28773E-01  0.00000E+00     26  0.00000E+00      0.000
       0.0739  0.00000E+00  0.00000E+00 -0.35662E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.32783E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11714E+01  0.32783E-01  0.00000E+00     27  0.00000E+00      0.000
       0.0885  0.00000E+00  0.00000E+00 -0.34267E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37793E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11764E+01  0.37793E-01  0.00000E+00     28  0.00000E+00      0.000
       0.1031  0.00000E+00  0.00000E+00 -0.33064E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.42627E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11812E+01  0.42627E-01  0.00000E+00     29  0.00000E+00      0.000
       0.1177  0.00000E+00  0.00000E+00 -0.31896E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.47289E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11859E+01  0.47289E-01  0.00000E+00     30  0.00000E+00      0.000
       0.1368  0.00000E+00  0.00000E+00 -0.30444E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.53075E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11917E+01  0.53075E-01  0.00000E+00     31  0.00000E+00      0.000
       0.1615  0.00000E+00  0.00000E+00 -0.29250E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.60302E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.11989E+01  0.60302E-01  0.00000E+00     32  0.00000E+00      0.000
       0.1862  0.00000E+00  0.00000E+00 -0.28215E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.67273E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12059E+01  0.67273E-01  0.00000E+00     33  0.00000E+00      0.000
       0.2109  0.00000E+00  0.00000E+00 -0.27221E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.73998E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12126E+01  0.73998E-01  0.00000E+00     34  0.00000E+00      0.000
       0.2430  0.00000E+00  0.00000E+00 -0.25984E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.82344E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12209E+01  0.82344E-01  0.00000E+00     35  0.00000E+00      0.000
       0.2751  0.00000E+00  0.00000E+00 -0.25320E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.90476E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12291E+01  0.90476E-01  0.00000E+00     36  0.00000E+00      0.000
       0.3072  0.00000E+00  0.00000E+00 -0.24670E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.98400E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12370E+01  0.98400E-01  0.00000E+00     37  0.00000E+00      0.000
       0.3393  0.00000E+00  0.00000E+00 -0.24033E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.10612E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12447E+01  0.10612E+00  0.00000E+00     38  0.00000E+00      0.000
       0.3715  0.00000E+00  0.00000E+00 -0.23406E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.11364E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12522E+01  0.11364E+00  0.00000E+00     39  0.00000E+00      0.000
       0.4036  0.00000E+00  0.00000E+00 -0.23019E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.12103E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12596E+01  0.12103E+00  0.00000E+00     40  0.00000E+00      0.000
       0.4357  0.00000E+00  0.00000E+00 -0.22789E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.12835E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12669E+01  0.12835E+00  0.00000E+00     41  0.00000E+00      0.000
       0.4678  0.00000E+00  0.00000E+00 -0.22539E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.13559E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12742E+01  0.13559E+00  0.00000E+00     42  0.00000E+00      0.000
       0.4999  0.00000E+00  0.00000E+00 -0.22271E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.14274E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12813E+01  0.14274E+00  0.00000E+00     43  0.00000E+00      0.000
       0.5321  0.00000E+00  0.00000E+00 -0.21987E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.14980E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12884E+01  0.14980E+00  0.00000E+00     44  0.00000E+00      0.000
       0.5738  0.00000E+00  0.00000E+00 -0.21806E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.15891E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.12975E+01  0.15891E+00  0.00000E+00     45  0.00000E+00      0.000
       0.6156  0.00000E+00  0.00000E+00 -0.21733E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.16798E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.13066E+01  0.16798E+00  0.00000E+00     46  0.00000E+00      0.000
       0.6698  0.00000E+00  0.00000E+00 -0.21553E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.17968E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.13183E+01  0.17968E+00  0.00000E+00     47  0.00000E+00      0.000
       0.7241  0.00000E+00  0.00000E+00 -0.21321E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.19125E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.13298E+01  0.19125E+00  0.00000E+00     48  0.00000E+00      0.000
