 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *Parameter Estimation of Soil Hydraulic Properties                     *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb)............. 103


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............      .001
 Saturated moisture content..........(WCS)............      .430
 First coefficient...................(ALPHA)..........      .036
 Second coefficeint..................(N)..............     2.000
 Saturated conductivity..............(CONDS).......... .1000E-01
 Pore conectivity factor.............(L)..............     1.000


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
     1     12.000       .100       2     1       .833980
     2     12.500       .150       2     1       .833980
     3     13.000       .200       2     1       .833980
     4     13.500       .250       2     1       .833980
     5     14.500       .300       2     1       .833980
     6     16.000       .320       2     1       .833980
     7     17.500       .340       2     1       .833980
     8     20.000       .360       2     1       .833980
     9     24.000       .380       2     1       .833980
    10     31.000       .400       2     1       .833980
    11     31.000       .020       2     2       .833980
    12     32.000       .100       2     2       .833980
    13     33.000       .150       2     2       .833980
    14     34.000       .200       2     2       .833980
    15     36.000       .250       2     2       .833980
    16     38.500       .300       2     2       .833980
    17     42.000       .320       2     2       .833980
    18     46.500       .340       2     2       .833980
    19     52.000       .360       2     2       .833980
    20     53.000       .420       2     1       .833980
    21     61.500       .380       2     2       .833980
    22     74.000       .020       2     3       .833980
    23     76.000       .100       2     3       .833980
    24     78.000       .150       2     3       .833980
    25     81.000       .200       2     3       .833980
    26     83.000       .400       2     2       .833980
    27     86.000       .250       2     3       .833980
    28     94.000       .300       2     3       .833980
    29    102.000       .320       2     3       .833980
    30    102.000       .020       2     4       .833980
    31    106.000       .100       2     4       .833980
    32    108.000       .150       2     4       .833980
    33    112.000       .340       2     3       .833980
    34    112.000       .200       2     4       .833980
    35    121.000       .250       2     4       .833980
    36    128.000       .360       2     3       .833980
    37    133.000       .300       2     4       .833980
    38    139.000       .420       2     2       .833980
    39    142.000       .320       2     4       .833980
    40    152.000       .380       2     3       .833980
    41    156.000       .340       2     4       .833980
    42    176.000       .360       2     4       .833980
    43    179.000       .020       2     5       .833980
    44    186.000       .100       2     5       .833980
    45    190.000       .150       2     5       .833980
    46    196.000       .200       2     5       .833980
    47    200.000       .400       2     3       .833980
    48    204.000       .250       2     5       .833980
    49    212.000       .380       2     4       .833980
    50    225.000       .300       2     5       .833980
    51    226.000       .020       2     6       .833980
    52    235.000       .100       2     6       .833980
    53    238.000       .150       2     6       .833980
    54    244.000       .200       2     6       .833980
    55    246.000       .320       2     5       .833980
    56    255.000       .250       2     6       .833980
    57    265.000       .340       2     5       .833980
    58    280.000       .400       2     4       .833980
    59    280.000       .300       2     6       .833980
    60    280.000       .020       2     7       .833980
    61    286.000       .100       2     7       .833980
    62    291.000       .150       2     7       .833980
    63    299.000       .200       2     7       .833980
    64    300.000       .360       2     5       .833980
    65    300.000       .320       2     6       .833980
    66    312.000       .250       2     7       .833980
    67    328.000       .340       2     6       .833980
    68    334.000       .020       2     8       .833980
    69    345.000       .420       2     3       .833980
    70    345.000       .300       2     7       .833980
    71    346.000       .100       2     8       .833980
    72    352.000       .150       2     8       .833980
    73    358.000       .200       2     8       .833980
    74    365.000       .380       2     5       .833980
    75    370.000       .360       2     6       .833980
    76    370.000       .320       2     7       .833980
    77    372.000       .250       2     8       .833980
    78    400.000       .340       2     7       .833980
    79    400.000       .020       2     9       .833980
    80    407.000       .300       2     8       .833980
    81    408.000       .100       2     9       .833980
    82    415.000       .150       2     9       .833980
    83    426.000       .200       2     9       .833980
    84    440.000       .320       2     8       .833980
    85    440.000       .250       2     9       .833980
    86    455.000       .380       2     6       .833980
    87    455.000       .360       2     7       .833980
    88    468.000       .020       2    10       .833980
    89    475.000       .340       2     8       .833980
    90    476.000       .100       2    10       .833980
    91    478.000       .400       2     5       .833980
    92    484.000       .150       2    10       .833980
    93    485.000       .300       2     9       .833980
    94    494.000       .200       2    10       .833980
    95    500.000       .420       2     4       .833980
    96    512.000       .250       2    10       .833980
    97    525.000       .320       2     9       .833980
    98    542.000       .360       2     8       .833980
    99    550.000       .380       2     7       .833980
   100    560.000       .340       2     9       .833980
   101    560.000       .300       2    10       .833980
   102    580.000       .400       2     6       .833980
   103    600.000       .320       2    10       .833980



 Parameter estimation with the  1. initial estimate
 ==================================================

 Iteration     SSQ        WCR        WCS        ALPHA      N          CONDS      L     
      0    .1167D+01     .00100     .43000     .03600    2.00000     .01000    1.00000
      1    .8251D+00     .00001     .42944     .03637    2.04618     .01012     .78185
      2    .2571D+00     .00001     .42962     .04011    2.30236     .01083     .68712
      3    .1370D+00     .00001     .42949     .03805    2.42122     .01050     .68680
      4    .1308D+00     .00001     .42946     .03816    2.41746     .01046     .71223
      5    .1307D+00     .00001     .42945     .03817    2.41730     .01046     .71040


 Mass balance error in FE solution during final run was   .0002 %

 RSQUARE for regression of predicted vs observed = .87314


 Correlation matrix
 ==================
         1          2          3          4          5          6
   1   1.0000
   2    .0116     1.0000
   3   -.1180     -.5499     1.0000
   4    .0482      .5383     -.2443     1.0000
   5   -.1099     -.5144      .5810     -.9055     1.0000
   6   -.2362      .8400     -.3455      .3709     -.2566     1.0000

 Non-linear least-squares analysis: final results
 ================================================
                                           95% Confidence limits
 Variable        Value        S.E.Coeff.     Lower         Upper
   WCR          .000010         .00997      -.01977       .01979
   WCS          .429445         .00042       .42861       .43028
   ALPHA        .038172         .00413       .02997       .04637
   N           2.417301         .56902      1.28790      3.54670
   CONDS        .010458         .00242       .00566       .01526
   L            .710398         .37582      -.03553      1.45633


 Contributions to the final objective function

 Measurement Set   2:    .1307E+00


------------Observed & Fitted Quantity -----------------------------
                                               Resi-
    No     Time           Obs        Fitted    dual   Type  Position
    1     12.000          .100         .249    -.149     2     1
    2     12.500          .150         .265    -.115     2     1
    3     13.000          .200         .279    -.079     2     1
    4     13.500          .250         .292    -.042     2     1
    5     14.500          .300         .312    -.012     2     1
    6     16.000          .320         .336    -.016     2     1
    7     17.500          .340         .352    -.012     2     1
    8     20.000          .360         .370    -.010     2     1
    9     24.000          .380         .387    -.007     2     1
   10     31.000          .400         .402    -.002     2     1
   20     53.000          .420         .418     .002     2     1
   11     31.000          .020         .199    -.179     2     2
   12     32.000          .100         .217    -.117     2     2
   13     33.000          .150         .233    -.083     2     2
   14     34.000          .200         .248    -.048     2     2
   15     36.000          .250         .274    -.024     2     2
   16     38.500          .300         .298     .002     2     2
   17     42.000          .320         .323    -.003     2     2
   18     46.500          .340         .345    -.005     2     2
   19     52.000          .360         .362    -.002     2     2
   21     61.500          .380         .381    -.001     2     2
   26     83.000          .400         .401    -.001     2     2
   38    139.000          .420         .417     .003     2     2
   22     74.000          .020         .124    -.104     2     3
   23     76.000          .100         .145    -.045     2     3
   24     78.000          .150         .166    -.016     2     3
   25     81.000          .200         .195     .005     2     3
   27     86.000          .250         .235     .015     2     3
   28     94.000          .300         .280     .020     2     3
   29    102.000          .320         .309     .011     2     3
   33    112.000          .340         .333     .007     2     3
   36    128.000          .360         .357     .003     2     3
   40    152.000          .380         .378     .002     2     3
   47    200.000          .400         .398     .002     2     3
   69    345.000          .420         .416     .004     2     3
   30    102.000          .020         .090    -.070     2     4
   31    106.000          .100         .125    -.025     2     4
   32    108.000          .150         .142     .008     2     4
   34    112.000          .200         .174     .026     2     4
   35    121.000          .250         .232     .018     2     4
   37    133.000          .300         .280     .020     2     4
   39    142.000          .320         .304     .016     2     4
   41    156.000          .340         .330     .010     2     4
   42    176.000          .360         .353     .007     2     4
   49    212.000          .380         .377     .003     2     4
   58    280.000          .400         .397     .003     2     4
   95    500.000          .420         .417     .003     2     4
   43    179.000          .020         .080    -.060     2     5
   44    186.000          .100         .121    -.021     2     5
   45    190.000          .150         .144     .006     2     5
   46    196.000          .200         .175     .025     2     5
   48    204.000          .250         .209     .041     2     5
   50    225.000          .300         .269     .031     2     5
   55    246.000          .320         .304     .016     2     5
   57    265.000          .340         .325     .015     2     5
   64    300.000          .360         .351     .009     2     5
   74    365.000          .380         .376     .004     2     5
   91    478.000          .400         .397     .003     2     5
   51    226.000          .020         .079    -.059     2     6
   52    235.000          .100         .123    -.023     2     6
   53    238.000          .150         .137     .013     2     6
   54    244.000          .200         .164     .036     2     6
   56    255.000          .250         .205     .045     2     6
   59    280.000          .300         .265     .035     2     6
   65    300.000          .320         .294     .026     2     6
   67    328.000          .340         .322     .018     2     6
   75    370.000          .360         .348     .012     2     6
   86    455.000          .380         .376     .004     2     6
  102    580.000          .400         .395     .005     2     6
