 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                   
  
 Date:   1.10.    Time:  14:16:20
 Units: L = cm   , T = min  , M = mmol 



                             Node(  7)                      Node( 11)                      Node( 17)                      Node( 20)                      Node( 26)                      Node( 29)                      Node( 32)                      Node( 35)                      Node( 38)                      Node( 41)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          .000    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .000    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .000    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .001    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .001    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .001    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .002    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .002    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .003    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .004    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .006    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .007    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .010    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .012    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .015    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .019    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .024    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .029    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .036    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .043    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .051    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .062    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .077    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .092    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .111    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .130    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .154    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .179    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .204    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .236    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
          .268    -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000      -227.597   .0202     .000
