 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                   
  
 Date:   1.10.    Time:  14:16:20
 Units: L = cm   , T = min  , M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .10000E-03  .10000E-03    2     2     1    -1     T
     2  .23000E-03  .13000E-03    2     4     1    -1     T
     3  .39900E-03  .16900E-03    2     6     1    -1     T
     4  .61870E-03  .21970E-03    2     8     1    -1     T
     5  .90431E-03  .28561E-03    2    10     1    -1     T
     6  .12756E-02  .37129E-03    2    12     1    -1     T
     7  .17583E-02  .48267E-03    2    14     1    -1     T
     8  .23858E-02  .62749E-03    2    16     1    -1     T
     9  .32015E-02  .81572E-03    2    18     1    -1     T
    10  .42619E-02  .10604E-02    2    20     1    -1     T
    11  .56406E-02  .13787E-02    2    22     1    -1     T
    12  .74327E-02  .17921E-02    3    25     1    -1     T
    13  .97627E-02  .23300E-02    4    29     1    -1     T
    14  .12093E-01  .23300E-02    3    32     1    -1     T
    15  .15121E-01  .30288E-02    2    34     1    -1     T
    16  .19059E-01  .39372E-02    3    37     1    -1     T
    17  .24177E-01  .51179E-02    4    41     1    -1     T
    18  .29294E-01  .51179E-02    3    44     1    -1     T
    19  .35949E-01  .66541E-02    4    48     1    -1     T
    20  .42603E-01  .66541E-02    3    51     1    -1     T
    21  .51255E-01  .86522E-02    2    53     1    -1     T
    22  .62495E-01  .11241E-01    3    56     1    -1     T
    23  .77107E-01  .14611E-01    4    60     1    -1     T
    24  .91718E-01  .14611E-01    3    63     1    -1     T
    25  .11071E+00  .18992E-01    4    67     1    -1     T
    26  .12970E+00  .18992E-01    3    70     1    -1     T
    27  .15443E+00  .24730E-01    4    74     1    -1     T
    28  .17916E+00  .24730E-01    4    78     1    -1     T
    29  .20389E+00  .24730E-01    2    80     1    -1     T
    30  .23603E+00  .32142E-01    4    84     1    -1     T
    31  .26818E+00  .32142E-01    4    88     1    -1     T
    32  .30032E+00  .32142E-01    4    92     1    -1     T
    33  .33246E+00  .32142E-01    3    95     1    -1     T
    34  .37428E+00  .41819E-01    4    99     1    -1     T
    35  .41610E+00  .41819E-01    3   102     1    -1     T
    36  .47048E+00  .54385E-01    4   106     1    -1     T
    37  .52487E+00  .54385E-01    4   110     1    -1     T
    38  .57925E+00  .54385E-01    3   113     1    -1     T
    39  .64975E+00  .70498E-01    3   116     1    -1     T
    40  .74129E+00  .91534E-01    5   121     1    -1     T
    41  .83282E+00  .91534E-01    4   125     1    -1     T
    42  .92435E+00  .91534E-01    4   129     1    -1     T
    43  .10159E+01  .91534E-01    4   133     1    -1     T
    44  .11074E+01  .91534E-01    4   137     1    -1     T
    45  .11990E+01  .91534E-01    4   141     1    -1     T
    46  .12905E+01  .91534E-01    4   145     1    -1     T
    47  .13820E+01  .91534E-01    4   149     1    -1     T
