 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Multistep Outflow - Data from Jan Hopmans                             *
 *Multistep Outflow - Data from Jan Hopmans                             *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb)............. 229


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............      .078
 Saturated moisture content..........(WCS)............      .430
 First coefficient...................(ALPHA)..........      .036
 Second coefficeint..................(N)..............     1.560
 Saturated conductivity..............(CONDS).......... .1040E+01
 Pore conectivity factor.............(L)..............      .500


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
     1       .067    -45.803       1     1       .000565
     2       .067      -.064       0     2       .464668
     3       .084    -50.095       1     1       .000565
     4       .084      -.077       0     2       .464668
     5       .101    -54.193       1     1       .000565
     6       .101      -.087       0     2       .464668
     7       .134    -60.682       1     1       .000565
     8       .134      -.103       0     2       .464668
     9       .167    -65.641       1     1       .000565
    10       .167      -.114       0     2       .464668
    11       .200    -69.481       1     1       .000565
    12       .200      -.124       0     2       .464668
    13       .250    -71.660       1     1       .000565
    14       .250      -.137       0     2       .464668
    15       .350    -77.314       1     1       .000565
    16       .350      -.151       0     2       .464668
    17       .451    -83.680       1     1       .000565
    18       .451      -.162       0     2       .464668
    19       .567    -88.806       1     1       .000565
    20       .567      -.172       0     2       .464668
    21       .734    -92.269       1     1       .000565
    22       .734      -.182       0     2       .464668
    23      1.017    -94.673       1     1       .000565
    24      1.017      -.192       0     2       .464668
    25      1.401    -97.107       1     1       .000565
    26      1.401      -.202       0     2       .464668
    27      1.934    -98.407       1     1       .000565
    28      1.934      -.212       0     2       .464668
    29      2.867    -99.345       1     1       .000565
    30      2.867      -.221       0     2       .464668
    31      4.201   -100.086       1     1       .000565
    32      4.201      -.231       0     2       .464668
    33      6.251   -100.464       1     1       .000565
    34      6.251      -.237       0     2       .464668
    35      8.717   -100.893       1     1       .000565
    36      8.717      -.241       0     2       .464668
    37     10.784   -100.862       1     1       .000565
    38     10.784      -.244       0     2       .464668
    39     12.450   -121.349       1     1       .000565
    40     12.450      -.268       0     2       .464668
    41     12.500   -126.840       1     1       .000565
    42     12.500      -.279       0     2       .464668
    43     12.634   -134.748       1     1       .000565
    44     12.634      -.291       0     2       .464668
    45     12.800   -142.358       1     1       .000565
    46     12.800      -.305       0     2       .464668
    47     12.967   -147.519       1     1       .000565
    48     12.967      -.316       0     2       .464668
    49     13.217   -153.150       1     1       .000565
    50     13.217      -.328       0     2       .464668
    51     13.467   -157.442       1     1       .000565
    52     13.467      -.339       0     2       .464668
    53     13.800   -162.136       1     1       .000565
    54     13.800      -.350       0     2       .464668
    55     14.217   -166.699       1     1       .000565
    56     14.217      -.360       0     2       .464668
    57     14.717   -171.198       1     1       .000565
