 ******* Program HYDRUS
 ******* Multistep Outflow - Data from Jan Hopmans                              
  
 Date:   1.10.    Time:  14:13:49
 Units: L = cm   , T = hours, M = mmol 



                             Node( 19)

       time         h        theta    Temp   
          .010     -25.624   .4282     .000
          .017     -28.277   .4269     .000
          .022     -30.060   .4260     .000
          .027     -31.729   .4252     .000
          .032     -33.278   .4244     .000
          .037     -34.731   .4236     .000
          .043     -36.357   .4228     .000
          .051     -38.326   .4218     .000
          .067     -41.722   .4200     .000
          .075     -43.366   .4191     .000
          .084     -44.939   .4183     .000
          .092     -46.362   .4176     .000
          .100     -47.708   .4169     .000
          .101     -47.799   .4168     .000
          .111     -49.319   .4160     .000
          .122     -51.030   .4152     .000
          .134     -52.623   .4143     .000
          .144     -53.950   .4136     .000
          .155     -55.394   .4129     .000
          .167     -56.757   .4122     .000
          .177     -57.870   .4117     .000
          .189     -59.076   .4110     .000
          .200     -60.226   .4105     .000
          .200     -60.282   .4104     .000
          .211     -61.228   .4100     .000
          .224     -62.464   .4093     .000
          .237     -63.630   .4087     .000
          .250     -64.758   .4082     .000
          .260     -65.583   .4078     .000
          .273     -66.601   .4073     .000
          .289     -67.756   .4067     .000
          .309     -69.184   .4060     .000
          .350     -71.687   .4048     .000
          .360     -72.317   .4045     .000
          .373     -73.044   .4041     .000
          .389     -73.896   .4037     .000
          .409     -74.959   .4032     .000
          .451     -76.876   .4023     .000
          .460     -77.343   .4021     .000
          .474     -77.930   .4018     .000
          .489     -78.604   .4015     .000
          .509     -79.405   .4011     .000
          .538     -80.540   .4005     .000
          .567     -81.622   .4000     .000
          .577     -81.985   .3999     .000
          .590     -82.443   .3997     .000
          .606     -82.983   .3994     .000
          .627     -83.665   .3991     .000
          .654     -84.473   .3988     .000
          .694     -85.588   .3983     .000
          .734     -86.623   .3978     .000
          .744     -86.884   .3977     .000
          .757     -87.203   .3975     .000
          .774     -87.615   .3974     .000
          .796     -88.115   .3971     .000
          .824     -88.708   .3969     .000
          .863     -89.478   .3965     .000
          .914     -90.413   .3961     .000
          .966     -91.270   .3957     .000
         1.017     -92.053   .3954     .000
         1.027     -92.209   .3953     .000
         1.040     -92.395   .3952     .000
         1.057     -92.637   .3951     .000
         1.079     -92.925   .3950     .000
         1.108     -93.300   .3948     .000
         1.144     -93.740   .3946     .000
         1.196     -94.306   .3944     .000
         1.264     -94.984   .3941     .000
         1.332     -95.598   .3938     .000
         1.401     -96.151   .3935     .000
         1.411     -96.236   .3935     .000
         1.424     -96.336   .3935     .000
         1.441     -96.465   .3934     .000
         1.463     -96.626   .3933     .000
         1.492     -96.828   .3932     .000
         1.529     -97.066   .3931     .000
         1.580     -97.371   .3930     .000
         1.639     -97.699   .3929     .000
         1.713     -98.068   .3927     .000
         1.823     -98.544   .3925     .000
         1.934     -98.963   .3923     .000
         1.944     -99.006   .3923     .000
         1.957     -99.052   .3923     .000
         1.974     -99.112   .3922     .000
         1.995     -99.184   .3922     .000
         2.024     -99.275   .3922     .000
         2.060     -99.388   .3921     .000
         2.108     -99.527   .3920     .000
         2.171     -99.700   .3920     .000
         2.248     -99.892   .3919     .000
         2.351    -100.118   .3918     .000
         2.480    -100.359   .3917     .000
         2.674    -100.640   .3916     .000
         2.867    -100.865   .3915     .000
         2.877    -100.881   .3915     .000
         2.890    -100.894   .3915     .000
         2.907    -100.911   .3915     .000
         2.929    -100.931   .3915     .000
         2.957    -100.955   .3914     .000
         2.995    -100.985   .3914     .000
         3.043    -101.022   .3914     .000
         3.107    -101.067   .3914     .000
         3.191    -101.121   .3914     .000
         3.292    -101.179   .3914     .000
         3.422    -101.242   .3913     .000
         3.617    -101.316   .3913     .000
         3.811    -101.375   .3913     .000
         4.201    -101.450   .3912     .000
         4.211    -101.456   .3912     .000
         4.223    -101.457   .3912     .000
         4.240    -101.459   .3912     .000
         4.262    -101.461   .3912     .000
         4.291    -101.462   .3912     .000
         4.328    -101.464   .3912     .000
         4.376    -101.467   .3912     .000
         4.438    -101.470   .3912     .000
         4.521    -101.475   .3912     .000
         4.629    -101.482   .3912     .000
         4.764    -101.488   .3912     .000
         4.950    -101.496   .3912     .000
         5.167    -101.503   .3912     .000
         5.438    -101.509   .3912     .000
         5.844    -101.515   .3912     .000
         6.251    -101.519   .3912     .000
         6.260    -101.519   .3912     .000
         6.273    -101.519   .3912     .000
         6.290    -101.519   .3912     .000
         6.312    -101.518   .3912     .000
         6.341    -101.516   .3912     .000
         6.378    -101.515   .3912     .000
         6.427    -101.513   .3912     .000
         6.490    -101.511   .3912     .000
         6.573    -101.509   .3912     .000
         6.680    -101.507   .3912     .000
         6.816    -101.505   .3912     .000
         6.989    -101.503   .3912     .000
         7.236    -101.501   .3912     .000
         7.532    -101.499   .3912     .000
         7.927    -101.497   .3912     .000
         8.322    -101.496   .3912     .000
         8.717    -101.496   .3912     .000
         8.727    -101.496   .3912     .000
         8.740    -101.495   .3912     .000
         8.757    -101.495   .3912     .000
         8.779    -101.494   .3912     .000
         8.808    -101.492   .3912     .000
         8.845    -101.490   .3912     .000
         8.893    -101.488   .3912     .000
         8.956    -101.485   .3912     .000
         9.039    -101.483   .3912     .000
         9.149    -101.480   .3912     .000
         9.285    -101.478   .3912     .000
         9.472    -101.475   .3912     .000
         9.691    -101.472   .3912     .000
         9.964    -101.470   .3912     .000
        10.374    -101.468   .3912     .000
        10.784    -101.466   .3912     .000
        10.794    -101.466   .3912     .000
        10.807    -101.464   .3912     .000
        10.824    -101.460   .3912     .000
        10.846    -101.452   .3912     .000
        10.874    -101.440   .3913     .000
        10.911    -101.425   .3913     .000
        10.959    -101.408   .3913     .000
        11.023    -101.390   .3913     .000
        11.105    -101.371   .3913     .000
        11.214    -101.351   .3913     .000
        11.348    -101.331   .3913     .000
        11.526    -101.311   .3913     .000
        11.749    -101.292   .3913     .000
        12.083    -101.273   .3913     .000
        12.417    -101.259   .3913     .000
        12.427    -101.304   .3913     .000
        12.435    -101.397   .3913     .000
        12.440    -101.490   .3912     .000
        12.445    -101.621   .3912     .000
        12.450    -101.790   .3911     .000
        12.460    -102.234   .3909     .000
        12.470    -102.768   .3907     .000
        12.481    -103.363   .3905     .000
        12.490    -103.995   .3902     .000
        12.500    -104.644   .3900     .000
        12.510    -105.302   .3897     .000
        12.524    -106.198   .3893     .000
        12.542    -107.361   .3889     .000
        12.565    -108.749   .3883     .000
        12.600    -110.697   .3875     .000
        12.634    -112.481   .3868     .000
        12.644    -113.004   .3866     .000
        12.657    -113.656   .3863     .000
        12.673    -114.440   .3860     .000
        12.694    -115.441   .3856     .000
        12.721    -116.646   .3851     .000
        12.761    -118.359   .3845     .000
        12.800    -120.008   .3838     .000
        12.810    -120.419   .3836     .000
        12.823    -120.948   .3834     .000
        12.839    -121.595   .3832     .000
        12.861    -122.438   .3828     .000
        12.887    -123.477   .3824     .000
        12.927    -124.976   .3819     .000
        12.967    -126.411   .3814     .000
        12.977    -126.773   .3813     .000
        12.990    -127.238   .3811     .000
        13.008    -127.838   .3809     .000
        13.029    -128.539   .3806     .000
        13.056    -129.416   .3803     .000
        13.096    -130.679   .3799     .000
        13.136    -131.901   .3795     .000
        13.217    -134.189   .3787     .000
        13.227    -134.488   .3786     .000
        13.240    -134.857   .3784     .000
        13.258    -135.342   .3783     .000
        13.279    -135.910   .3781     .000
        13.306    -136.630   .3778     .000
        13.346    -137.679   .3774     .000
        13.386    -138.703   .3771     .000
        13.467    -140.639   .3764     .000
        13.477    -140.890   .3763     .000
        13.490    -141.195   .3762     .000
        13.507    -141.603   .3761     .000
        13.530    -142.126   .3759     .000
        13.560    -142.813   .3756     .000
        13.600    -143.708   .3753     .000
        13.650    -144.797   .3749     .000
        13.725    -146.366   .3744     .000
        13.800    -147.891   .3739     .000
        13.810    -148.097   .3738     .000
        13.824    -148.360   .3737     .000
        13.841    -148.704   .3736     .000
        13.863    -149.145   .3734     .000
        13.892    -149.727   .3732     .000
        13.928    -150.430   .3730     .000
        13.977    -151.353   .3726     .000
        14.037    -152.486   .3723     .000
        14.127    -154.106   .3718     .000
        14.217    -155.648   .3713     .000
        14.227    -155.826   .3713     .000
        14.240    -156.042   .3712     .000
        14.257    -156.329   .3711     .000
        14.279    -156.690   .3710     .000
        14.308    -157.164   .3709     .000
        14.345    -157.754   .3707     .000
        14.392    -158.473   .3705     .000
        14.457    -159.445   .3702     .000
        14.544    -160.692   .3698     .000
        14.630    -161.896   .3695     .000
        14.717    -163.056   .3691     .000
        14.727    -163.193   .3691     .000
        14.740    -163.365   .3690     .000
        14.757    -163.589   .3690     .000
        14.779    -163.871   .3689     .000
        14.808    -164.244   .3688     .000
        14.846    -164.722   .3686     .000
        14.896    -165.345   .3684     .000
        14.964    -166.151   .3682     .000
        15.048    -167.121   .3679     .000
        15.174    -168.496   .3675     .000
        15.300    -169.804   .3671     .000
        15.311    -169.914   .3671     .000
        15.324    -170.046   .3670     .000
        15.340    -170.219   .3670     .000
        15.362    -170.440   .3669     .000
        15.391    -170.724   .3668     .000
        15.428    -171.087   .3667     .000
        15.475    -171.538   .3666     .000
        15.541    -172.151   .3664     .000
        15.626    -172.912   .3662     .000
        15.727    -173.790   .3659     .000
        15.863    -174.898   .3656     .000
        15.998    -175.954   .3653     .000
        16.134    -176.957   .3650     .000
        16.144    -177.036   .3650     .000
        16.157    -177.130   .3649     .000
        16.174    -177.254   .3649     .000
        16.195    -177.412   .3648     .000
        16.224    -177.615   .3648     .000
        16.260    -177.872   .3647     .000
        16.309    -178.208   .3646     .000
        16.372    -178.637   .3645     .000
        16.457    -179.192   .3643     .000
        16.570    -179.902   .3641     .000
        16.711    -180.750   .3638     .000
        16.922    -181.934   .3635     .000
        17.134    -183.049   .3632     .000
        17.144    -183.109   .3631     .000
        17.157    -183.175   .3631     .000
        17.174    -183.266   .3631     .000
        17.196    -183.378   .3631     .000
        17.224    -183.526   .3630     .000
        17.261    -183.712   .3630     .000
        17.309    -183.951   .3629     .000
        17.371    -184.254   .3628     .000
        17.455    -184.656   .3627     .000
        17.565    -185.162   .3625     .000
        17.706    -185.789   .3623     .000
        17.875    -186.511   .3621     .000
        18.100    -187.426   .3619     .000
        18.551    -189.054   .3615     .000
        18.560    -189.109   .3614     .000
        18.573    -189.154   .3614     .000
        18.591    -189.220   .3614     .000
        18.613    -189.302   .3614     .000
        18.641    -189.405   .3614     .000
        18.677    -189.534   .3613     .000
        18.729    -189.716   .3613     .000
        18.791    -189.931   .3612     .000
        18.873    -190.212   .3612     .000
        18.956    -190.487   .3611     .000
        19.038    -190.756   .3610     .000
        19.171    -191.172   .3609     .000
        19.354    -191.716   .3608     .000
        19.610    -192.422   .3606     .000
        19.951    -193.273   .3604     .000
        20.292    -194.047   .3602     .000
        20.634    -194.746   .3601     .000
        20.644    -194.773   .3600     .000
        20.657    -194.798   .3600     .000
        20.674    -194.833   .3600     .000
        20.696    -194.877   .3600     .000
        20.724    -194.934   .3600     .000
        20.762    -195.007   .3600     .000
        20.810    -195.099   .3600     .000
        20.873    -195.218   .3599     .000
        20.954    -195.366   .3599     .000
        21.062    -195.556   .3599     .000
        21.196    -195.784   .3598     .000
        21.380    -196.079   .3597     .000
        21.610    -196.425   .3596     .000
        21.931    -196.866   .3595     .000
        22.360    -197.389   .3594     .000
        22.788    -197.856   .3593     .000
        23.217    -198.271   .3592     .000
        23.227    -198.285   .3592     .000
        23.240    -198.297   .3592     .000
        23.257    -198.314   .3592     .000
        23.279    -198.334   .3592     .000
        23.307    -198.361   .3592     .000
        23.344    -198.395   .3592     .000
        23.392    -198.439   .3591     .000
        23.456    -198.496   .3591     .000
        23.536    -198.565   .3591     .000
        23.640    -198.653   .3591     .000
        23.778    -198.765   .3591     .000
        23.968    -198.911   .3590     .000
        24.190    -199.072   .3590     .000
        24.468    -199.259   .3589     .000
        24.884    -199.508   .3589     .000
        25.301    -199.733   .3588     .000
        25.311    -199.741   .3588     .000
        25.324    -199.747   .3588     .000
        25.340    -199.757   .3588     .000
        25.362    -199.768   .3588     .000
        25.391    -199.783   .3588     .000
        25.428    -199.802   .3588     .000
        25.476    -199.827   .3588     .000
        25.539    -199.858   .3588     .000
        25.619    -199.896   .3588     .000
        25.727    -199.947   .3588     .000
        25.867    -200.010   .3588     .000
        26.054    -200.090   .3587     .000
        26.304    -200.189   .3587     .000
        26.615    -200.305   .3587     .000
        27.083    -200.457   .3586     .000
        27.551    -200.593   .3586     .000
        27.560    -200.598   .3586     .000
        27.573    -200.601   .3586     .000
        27.590    -200.606   .3586     .000
        27.612    -200.612   .3586     .000
        27.641    -200.620   .3586     .000
        27.678    -200.631   .3586     .000
        27.727    -200.644   .3586     .000
        27.789    -200.660   .3586     .000
        27.870    -200.680   .3586     .000
        27.974    -200.706   .3586     .000
        28.117    -200.739   .3586     .000
        28.302    -200.781   .3586     .000
        28.540    -200.831   .3586     .000
        28.825    -200.887   .3585     .000
        29.206    -200.956   .3585     .000
        29.967    -201.068   .3585     .000
        29.977    -201.071   .3585     .000
        29.990    -201.073   .3585     .000
        30.007    -201.076   .3585     .000
        30.029    -201.079   .3585     .000
        30.057    -201.083   .3585     .000
        30.094    -201.088   .3585     .000
        30.143    -201.095   .3585     .000
        30.205    -201.103   .3585     .000
        30.286    -201.113   .3585     .000
        30.394    -201.127   .3585     .000
        30.528    -201.143   .3585     .000
        30.706    -201.163   .3585     .000
        30.944    -201.189   .3585     .000
        31.242    -201.219   .3585     .000
        31.688    -201.259   .3584     .000
        32.134    -201.295   .3584     .000
        32.144    -201.296   .3584     .000
        32.157    -201.297   .3584     .000
        32.174    -201.298   .3584     .000
        32.196    -201.300   .3584     .000
        32.224    -201.302   .3584     .000
        32.261    -201.305   .3584     .000
        32.310    -201.309   .3584     .000
        32.373    -201.314   .3584     .000
        32.454    -201.320   .3584     .000
        32.560    -201.328   .3584     .000
        32.700    -201.337   .3584     .000
        32.880    -201.349   .3584     .000
        33.114    -201.364   .3584     .000
        33.414    -201.381   .3584     .000
        33.775    -201.400   .3584     .000
        34.256    -201.423   .3584     .000
        35.217    -201.458   .3584     .000
        35.227    -201.459   .3584     .000
        35.240    -201.459   .3584     .000
        35.257    -201.460   .3584     .000
        35.279    -201.461   .3584     .000
        35.308    -201.461   .3584     .000
        35.345    -201.462   .3584     .000
        35.392    -201.461   .3584     .000
        35.455    -201.460   .3584     .000
        35.537    -201.457   .3584     .000
        35.643    -201.453   .3584     .000
        35.778    -201.448   .3584     .000
        35.955    -201.442   .3584     .000
        36.191    -201.436   .3584     .000
        36.505    -201.430   .3584     .000
        36.898    -201.426   .3584     .000
        37.487    -201.421   .3584     .000
        38.077    -201.417   .3584     .000
        38.746    -201.414   .3584     .000
        39.598    -201.411   .3584     .000
        40.663    -201.408   .3584     .000
        42.154    -201.405   .3584     .000
        44.142    -201.402   .3584     .000
        46.129    -201.401   .3584     .000
        48.117    -201.400   .3584     .000
        48.127    -201.399   .3584     .000
        48.134    -201.399   .3584     .000
        48.139    -201.400   .3584     .000
        48.144    -201.400   .3584     .000
        48.149    -201.400   .3584     .000
        48.155    -201.400   .3584     .000
        48.163    -201.402   .3584     .000
        48.173    -201.406   .3584     .000
        48.187    -201.419   .3584     .000
