 ******* Program HYDRUS
 ******* Multistep Outflow - Data from Jan Hopmans                              
  
 Date:   1.10.    Time:  14:13:49
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
    2       .20      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
    3       .39      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
    4       .59      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
    5       .77      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
    6       .96      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
    7      1.14      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
    8      1.31      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
    9      1.49      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   10      1.65      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   11      1.82      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   12      1.98      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   13      2.14      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   14      2.29      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   15      2.44      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   16      2.59      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   17      2.73      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   18      2.87      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   19      3.00      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   20      3.13      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   21      3.26      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   22      3.38      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   23      3.51      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   24      3.63      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   25      3.74      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   26      3.86      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   27      3.98      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   28      4.09      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   29      4.20      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   30      4.31      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   31      4.41      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   32      4.51      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   33      4.62      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   34      4.71      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   35      4.81      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   36      4.91      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   37      5.00      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   38      5.09      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   39      5.18      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   40      5.26      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   41      5.35      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   42      5.43      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   43      5.51      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   44      5.58      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   45      5.66      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   46      5.73      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   47      5.80      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   48      5.87      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   49      5.94      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
   50      6.00      .197      .438        .0    .521E+00     1.000      .000     1.000     1.000     1.000
end
