 ******* Program HYDRUS
 ******* Multistep Outflow - Data from Jan Hopmans                              
  
 Date:   1.10.    Time:  14:13:49
 Units: L = cm   , T = hours, M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .10000E-01  .10000E-01    9     9    -4     3     T
     2  .17138E-01  .71375E-02    8    17    -4     3     T
     3  .22134E-01  .49963E-02    5    22    -4     3     T
     4  .27130E-01  .49962E-02    4    26    -4     3     T
     5  .32126E-01  .49963E-02    4    30    -4     3     T
     6  .37123E-01  .49963E-02    3    33    -4     3     T
     7  .43118E-01  .59955E-02    3    36    -4     3     T
     8  .51112E-01  .79940E-02    3    39    -4     3     T
     9  .67100E-01  .15988E-01    4    43    -4     3     T
    10  .75450E-01  .83500E-02    2    45    -4     3     T
    11  .83800E-01  .83500E-02    2    47    -4     3     T
    12  .91900E-01  .81000E-02    2    49    -4     3     T
    13  .10000E+00  .81000E-02    2    51    -4     3     T
    14  .10050E+00  .50000E-03    2    53    -4     3     T
    15  .11050E+00  .10000E-01    2    55    -4     3     T
    16  .12215E+00  .11650E-01    2    57    -4     3     T
    17  .13380E+00  .11650E-01    2    59    -4     3     T
    18  .14380E+00  .10000E-01    2    61    -4     3     T
    19  .15545E+00  .11650E-01    2    63    -4     3     T
    20  .16710E+00  .11650E-01    2    65    -4     3     T
    21  .17710E+00  .10000E-01    2    67    -4     3     T
    22  .18855E+00  .11450E-01    2    69    -4     3     T
    23  .20000E+00  .11450E-01    2    71    -4     3     T
    24  .20050E+00  .49999E-03    2    73    -4     3     T
    25  .21050E+00  .10000E-01    2    75    -4     3     T
    26  .22383E+00  .13333E-01    2    77    -4     3     T
    27  .23717E+00  .13333E-01    2    79    -4     3     T
    28  .25050E+00  .13333E-01    2    81    -4     3     T
    29  .26050E+00  .10000E-01    2    83    -4     3     T
    30  .27336E+00  .12857E-01    2    85    -4     3     T
    31  .28879E+00  .15429E-01    2    87    -4     3     T
    32  .30936E+00  .20571E-01    2    89    -4     3     T
    33  .35050E+00  .41143E-01    2    91    -4     3     T
    34  .36050E+00  .10000E-01    2    93    -4     3     T
    35  .37336E+00  .12857E-01    2    95    -4     3     T
    36  .38879E+00  .15429E-01    2    97    -4     3     T
    37  .40936E+00  .20571E-01    2    99    -4     3     T
    38  .45050E+00  .41143E-01    2   101    -4     3     T
    39  .46022E+00  .97167E-02    2   103    -4     3     T
    40  .47358E+00  .13360E-01    2   105    -4     3     T
    41  .48916E+00  .15587E-01    2   107    -4     3     T
    42  .50865E+00  .19484E-01    2   109    -4     3     T
    43  .53787E+00  .29226E-01    2   111    -4     3     T
    44  .56710E+00  .29226E-01    2   113    -4     3     T
    45  .57691E+00  .98059E-02    2   115    -4     3     T
    46  .58998E+00  .13075E-01    2   117    -4     3     T
    47  .60596E+00  .15980E-01    2   119    -4     3     T
    48  .62727E+00  .21307E-01    2   121    -4     3     T
    49  .65390E+00  .26633E-01    2   123    -4     3     T
    50  .69385E+00  .39950E-01    2   125    -4     3     T
    51  .73380E+00  .39950E-01    2   127    -4     3     T
    52  .74380E+00  .10000E-01    2   129    -4     3     T
    53  .75681E+00  .13014E-01    2   131    -4     3     T
    54  .77417E+00  .17352E-01    2   133    -4     3     T
    55  .79625E+00  .22085E-01    2   135    -4     3     T
    56  .82386E+00  .27606E-01    2   137    -4     3     T
    57  .86251E+00  .38648E-01    2   139    -4     3     T
    58  .91404E+00  .51531E-01    2   141    -4     3     T
    59  .96557E+00  .51531E-01    2   143    -4     3     T
    60  .10171E+01  .51531E-01    2   145    -4     3     T
    61  .10271E+01  .10000E-01    2   147    -4     3     T
    62  .10400E+01  .12876E-01    2   149    -4     3     T
    63  .10571E+01  .17168E-01    2   151    -4     3     T
    64  .10786E+01  .21460E-01    2   153    -4     3     T
    65  .11079E+01  .29263E-01    2   155    -4     3     T
    66  .11444E+01  .36579E-01    2   157    -4     3     T
    67  .11957E+01  .51211E-01    2   159    -4     3     T
    68  .12639E+01  .68281E-01    2   161    -4     3     T
    69  .13322E+01  .68281E-01    2   163    -4     3     T
    70  .14005E+01  .68281E-01    2   165    -4     3     T
    71  .14105E+01  .10000E-01    2   167    -4     3     T
    72  .14236E+01  .13082E-01    2   169    -4     3     T
    73  .14406E+01  .17007E-01    2   171    -4     3     T
    74  .14630E+01  .22419E-01    2   173    -4     3     T
    75  .14924E+01  .29424E-01    2   175    -4     3     T
    76  .15292E+01  .36781E-01    2   177    -4     3     T
    77  .15798E+01  .50573E-01    2   179    -4     3     T
    78  .16388E+01  .59002E-01    2   181    -4     3     T
    79  .17125E+01  .73753E-01    2   183    -4     3     T
    80  .18232E+01  .11063E+00    2   185    -4     3     T
    81  .19338E+01  .11063E+00    2   187    -4     3     T
    82  .19438E+01  .10000E-01    2   189    -4     3     T
    83  .19568E+01  .13004E-01    2   191    -4     3     T
    84  .19737E+01  .16857E-01    2   193    -4     3     T
    85  .19955E+01  .21791E-01    2   195    -4     3     T
    86  .20236E+01  .28118E-01    2   197    -4     3     T
    87  .20602E+01  .36675E-01    2   199    -4     3     T
    88  .21077E+01  .47462E-01    2   201    -4     3     T
    89  .21710E+01  .63283E-01    2   203    -4     3     T
    90  .22483E+01  .77346E-01    2   205    -4     3     T
    91  .23515E+01  .10313E+00    2   207    -4     3     T
    92  .24804E+01  .12891E+00    2   209    -4     3     T
    93  .26737E+01  .19336E+00    2   211    -4     3     T
    94  .28671E+01  .19336E+00    2   213    -4     3     T
    95  .28771E+01  .10000E-01    2   215    -4     3     T
    96  .28901E+01  .12975E-01    2   217    -4     3     T
    97  .29069E+01  .16800E-01    2   219    -4     3     T
    98  .29288E+01  .21926E-01    2   221    -4     3     T
    99  .29571E+01  .28260E-01    2   223    -4     3     T
   100  .29947E+01  .37680E-01    2   225    -4     3     T
   101  .30430E+01  .48230E-01    2   227    -4     3     T
   102  .31073E+01  .64307E-01    2   229    -4     3     T
   103  .31914E+01  .84094E-01    2   231    -4     3     T
   104  .32923E+01  .10091E+00    2   233    -4     3     T
   105  .34220E+01  .12974E+00    2   235    -4     3     T
   106  .36166E+01  .19462E+00    2   237    -4     3     T
   107  .38113E+01  .19462E+00    2   239    -4     3     T
   108  .42005E+01  .38923E+00    2   241    -4     3     T
   109  .42105E+01  .10000E-01    2   243    -4     3     T
   110  .42235E+01  .12994E-01    2   245    -4     3     T
   111  .42404E+01  .16892E-01    2   247    -4     3     T
   112  .42625E+01  .22089E-01    2   249    -4     3     T
   113  .42909E+01  .28400E-01    2   251    -4     3     T
   114  .43278E+01  .36974E-01    2   253    -4     3     T
   115  .43759E+01  .48066E-01    2   255    -4     3     T
   116  .44384E+01  .62486E-01    2   257    -4     3     T
   117  .45208E+01  .82368E-01    2   259    -4     3     T
   118  .46289E+01  .10811E+00    2   261    -4     3     T
   119  .47640E+01  .13514E+00    2   263    -4     3     T
   120  .49498E+01  .18581E+00    2   265    -4     3     T
   121  .51666E+01  .21678E+00    2   267    -4     3     T
   122  .54376E+01  .27097E+00    2   269    -4     3     T
   123  .58440E+01  .40646E+00    2   271    -4     3     T
   124  .62505E+01  .40646E+00    2   273    -4     3     T
   125  .62605E+01  .99862E-02    2   275    -4     3     T
   126  .62735E+01  .12998E-01    2   277    -4     3     T
   127  .62903E+01  .16853E-01    2   279    -4     3     T
   128  .63124E+01  .22061E-01    2   281    -4     3     T
   129  .63410E+01  .28627E-01    2   283    -4     3     T
   130  .63782E+01  .37126E-01    2   285    -4     3     T
   131  .64269E+01  .48728E-01    2   287    -4     3     T
   132  .64905E+01  .63617E-01    2   289    -4     3     T
   133  .65730E+01  .82467E-01    2   291    -4     3     T
   134  .66802E+01  .10721E+00    2   293    -4     3     T
   135  .68160E+01  .13580E+00    2   295    -4     3     T
   136  .69888E+01  .17283E+00    2   297    -4     3     T
   137  .72357E+01  .24690E+00    2   299    -4     3     T
   138  .75320E+01  .29628E+00    2   301    -4     3     T
   139  .79270E+01  .39504E+00    2   303    -4     3     T
   140  .83221E+01  .39504E+00    2   305    -4     3     T
   141  .87171E+01  .39504E+00    2   307    -4     3     T
   142  .87271E+01  .99841E-02    2   309    -4     3     T
   143  .87401E+01  .13017E-01    2   311    -4     3     T
   144  .87570E+01  .16890E-01    2   313    -4     3     T
   145  .87790E+01  .22031E-01    2   315    -4     3     T
   146  .88077E+01  .28640E-01    2   317    -4     3     T
   147  .88449E+01  .37286E-01    2   319    -4     3     T
   148  .88934E+01  .48471E-01    2   321    -4     3     T
   149  .89564E+01  .63013E-01    2   323    -4     3     T
   150  .90395E+01  .83062E-01    2   325    -4     3     T
   151  .91485E+01  .10902E+00    2   327    -4     3     T
   152  .92848E+01  .13627E+00    2   329    -4     3     T
   153  .94722E+01  .18738E+00    2   331    -4     3     T
   154  .96908E+01  .21861E+00    2   333    -4     3     T
   155  .99640E+01  .27326E+00    2   335    -4     3     T
   156  .10374E+02  .40989E+00    2   337    -4     3     T
   157  .10784E+02  .40989E+00    2   339    -4     3     T
   158  .10794E+02  .10000E-01    2   341    -4     3     T
   159  .10807E+02  .12986E-01    2   343    -4     3     T
   160  .10824E+02  .16951E-01    2   345    -4     3     T
   161  .10846E+02  .21827E-01    2   347    -4     3     T
   162  .10874E+02  .28573E-01    2   349    -4     3     T
   163  .10911E+02  .36737E-01    2   351    -4     3     T
   164  .10959E+02  .48588E-01    2   353    -4     3     T
   165  .11023E+02  .63376E-01    2   355    -4     3     T
   166  .11105E+02  .82015E-01    2   357    -4     3     T
