 ******* Program HYDRUS
 ******* 
 Test example for Onestep outflow method                                 
 Date:   6. 6.    Time:   9:59:59
 Units: L = cm   , T = hours, M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000      -2.000 0.3865   0.2017E+01  0.9942E-03  0.1468E-05  0.0000E+00      -1   0.272E-06   20.00
   2    -0.1584      -1.842 0.3866   0.2089E+01  0.9694E-03  0.3655E-06  0.0000E+00      -1   0.677E-07   20.00
   3    -0.3137      -1.686 0.3868   0.2163E+01  0.9437E-03 -0.2916E-05  0.0000E+00      -1  -0.540E-06   20.00
   4    -0.4657      -1.534 0.3869   0.2241E+01  0.9168E-03  0.6452E-06  0.0000E+00      -1   0.119E-06   20.00
   5    -0.6145      -1.386 0.3871   0.2326E+01  0.8876E-03  0.5259E-05  0.0000E+00      -1   0.974E-06   20.00
   6    -0.7601      -1.240 0.3872   0.2416E+01  0.8569E-03  0.2001E-05  0.0000E+00      -1   0.371E-06   20.00
   7    -0.9024      -1.098 0.3873   0.2513E+01  0.8242E-03 -0.4914E-05  0.0000E+00      -1  -0.910E-06   20.00
   8    -1.0416      -0.958 0.3874   0.2619E+01  0.7890E-03 -0.9285E-06  0.0000E+00      -1  -0.172E-06   20.00
   9    -1.1776      -0.822 0.3875   0.2736E+01  0.7505E-03  0.1065E-05  0.0000E+00      -1   0.197E-06   20.00
  10    -1.3103      -0.690 0.3876   0.2866E+01  0.7082E-03 -0.4508E-05  0.0000E+00      -1  -0.835E-06   20.00
  11    -1.4398      -0.560 0.3877   0.3012E+01  0.6614E-03 -0.2424E-05  0.0000E+00      -1  -0.449E-06   20.00
  12    -1.5662      -0.434 0.3878   0.3184E+01  0.6071E-03  0.6424E-05  0.0000E+00      -1   0.119E-05   20.00
  13    -1.6893      -0.311 0.3879   0.3393E+01  0.5430E-03 -0.2513E-06  0.0000E+00      -1  -0.465E-07   20.00
  14    -1.8092      -0.191 0.3879   0.3670E+01  0.4605E-03 -0.1187E-04  0.0000E+00      -1  -0.220E-05   20.00
  15    -1.9258      -0.074 0.3880   0.4112E+01  0.3344E-03  0.1608E-04  0.0000E+00      -1   0.298E-05   20.00
  16    -2.0393       0.039 0.3880   0.5400E+01  0.0000E+00  0.3918E-05  0.0000E+00      -1   0.726E-06   20.00
  17    -2.1496       0.150 0.3880   0.5400E+01  0.0000E+00 -0.5252E-05  0.0000E+00      -1  -0.973E-06   20.00
  18    -2.2566       0.257 0.3880   0.5400E+01  0.0000E+00 -0.9052E-06  0.0000E+00      -1  -0.168E-06   20.00
  19    -2.3605       0.360 0.3880   0.5400E+01  0.0000E+00 -0.1182E-04  0.0000E+00      -1  -0.219E-05   20.00
  20    -2.4611       0.461 0.3880   0.5400E+01  0.0000E+00  0.5220E-07  0.0000E+00      -1   0.967E-08   20.00
  21    -2.5585       0.558 0.3880   0.5400E+01  0.0000E+00  0.1007E-04  0.0000E+00      -1   0.187E-05   20.00
