 ******* Program HYDRUS
 ******* 
 Test example for Onestep outflow method                                 
 Date:   6. 6.    Time:   9:59:59
 Units: L = cm   , T = hours, M = mmol 



                               Node(  6)                      Node( 14)                      Node( 24)                      Node( 39)

         time            h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp  
          0.0010       -2.23  0.3863   20.000         -1.79  0.3867   20.000         -1.91  0.3866   20.000         -2.85  0.3856   20.000
          0.0020       -3.10  0.3853   20.000         -2.81  0.3856   20.000         -3.26  0.3851   20.000         -4.88  0.3832   20.000
          0.0030       -3.92  0.3844   20.000         -3.76  0.3845   20.000         -4.48  0.3837   20.000         -6.70  0.3808   20.000
          0.0043       -4.92  0.3831   20.000         -4.91  0.3831   20.000         -5.97  0.3818   20.000         -8.99  0.3777   20.000
          0.0059       -6.07  0.3816   20.000         -6.22  0.3814   20.000         -7.70  0.3795   20.000        -11.77  0.3738   20.000
          0.0081       -7.58  0.3796   20.000         -7.96  0.3791   20.000        -10.03  0.3762   20.000        -15.80  0.3683   20.000
          0.0111       -9.50  0.3770   20.000        -10.17  0.3761   20.000        -13.06  0.3720   20.000        -21.61  0.3606   20.000
          0.0140      -11.31  0.3745   20.000        -12.29  0.3731   20.000        -16.06  0.3679   20.000        -28.18  0.3525   20.000
          0.0170      -13.06  0.3720   20.000        -14.35  0.3702   20.000        -19.04  0.3639   20.000        -35.79  0.3441   20.000
          0.0210      -15.32  0.3689   20.000        -17.02  0.3666   20.000        -23.04  0.3587   20.000        -48.12  0.3325   20.000
          0.0250      -17.50  0.3659   20.000        -19.61  0.3631   20.000        -26.96  0.3539   20.000        -62.90  0.3212   20.000
          0.0277      -18.93  0.3640   20.000        -21.30  0.3609   20.000        -29.53  0.3510   20.000        -73.74  0.3142   20.000
          0.0294      -19.87  0.3628   20.000        -22.41  0.3595   20.000        -31.22  0.3490   20.000        -81.10  0.3100   20.000
          0.0306      -20.49  0.3620   20.000        -23.14  0.3586   20.000        -32.33  0.3478   20.000        -86.00  0.3074   20.000
          0.0318      -21.11  0.3612   20.000        -23.87  0.3577   20.000        -33.42  0.3467   20.000        -90.69  0.3051   20.000
          0.0330      -21.72  0.3604   20.000        -24.59  0.3568   20.000        -34.48  0.3455   20.000        -95.29  0.3029   20.000
          0.0343      -22.36  0.3596   20.000        -25.35  0.3559   20.000        -35.60  0.3443   20.000        -99.62  0.3009   20.000
          0.0355      -22.99  0.3588   20.000        -26.09  0.3550   20.000        -36.70  0.3432   20.000       -103.98  0.2990   20.000
          0.0364      -23.44  0.3582   20.000        -26.61  0.3543   20.000        -37.45  0.3425   20.000       -106.88  0.2978   20.000
          0.0373      -23.89  0.3577   20.000        -27.12  0.3537   20.000        -38.19  0.3417   20.000       -109.53  0.2967   20.000
          0.0382      -24.33  0.3571   20.000        -27.63  0.3531   20.000        -38.91  0.3410   20.000       -111.90  0.2957   20.000
          0.0391      -24.76  0.3566   20.000        -28.14  0.3526   20.000        -39.62  0.3403   20.000       -114.16  0.2948   20.000
          0.0400      -25.19  0.3561   20.000        -28.63  0.3520   20.000        -40.33  0.3396   20.000       -116.51  0.2940   20.000
