 ******* Program HYDRUS
 ******* 
 Test example for Onestep outflow method                                 
 Date:   6. 6.    Time:   9:59:59
 Units: L = cm   , T = hours, M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    5        5    -1     1     T
        2  0.2000000E-02  0.10000E-02    4        9    -1     1     T
        3  0.3000000E-02  0.10000E-02    2       11    -1     1     T
        4  0.4300000E-02  0.13000E-02    2       13    -1     1     T
        5  0.5887500E-02  0.15875E-02    2       15    -1     1     T
        6  0.8110000E-02  0.22225E-02    2       17    -1     1     T
        7  0.1107333E-01  0.29633E-02    3       20    -1     1     T
        8  0.1403667E-01  0.29633E-02    4       24    -1     1     T
        9  0.1700000E-01  0.29633E-02    4       28    -1     1     T
       10  0.2100000E-01  0.40000E-02    5       33    -1     1     T
       11  0.2500000E-01  0.40000E-02    8       41    -1     1     T
       12  0.2766667E-01  0.26667E-02    8       49    -1     1     T
       13  0.2944444E-01  0.17778E-02    7       56    -1     1     T
       14  0.3062963E-01  0.11852E-02    5       61    -1     1     T
       15  0.3181481E-01  0.11852E-02    6       67    -1     1     T
       16  0.3300000E-01  0.11852E-02    5       72    -1     1     T
       17  0.3427353E-01  0.12735E-02    6       78    -1     1     T
       18  0.3554707E-01  0.12735E-02    7       85    -1     1     T
       19  0.3643854E-01  0.89147E-03    5       90    -1     1     T
       20  0.3733002E-01  0.89147E-03    5       95    -1     1     T
       21  0.3822149E-01  0.89147E-03    4       99    -1     1     T
       22  0.3911297E-01  0.89147E-03    4      103    -1     1     T
       23  0.4000444E-01  0.89147E-03    7      110    -1     1     T
       24  0.4062847E-01  0.62403E-03    4      114    -1     1     T
       25  0.4125251E-01  0.62403E-03    5      119    -1     1     T
       26  0.4187654E-01  0.62403E-03    3      122    -1     1     T
       27  0.4268888E-01  0.81235E-03    2      124    -1     1     T
       28  0.4373333E-01  0.10444E-02    2      126    -1     1     T
       29  0.4498666E-01  0.12533E-02    4      130    -1     1     T
       30  0.4624000E-01  0.12533E-02    7      137    -1     1     T
       31  0.4718000E-01  0.94000E-03    4      141    -1     1     T
       32  0.4812000E-01  0.94000E-03    6      147    -1     1     T
       33  0.4906000E-01  0.94000E-03    3      150    -1     1     T
       34  0.5000000E-01  0.94000E-03    4      154    -1     1     T
       35  0.5095970E-01  0.95970E-03    3      157    -1     1     T
       36  0.5220731E-01  0.12476E-02    2      159    -1     1     T
       37  0.5382920E-01  0.16219E-02    5      164    -1     1     T
       38  0.5545109E-01  0.16219E-02    2      166    -1     1     T
       39  0.5755955E-01  0.21085E-02    6      172    -1     1     T
       40  0.5966800E-01  0.21085E-02    4      176    -1     1     T
       41  0.6177646E-01  0.21085E-02    4      180    -1     1     T
       42  0.6388492E-01  0.21085E-02    2      182    -1     1     T
       43  0.6662592E-01  0.27410E-02    4      186    -1     1     T
       44  0.6936691E-01  0.27410E-02    2      188    -1     1     T
       45  0.7293020E-01  0.35633E-02    4      192    -1     1     T
       46  0.7649350E-01  0.35633E-02    7      199    -1     1     T
       47  0.7898780E-01  0.24943E-02    6      205    -1     1     T
       48  0.8148211E-01  0.24943E-02    4      209    -1     1     T
       49  0.8397642E-01  0.24943E-02    4      213    -1     1     T
       50  0.8647072E-01  0.24943E-02    4      217    -1     1     T
       51  0.8896503E-01  0.24943E-02    2      219    -1     1     T
       52  0.9220762E-01  0.32426E-02    2      221    -1     1     T
       53  0.9642300E-01  0.42154E-02    4      225    -1     1     T
       54  0.1006384E+00  0.42154E-02    4      229    -1     1     T
       55  0.1048538E+00  0.42154E-02    6      235    -1     1     T
       56  0.1090691E+00  0.42154E-02    3      238    -1     1     T
       57  0.1145491E+00  0.54800E-02    4      242    -1     1     T
       58  0.1197942E+00  0.52451E-02    4      246    -1     1     T
       59  0.1250393E+00  0.52451E-02    3      249    -1     1     T
       60  0.1320327E+00  0.69935E-02    4      253    -1     1     T
       61  0.1390262E+00  0.69935E-02    6      259    -1     1     T
       62  0.1460196E+00  0.69935E-02    3      262    -1     1     T
       63  0.1565098E+00  0.10490E-01    2      264    -1     1     T
       64  0.1670000E+00  0.10490E-01    5      269    -1     1     T
       65  0.1762612E+00  0.92612E-02    2      271    -1     1     T
       66  0.1883007E+00  0.12040E-01    3      274    -1     1     T
       67  0.2039521E+00  0.15651E-01    4      278    -1     1     T
       68  0.2196035E+00  0.15651E-01    5      283    -1     1     T
       69  0.2352549E+00  0.15651E-01    4      287    -1     1     T
       70  0.2509063E+00  0.15651E-01    3      290    -1     1     T
       71  0.2712531E+00  0.20347E-01    5      295    -1     1     T
       72  0.2915999E+00  0.20347E-01    3      298    -1     1     T
       73  0.3176499E+00  0.26050E-01    2      300    -1     1     T
       74  0.3541199E+00  0.36470E-01    3      303    -1     1     T
       75  0.4027466E+00  0.48627E-01    3      306    -1     1     T
       76  0.4513733E+00  0.48627E-01    5      311    -1     1     T
       77  0.5000000E+00  0.48627E-01    4      315    -1     1     T
       78  0.5592222E+00  0.59222E-01    3      318    -1     1     T
       79  0.6381852E+00  0.78963E-01    3      321    -1     1     T
       80  0.7368889E+00  0.98704E-01    3      324    -1     1     T
       81  0.8849444E+00  0.14806E+00    4      328    -1     1     T
       82  0.1033000E+01  0.14806E+00    3      331    -1     1     T
       83  0.1204700E+01  0.17170E+00    3      334    -1     1     T
       84  0.1425457E+01  0.22076E+00    3      337    -1     1     T
       85  0.1690366E+01  0.26491E+00    3      340    -1     1     T
       86  0.2043577E+01  0.35321E+00    3      343    -1     1     T
       87  0.2750000E+01  0.70642E+00    4      347    -1     1     T
       88  0.3194500E+01  0.44450E+00    2      349    -1     1     T
       89  0.3750125E+01  0.55562E+00    2      351    -1     1     T
       90  0.4583562E+01  0.83344E+00    2      353    -1     1     T
       91  0.5417000E+01  0.83344E+00    2      355    -1     1     T
       92  0.6562750E+01  0.11458E+01    2      357    -1     1     T
       93  0.7708500E+01  0.11458E+01    2      359    -1     1     T
       94  0.1000000E+02  0.22915E+01    4      363    -1     1     T
       95  0.1166667E+02  0.16667E+01    2      365    -1     1     T
       96  0.1500000E+02  0.33333E+01    2      367    -1     1     T
       97  0.1797454E+02  0.29745E+01    2      369    -1     1     T
       98  0.2184144E+02  0.38669E+01    2      371    -1     1     T
       99  0.2686841E+02  0.50270E+01    2      373    -1     1     T
      100  0.3340347E+02  0.65351E+01    2      375    -1     1     T
      101  0.4172804E+02  0.83246E+01    2      377    -1     1     T
      102  0.5338243E+02  0.11654E+02    2      379    -1     1     T
      103  0.6892162E+02  0.15539E+02    2      381    -1     1     T
      104  0.8446081E+02  0.15539E+02    2      383    -1     1     T
      105  0.1000000E+03  0.15539E+02    2      385    -1     1     T
end
