 ******* Program HYDRUS
 ******* 
 Test example for Onestep outflow method                                 
 Date:   6. 6.    Time:   9:59:59
 Units: L = cm   , T = hours, M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0010  0.00000E+00  0.00000E+00 -0.67800E-06  0.00000E+00 -0.52489E+01  0.00000E+00  0.00000E+00 -0.67800E-09  0.00000E+00 -0.52489E-02 -0.28605E+01  0.00000E+00 -0.10000E+04  0.00000E+00  0.00000E+00  0.21013E+01  0.00000E+00  0.00000E+00      1  0.00000E+00      0.000
       0.0020  0.00000E+00  0.00000E+00 -0.14156E-06  0.00000E+00 -0.52369E+01  0.00000E+00  0.00000E+00 -0.81956E-09  0.00000E+00 -0.10486E-01 -0.36824E+01  0.00000E+00 -0.10000E+04  0.00000E+00  0.00000E+00  0.20961E+01  0.00000E+00  0.00000E+00      2  0.00000E+00      0.000
       0.0030  0.00000E+00  0.00000E+00  0.18775E-05  0.00000E+00 -0.52260E+01  0.00000E+00  0.00000E+00  0.10580E-08  0.00000E+00 -0.15712E-01 -0.44813E+01  0.00000E+00 -0.10000E+04  0.00000E+00  0.00000E+00  0.20908E+01  0.00000E+00  0.18775E-08      3  0.00000E+00      0.000
       0.0043  0.00000E+00  0.00000E+00 -0.25332E-06  0.00000E+00 -0.52121E+01  0.00000E+00  0.00000E+00  0.72867E-09  0.00000E+00 -0.22488E-01 -0.54544E+01  0.00000E+00 -0.10000E+04  0.00000E+00  0.00000E+00  0.20841E+01  0.00000E+00  0.18775E-08      4  0.00000E+00      0.000
       0.0059  0.00000E+00  0.00000E+00 -0.13635E-05  0.00000E+00 -0.51949E+01  0.00000E+00  0.00000E+00 -0.14358E-08  0.00000E+00 -0.30734E-01 -0.65746E+01  0.00000E+00 -0.10000E+04  0.00000E+00  0.00000E+00  0.20758E+01  0.00000E+00  0.18775E-08      5  0.00000E+00      0.000
       0.0081  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.51691E+01  0.00000E+00  0.00000E+00 -0.90593E-09  0.00000E+00 -0.42223E-01 -0.80455E+01  0.00000E+00 -0.10000E+04  0.00000E+00  0.00000E+00  0.20643E+01  0.00000E+00  0.24074E-08      6  0.00000E+00      0.000
       0.0111  0.00000E+00  0.00000E+00 -0.12666E-06  0.00000E+00 -0.51293E+01  0.00000E+00  0.00000E+00 -0.12813E-08  0.00000E+00 -0.57423E-01 -0.99034E+01  0.00000E+00 -0.10000E+04  0.00000E+00  0.00000E+00  0.20491E+01  0.00000E+00  0.24074E-08      7  0.00000E+00      0.000
       0.0140  0.00000E+00  0.00000E+00 -0.17136E-05  0.00000E+00 -0.50797E+01  0.00000E+00  0.00000E+00 -0.63593E-08  0.00000E+00 -0.72476E-01 -0.11663E+02  0.00000E+00 -0.10000E+04  0.00000E+00  0.00000E+00  0.20341E+01  0.00000E+00  0.24074E-08      8  0.00000E+00      0.000
