 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Upward infiltration with bottom tension                               *
 *Parameter Estimation of Soil Hydraulic Properties                     *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb)............. 160


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............      .067
 Saturated moisture content..........(WCS)............      .450
 First coefficient...................(ALPHA)..........      .020
 Second coefficeint..................(N)..............     1.410
 Saturated conductivity..............(CONDS).......... .1250E-03
 Pore conectivity factor.............(L)..............     1.000


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
     1      3.445       .061       0     2       .196821
     2      5.160       .075       0     2       .196821
     3      8.459       .095       0     2       .196821
     4     10.984       .108       0     2       .196821
     5     14.345       .123       0     2       .196821
     6     17.705       .136       0     2       .196821
     7     21.545       .150       0     2       .196821
     8     27.287       .168       0     2       .196821
     9     32.965       .184       0     2       .196821
    10     40.100       .203       0     2       .196821
    11     47.479       .220       0     2       .196821
    12     53.804       .234       0     2       .196821
    13     60.128       .246       0     2       .196821
    14     61.182       .134       2     2      1.615809
    15     69.088       .264       0     2       .196821
    16     73.199   -750.000       1     2       .000485
    17     78.681       .281       0     2       .196821
    18     86.903       .295       0     2       .196821
    19     95.125       .308       0     2       .196821
    20    105.402       .323       0     2       .196821
    21    114.847   -750.000       1     2       .000485
    22    119.484       .344       0     2       .196821
    23    121.802       .134       2     2      1.615809
    24    135.714       .365       0     2       .196821
    25    149.626       .383       0     2       .196821
    26    167.227       .404       0     2       .196821
    27    188.256       .428       0     2       .196821
    28    209.286       .450       0     2       .196821
    29    227.311       .469       0     2       .196821
    30    245.336       .486       0     2       .196821
    31    267.993       .507       0     2       .196821
    32    287.645       .525       0     2       .196821
    33    303.367       .134       2     2      1.615809
    34    307.298       .542       0     2       .196821
    35    317.488   -750.000       1     2       .000485
    36    343.621       .571       0     2       .196821
    37    371.501       .593       0     2       .196821
    38    407.553       .620       0     2       .196821
    39    449.613       .650       0     2       .196821
    40    485.664       .674       0     2       .196821
    41    503.690   -750.000       1     2       .000485
    42    521.716       .698       0     2       .196821
    43    563.776       .724       0     2       .196821
    44    612.513       .753       0     2       .196821
    45    620.191       .134       2     2      1.615809
    46    670.644       .786       0     2       .196821
    47    730.141   -750.000       1     2       .000485
    48    740.282       .824       0     2       .196821
    49    811.268       .860       0     2       .196821
    50    882.254       .895       0     2       .196821
    51    943.099   -750.000       1     2       .000485
    52    953.240       .928       0     2       .196821
    53   1033.170       .964       0     2       .196821
    54   1125.040      1.000       0     2       .196821
    55   1164.410   -750.000       1     2       .000485
    56   1230.030      1.050       0     2       .196821
    57   1308.770       .134       2     2      1.615809
    58   1335.010      1.090       0     2       .196821
    59   1440.000      1.130       0     2       .196821
    60   1474.290   -750.000       1     2       .000485
    61   1577.140      1.170       0     2       .196821
    62   1697.140      1.210       0     2       .196821
    63   1800.000      1.250       0     2       .196821
    64   1834.290   -749.992       1     2       .000485
    65   1885.710       .134       2     2      1.615809
    66   1920.000      1.290       0     2       .196821
    67   1988.570   -749.222       1     2       .000485
    68   2040.000      1.320       0     2       .196821
    69   2142.860   -702.272       1     2       .000485
    70   2160.000      1.360       0     2       .196821
    71   2194.290   -608.790       1     2       .000485
    72   2194.290       .140       2     2      1.615809
    73   2251.030   -466.094       1     2       .000485
    74   2251.030       .150       2     2      1.615809
    75   2318.420      1.400       0     2       .196821
    76   2318.420   -314.614       1     2       .000485
    77   2318.420       .168       2     2      1.615809
    78   2385.810   -223.118       1     2       .000485
    79   2385.810       .187       2     2      1.615809
    80   2453.200   -168.238       1     2       .000485
    81   2453.200       .204       2     2      1.615809
    82   2543.050      1.460       0     2       .196821
    83   2565.520   -116.741       1     2       .000485
    84   2565.520       .230       2     2      1.615809
    85   2632.910    -98.228       1     2       .000485
    86   2632.910       .244       2     2      1.615809
    87   2700.300    -85.968       1     2       .000485
    88   2700.300       .255       2     2      1.615809
    89   2722.760      1.510       0     2       .196821
    90   2767.690    -75.885       1     2       .000485
    91   2767.690       .265       2     2      1.615809
    92   2835.070    -68.886       1     2       .000485
    93   2835.070       .275       2     2      1.615809
    94   2880.000      1.550       0     2       .196821
    95   2902.500    -62.996       1     2       .000485
    96   2902.500       .282       2     2      1.615809
    97   2970.000    -58.270       1     2       .000485
    98   2970.000       .289       2     2      1.615809
    99   3037.500      1.590       0     2       .196821
   100   3082.500    -52.257       1     2       .000485
   101   3082.500       .299       2     2      1.615809
   102   3150.000    -49.132       1     2       .000485
   103   3150.000       .304       2     2      1.615809
   104   3217.500    -46.575       1     2       .000485
   105   3217.500       .309       2     2      1.615809
   106   3262.500      1.640       0     2       .196821
   107   3290.630    -44.427       1     2       .000485
   108   3290.630       .313       2     2      1.615809
   109   3375.000    -42.012       1     2       .000485
   110   3375.000       .319       2     2      1.615809
   111   3431.250      1.680       0     2       .196821
   112   3459.380    -39.780       1     2       .000485
   113   3459.380       .323       2     2      1.615809
   114   3543.750    -38.102       1     2       .000485
   115   3543.750       .327       2     2      1.615809
   116   3600.000      1.710       0     2       .196821
   117   3628.800    -36.595       1     2       .000485
   118   3628.800       .330       2     2      1.615809
   119   3715.200    -35.085       1     2       .000485
   120   3715.200       .334       2     2      1.615809
   121   3801.600    -33.801       1     2       .000485
   122   3801.600       .337       2     2      1.615809
   123   3830.400      1.760       0     2       .196821
   124   3905.720    -32.470       1     2       .000485
   125   3905.720       .340       2     2      1.615809
   126   4094.030      1.810       0     2       .196821
   127   4094.030    -30.313       1     2       .000485
   128   4094.030       .346       2     2      1.615809
   129   4207.020    -29.240       1     2       .000485
   130   4207.020       .349       2     2      1.615809
   131   4320.000      1.860       0     2       .196821
   132   4320.000    -28.233       1     2       .000485
   133   4320.000       .351       2     2      1.615809
   134   4433.680    -27.237       1     2       .000485
   135   4433.680       .354       2     2      1.615809
   136   4547.370    -26.270       1     2       .000485
   137   4547.370       .357       2     2      1.615809
   138   4695.160      1.930       0     2       .196821
   139   4695.160    -24.871       1     2       .000485
   140   4695.160       .361       2     2      1.615809
   141   4902.060    -22.631       1     2       .000485
   142   4902.060       .367       2     2      1.615809
   143   5105.460      2.000       0     2       .196821
   144   5105.460    -20.239       1     2       .000485
   145   5105.460       .375       2     2      1.615809
   146   5356.050    -17.323       1     2       .000485
   147   5356.050       .384       2     2      1.615809
   148   5760.000    -13.431       1     2       .000485
   149   5760.000       .396       2     2      1.615809
   150   5904.000      2.100       0     2       .196821
   151   6192.000    -10.490       1     2       .000485
   152   6192.000       .406       2     2      1.615809
   153   6660.000     -8.590       1     2       .000485
   154   6660.000       .412       2     2      1.615809
   155   6840.000      2.160       0     2       .196821
   156   7200.000      2.170       0     2       .196821
   157   7200.000     -7.527       1     2       .000485
   158   7200.000       .415       2     2      1.615809
   159   -750.000       .134       5     1     32.316180
   160     -4.800       .422       5     1     32.316180



 Parameter estimation with the  1. initial estimate
 ==================================================

 Iteration     SSQ         WCR         WCS         ALPHA       N           CONDS       L     
      0    .6353D+01   .6700E-01   .4500E+00   .2000E-01   .1410E+01   .1250E-03   .1000E+01
      1    .2676D+01   .5618E-01   .4392E+00   .2085E-01   .1454E+01   .1289E-03   .5000E+00
      2    .7012D+00   .3392E-01   .4266E+00   .1841E-01   .1509E+01   .1411E-03   .1773E+01
      3    .1283D+00   .5643E-01   .4262E+00   .2219E-01   .1541E+01   .1741E-03   .1272E+01
      4    .5185D-01   .3801E-01   .4267E+00   .2307E-01   .1484E+01   .2031E-03   .1002E+01
      5    .8987D-02   .4710E-01   .4265E+00   .2320E-01   .1515E+01   .1878E-03   .6651E+00
      6    .6405D-02   .4665E-01   .4263E+00   .2259E-01   .1520E+01   .1783E-03   .5284E+00


 No further reduction in SSQ obtained, optimization stopped


 Mass balance error in FE solution during final run was   .0001 %

 RSQUARE for regression of predicted vs observed = .99721


 Correlation matrix
 ==================
         1          2          3          4          5          6
   1   1.0000
   2   -.4658     1.0000
   3    .2120      .1220     1.0000
   4    .9931     -.4752      .1129     1.0000
   5   -.8763      .5109      .2595     -.9174     1.0000
   6    .1787     -.0103      .4826      .1336      .1780     1.0000

 Non-linear least-squares analysis: final results
 ================================================
                                           95% Confidence limits
 Variable        Value        S.E.Coeff.     Lower         Upper
   WCR       .46653E-01         .00421       .03834       .05496
   WCS       .42630E+00         .00023       .42585       .42675
   ALPHA     .22594E-01         .00017       .02225       .02293
   N         .15198E+01         .01320      1.49371      1.54588
   CONDS     .17834E-03         .00000       .00017       .00019
   L         .52839E+00         .02320       .48255       .57423


 Contributions to the final objective function

 Measurement Set   0:    .2805E-03
 Measurement Set   1:    .4678E-02
 Measurement Set   2:    .1369E-02
 Measurement Set   5:    .8256E-04


------------Observed & Fitted Quantity -----------------------------
                                               Resi-
    No     Time           Obs        Fitted    dual   Type  Position
    1      3.445          .061         .059     .002     0     2
    2      5.160          .075         .072     .002     0     2
    3      8.459          .095         .092     .003     0     2
    4     10.984          .108         .105     .003     0     2
    5     14.345          .123         .119     .004     0     2
    6     17.705          .136         .132     .004     0     2
    7     21.545          .150         .145     .005     0     2
    8     27.287          .168         .163     .005     0     2
    9     32.965          .184         .178     .006     0     2
   10     40.100          .203         .196     .007     0     2
   11     47.479          .220         .213     .007     0     2
   12     53.804          .234         .226     .008     0     2
   13     60.128          .246         .239     .007     0     2
   15     69.088          .264         .256     .008     0     2
   17     78.681          .281         .272     .009     0     2
   18     86.903          .295         .286     .009     0     2
   19     95.125          .308         .299     .009     0     2
   20    105.402          .323         .314     .009     0     2
   22    119.484          .344         .334     .010     0     2
   24    135.714          .365         .355     .010     0     2
   25    149.626          .383         .373     .010     0     2
   26    167.227          .404         .393     .011     0     2
   27    188.256          .428         .417     .011     0     2
   28    209.286          .450         .439     .011     0     2
   29    227.311          .469         .457     .012     0     2
   30    245.336          .486         .474     .012     0     2
