 ******* Program HYDRUS
 ******* Upward infiltration with bottom tension                                
  
 Date:  15. 7.    Time:  10:27:29
 Units: L = cm   , T = sec  , M = mmol 



                             Node(  1)                      Node(  9)                      Node( 20)                      Node( 26)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
         1.000    -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         1.815    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         2.359    -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         2.721    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         2.962    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         3.204    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         3.445    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         3.690    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         3.935    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         4.180    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         4.425    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         4.670    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         4.915    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         5.160    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         5.395    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         5.631    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         5.867    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         6.102    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         6.338    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         6.574    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         6.888    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         7.202    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         7.516    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         7.831    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         8.145    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         8.459    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         8.880    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         9.301    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
         9.722    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        10.143    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        10.564    -750.002   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        10.984    -750.001   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        11.405    -750.002   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        11.825    -750.002   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        12.245    -750.002   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        12.665    -750.002   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        13.085    -750.002   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        13.505    -750.002   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        13.925    -750.002   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        14.345    -750.002   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        14.765    -750.002   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        15.185    -750.003   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        15.605    -750.003   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        16.130    -750.003   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        16.655    -750.003   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        17.180    -750.003   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        17.705    -750.003   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
        18.254    -750.004   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000      -750.000   .1337     .000
