 ******* Program HYDRUS
 ******* Upward infiltration with bottom tension                                
  
 Date:  15. 7.    Time:  10:27:29
 Units: L = cm   , T = sec  , M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .10000E+01  .10000E+01   10    10    -1     1     T
     2  .18152E+01  .81516E+00   10    20    -1     1     T
     3  .23586E+01  .54344E+00   10    30    -1     1     T
     4  .27209E+01  .36229E+00    8    38    -1     1     T
     5  .29624E+01  .24153E+00    6    44    -1     1     T
     6  .32040E+01  .24153E+00    6    50    -1     1     T
     7  .34455E+01  .24153E+00    5    55    -1     1     T
     8  .36904E+01  .24490E+00    5    60    -1     1     T
     9  .39353E+01  .24490E+00    6    66    -1     1     T
    10  .41802E+01  .24490E+00    5    71    -1     1     T
    11  .44251E+01  .24490E+00    5    76    -1     1     T
    12  .46700E+01  .24490E+00    5    81    -1     1     T
    13  .49149E+01  .24490E+00    5    86    -1     1     T
    14  .51598E+01  .24490E+00    5    91    -1     1     T
    15  .53955E+01  .23565E+00    5    96    -1     1     T
    16  .56311E+01  .23565E+00    4   100    -1     1     T
    17  .58668E+01  .23565E+00    5   105    -1     1     T
    18  .61024E+01  .23566E+00    5   110    -1     1     T
    19  .63381E+01  .23566E+00    5   115    -1     1     T
    20  .65737E+01  .23566E+00    3   118    -1     1     T
    21  .68879E+01  .31421E+00    4   122    -1     1     T
    22  .72022E+01  .31421E+00    5   127    -1     1     T
    23  .75164E+01  .31421E+00    5   132    -1     1     T
    24  .78306E+01  .31421E+00    5   137    -1     1     T
    25  .81448E+01  .31421E+00    5   142    -1     1     T
    26  .84590E+01  .31421E+00    3   145    -1     1     T
    27  .88799E+01  .42092E+00    6   151    -1     1     T
    28  .93008E+01  .42092E+00    5   156    -1     1     T
    29  .97217E+01  .42092E+00    5   161    -1     1     T
    30  .10143E+02  .42092E+00    5   166    -1     1     T
    31  .10564E+02  .42092E+00    4   170    -1     1     T
    32  .10984E+02  .42092E+00    5   175    -1     1     T
    33  .11405E+02  .42002E+00    5   180    -1     1     T
    34  .11825E+02  .42003E+00    4   184    -1     1     T
    35  .12245E+02  .42003E+00    5   189    -1     1     T
    36  .12665E+02  .42003E+00    4   193    -1     1     T
    37  .13085E+02  .42003E+00    5   198    -1     1     T
    38  .13505E+02  .42003E+00    5   203    -1     1     T
    39  .13925E+02  .42003E+00    4   207    -1     1     T
    40  .14345E+02  .42002E+00    4   211    -1     1     T
    41  .14765E+02  .42004E+00    5   216    -1     1     T
    42  .15185E+02  .42004E+00    5   221    -1     1     T
    43  .15605E+02  .42004E+00    3   224    -1     1     T
    44  .16130E+02  .52505E+00    5   229    -1     1     T
    45  .16655E+02  .52505E+00    5   234    -1     1     T
    46  .17180E+02  .52505E+00    5   239    -1     1     T
    47  .17705E+02  .52505E+00    4   243    -1     1     T
    48  .18254E+02  .54861E+00    4   247    -1     1     T
    49  .18802E+02  .54861E+00    5   252    -1     1     T
    50  .19351E+02  .54861E+00    4   256    -1     1     T
    51  .19899E+02  .54861E+00    4   260    -1     1     T
    52  .20448E+02  .54861E+00    4   264    -1     1     T
    53  .20997E+02  .54861E+00    5   269    -1     1     T
    54  .21545E+02  .54861E+00    3   272    -1     1     T
    55  .22263E+02  .71766E+00    5   277    -1     1     T
    56  .22981E+02  .71766E+00    5   282    -1     1     T
    57  .23698E+02  .71766E+00    5   287    -1     1     T
    58  .24416E+02  .71766E+00    4   291    -1     1     T
    59  .25134E+02  .71766E+00    5   296    -1     1     T
    60  .25851E+02  .71766E+00    5   301    -1     1     T
    61  .26569E+02  .71766E+00    4   305    -1     1     T
    62  .27287E+02  .71766E+00    4   309    -1     1     T
    63  .27996E+02  .70974E+00    4   313    -1     1     T
    64  .28706E+02  .70974E+00    4   317    -1     1     T
    65  .29416E+02  .70974E+00    5   322    -1     1     T
    66  .30126E+02  .70974E+00    4   326    -1     1     T
    67  .30835E+02  .70974E+00    4   330    -1     1     T
    68  .31545E+02  .70974E+00    4   334    -1     1     T
    69  .32255E+02  .70974E+00    4   338    -1     1     T
    70  .32965E+02  .70974E+00    5   343    -1     1     T
    71  .33678E+02  .71358E+00    3   346    -1     1     T
    72  .34596E+02  .91746E+00    4   350    -1     1     T
    73  .35513E+02  .91746E+00    5   355    -1     1     T
    74  .36430E+02  .91746E+00    5   360    -1     1     T
    75  .37348E+02  .91746E+00    5   365    -1     1     T
    76  .38265E+02  .91746E+00    5   370    -1     1     T
    77  .39183E+02  .91746E+00    3   373    -1     1     T
    78  .40100E+02  .91746E+00    5   378    -1     1     T
    79  .41023E+02  .92235E+00    5   383    -1     1     T
    80  .41945E+02  .92235E+00    4   387    -1     1     T
    81  .42867E+02  .92235E+00    4   391    -1     1     T
    82  .43790E+02  .92235E+00    5   396    -1     1     T
    83  .44712E+02  .92235E+00    5   401    -1     1     T
    84  .45634E+02  .92235E+00    4   405    -1     1     T
    85  .46557E+02  .92235E+00    4   409    -1     1     T
    86  .47479E+02  .92235E+00    5   414    -1     1     T
    87  .48383E+02  .90351E+00    3   417    -1     1     T
    88  .49467E+02  .10842E+01    5   422    -1     1     T
    89  .50551E+02  .10842E+01    5   427    -1     1     T
    90  .51635E+02  .10842E+01    4   431    -1     1     T
    91  .52719E+02  .10842E+01    5   436    -1     1     T
    92  .53804E+02  .10842E+01    5   441    -1     1     T
    93  .55069E+02  .12649E+01    5   446    -1     1     T
    94  .56334E+02  .12649E+01    4   450    -1     1     T
    95  .57599E+02  .12649E+01    5   455    -1     1     T
    96  .58863E+02  .12649E+01    5   460    -1     1     T
    97  .60128E+02  .12649E+01    5   465    -1     1     T
    98  .61182E+02  .10536E+01    5   470    -1     1     T
    99  .62311E+02  .11295E+01    3   473    -1     1     T
   100  .64006E+02  .16942E+01    5   478    -1     1     T
   101  .65700E+02  .16942E+01    5   483    -1     1     T
   102  .67394E+02  .16942E+01    5   488    -1     1     T
   103  .69088E+02  .16942E+01    5   493    -1     1     T
   104  .70459E+02  .13702E+01    5   498    -1     1     T
   105  .71829E+02  .13702E+01    4   502    -1     1     T
   106  .73199E+02  .13702E+01    4   506    -1     1     T
   107  .74569E+02  .13704E+01    4   510    -1     1     T
   108  .75940E+02  .13704E+01    5   515    -1     1     T
   109  .77310E+02  .13704E+01    5   520    -1     1     T
   110  .78681E+02  .13704E+01    4   524    -1     1     T
   111  .80325E+02  .16444E+01    5   529    -1     1     T
   112  .81970E+02  .16444E+01    5   534    -1     1     T
   113  .83614E+02  .16444E+01    5   539    -1     1     T
   114  .85258E+02  .16444E+01    3   542    -1     1     T
   115  .86903E+02  .16444E+01    5   547    -1     1     T
   116  .88547E+02  .16444E+01    5   552    -1     1     T
   117  .90192E+02  .16444E+01    5   557    -1     1     T
   118  .91836E+02  .16444E+01    4   561    -1     1     T
   119  .93480E+02  .16444E+01    4   565    -1     1     T
   120  .95125E+02  .16444E+01    5   570    -1     1     T
   121  .96593E+02  .14682E+01    4   574    -1     1     T
   122  .98061E+02  .14682E+01    4   578    -1     1     T
   123  .99529E+02  .14682E+01    3   581    -1     1     T
   124  .10149E+03  .19576E+01    5   586    -1     1     T
   125  .10344E+03  .19576E+01    5   591    -1     1     T
   126  .10540E+03  .19576E+01    4   595    -1     1     T
   127  .10729E+03  .18890E+01    5   600    -1     1     T
   128  .10918E+03  .18890E+01    4   604    -1     1     T
   129  .11107E+03  .18890E+01    4   608    -1     1     T
   130  .11296E+03  .18890E+01    4   612    -1     1     T
   131  .11485E+03  .18890E+01    4   616    -1     1     T
   132  .11717E+03  .23185E+01    5   621    -1     1     T
   133  .11948E+03  .23185E+01    4   625    -1     1     T
   134  .12180E+03  .23180E+01    4   629    -1     1     T
   135  .12379E+03  .19874E+01    5   634    -1     1     T
   136  .12578E+03  .19874E+01    3   637    -1     1     T
   137  .12826E+03  .24843E+01    4   641    -1     1     T
   138  .13075E+03  .24843E+01    5   646    -1     1     T
   139  .13323E+03  .24843E+01    5   651    -1     1     T
   140  .13571E+03  .24843E+01    5   656    -1     1     T
   141  .13850E+03  .27824E+01    5   661    -1     1     T
   142  .14128E+03  .27824E+01    6   667    -1     1     T
   143  .14406E+03  .27824E+01    5   672    -1     1     T
   144  .14684E+03  .27824E+01    5   677    -1     1     T
   145  .14963E+03  .27824E+01    5   682    -1     1     T
   146  .15214E+03  .25144E+01    2   684    -1     1     T
   147  .15516E+03  .30173E+01    4   688    -1     1     T
   148  .15818E+03  .30173E+01    5   693    -1     1     T
   149  .16119E+03  .30173E+01    5   698    -1     1     T
   150  .16421E+03  .30173E+01    3   701    -1     1     T
   151  .16723E+03  .30173E+01    5   706    -1     1     T
   152  .17073E+03  .35048E+01    5   711    -1     1     T
   153  .17424E+03  .35048E+01    5   716    -1     1     T
   154  .17774E+03  .35048E+01    5   721    -1     1     T
   155  .18125E+03  .35048E+01    5   726    -1     1     T
   156  .18475E+03  .35048E+01    4   730    -1     1     T
   157  .18826E+03  .35048E+01    6   736    -1     1     T
   158  .19176E+03  .35050E+01    5   741    -1     1     T
   159  .19527E+03  .35050E+01    5   746    -1     1     T
   160  .19877E+03  .35050E+01    5   751    -1     1     T
   161  .20228E+03  .35050E+01    5   756    -1     1     T
   162  .20578E+03  .35050E+01    5   761    -1     1     T
   163  .20929E+03  .35050E+01    5   766    -1     1     T
   164  .21289E+03  .36050E+01    5   771    -1     1     T
   165  .21650E+03  .36050E+01    4   775    -1     1     T
   166  .22010E+03  .36050E+01    6   781    -1     1     T
   167  .22371E+03  .36050E+01    4   785    -1     1     T
   168  .22731E+03  .36050E+01    4   789    -1     1     T
   169  .23092E+03  .36050E+01    5   794    -1     1     T
   170  .23452E+03  .36050E+01    4   798    -1     1     T
   171  .23813E+03  .36050E+01    5   803    -1     1     T
   172  .24173E+03  .36050E+01    5   808    -1     1     T
   173  .24534E+03  .36050E+01    5   813    -1     1     T
   174  .24857E+03  .32367E+01    4   817    -1     1     T
   175  .25181E+03  .32367E+01    4   821    -1     1     T
   176  .25505E+03  .32367E+01    5   826    -1     1     T
   177  .25828E+03  .32367E+01    4   830    -1     1     T
   178  .26152E+03  .32367E+01    3   833    -1     1     T
   179  .26476E+03  .32367E+01    5   838    -1     1     T
   180  .26799E+03  .32367E+01    4   842    -1     1     T
   181  .27192E+03  .39304E+01    4   846    -1     1     T
   182  .27585E+03  .39304E+01    4   850    -1     1     T
   183  .27978E+03  .39304E+01    5   855    -1     1     T
   184  .28371E+03  .39304E+01    5   860    -1     1     T
   185  .28764E+03  .39304E+01    4   864    -1     1     T
   186  .29158E+03  .39305E+01    5   869    -1     1     T
   187  .29551E+03  .39305E+01    5   874    -1     1     T
   188  .29944E+03  .39305E+01    4   878    -1     1     T
   189  .30337E+03  .39305E+01    5   883    -1     1     T
   190  .30730E+03  .39310E+01    5   888    -1     1     T
   191  .31239E+03  .50950E+01    4   892    -1     1     T
   192  .31749E+03  .50950E+01    5   897    -1     1     T
   193  .32184E+03  .43555E+01    5   902    -1     1     T
   194  .32620E+03  .43555E+01    4   906    -1     1     T
   195  .33055E+03  .43555E+01    3   909    -1     1     T
   196  .33709E+03  .65332E+01    6   915    -1     1     T
   197  .34362E+03  .65332E+01    5   920    -1     1     T
   198  .34920E+03  .55760E+01    5   925    -1     1     T
   199  .35477E+03  .55760E+01    5   930    -1     1     T
   200  .36035E+03  .55760E+01    5   935    -1     1     T
   201  .36592E+03  .55760E+01    5   940    -1     1     T
   202  .37150E+03  .55760E+01    5   945    -1     1     T
