
       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cTop       cRoot       cBot      vProd    Sum(vProd) Sum(Sink)  TLevel
        [T]     [L3/L2/T]  [L3/L2/T]   [L3/L2]    [L3/L2]   [L3/L3]     [L3/L3]    [L3/L3]   [L3/L2/T]    [L3/L2]   [L3/L2]

      61.02000  0.106E+00 -0.606E-03  0.213E-02 -0.121E-04  0.330E-03  0.000E+00  0.180E-01  0.258E+00  0.516E-02  0.000E+00       1
      61.04600  0.163E+00 -0.626E-03  0.637E-02 -0.284E-04  0.330E-03  0.000E+00  0.180E-01  0.242E+00  0.115E-01  0.000E+00       2
      61.07980  0.165E+00 -0.611E-03  0.119E-01 -0.491E-04  0.330E-03  0.000E+00  0.180E-01  0.228E+00  0.192E-01  0.000E+00       3
      61.12374  0.193E+00 -0.530E-03  0.204E-01 -0.723E-04  0.330E-03  0.000E+00  0.180E-01  0.222E+00  0.289E-01  0.000E+00       4
      61.18086  0.202E+00 -0.561E-03  0.319E-01 -0.104E-03  0.330E-03  0.000E+00  0.180E-01  0.217E+00  0.413E-01  0.000E+00       5
      61.25512  0.228E+00 -0.604E-03  0.489E-01 -0.149E-03  0.330E-03  0.000E+00  0.180E-01  0.219E+00  0.575E-01  0.000E+00       6
      61.34823  0.247E+00 -0.655E-03  0.719E-01 -0.210E-03  0.330E-03  0.000E+00  0.180E-01  0.228E+00  0.787E-01  0.000E+00       7
      61.47858  0.283E+00 -0.716E-03  0.109E+00 -0.304E-03  0.330E-03  0.000E+00  0.180E-01  0.251E+00  0.111E+00  0.000E+00       8
      61.65239  0.319E+00 -0.736E-03  0.164E+00 -0.432E-03  0.330E-03  0.000E+00  0.180E-01  0.287E+00  0.161E+00  0.000E+00       9
      61.82619  0.353E+00 -0.761E-03  0.226E+00 -0.564E-03  0.330E-03  0.000E+00  0.180E-01  0.301E+00  0.214E+00  0.000E+00      10
      62.00000  0.336E+00 -0.764E-03  0.284E+00 -0.697E-03  0.330E-03  0.000E+00  0.180E-01  0.261E+00  0.259E+00  0.000E+00      11
      62.20000  0.302E+00 -0.699E-03  0.344E+00 -0.836E-03  0.330E-03  0.000E+00  0.180E-01  0.219E+00  0.303E+00  0.000E+00      12
      62.40000  0.284E+00 -0.720E-03  0.401E+00 -0.980E-03  0.330E-03  0.000E+00  0.180E-01  0.196E+00  0.342E+00  0.000E+00      13
      62.60000  0.278E+00 -0.722E-03  0.457E+00 -0.112E-02  0.330E-03  0.000E+00  0.180E-01  0.221E+00  0.386E+00  0.000E+00      14
      62.80000  0.314E+00 -0.718E-03  0.520E+00 -0.127E-02  0.330E-03  0.000E+00  0.180E-01  0.250E+00  0.436E+00  0.000E+00      15
      63.00000  0.306E+00 -0.703E-03  0.581E+00 -0.141E-02  0.330E-03  0.000E+00  0.180E-01  0.222E+00  0.481E+00  0.000E+00      16
      63.20000  0.266E+00 -0.707E-03  0.634E+00 -0.155E-02  0.330E-03  0.000E+00  0.180E-01  0.182E+00  0.517E+00  0.000E+00      17
      63.40000  0.247E+00 -0.708E-03  0.683E+00 -0.169E-02  0.330E-03  0.000E+00  0.180E-01  0.174E+00  0.552E+00  0.000E+00      18
      63.60000  0.250E+00 -0.667E-03  0.733E+00 -0.183E-02  0.330E-03  0.000E+00  0.180E-01  0.205E+00  0.593E+00  0.000E+00      19
      63.73333  0.268E+00 -0.676E-03  0.769E+00 -0.192E-02  0.330E-03  0.000E+00  0.180E-01  0.233E+00  0.624E+00  0.000E+00      20
      63.82222  0.267E+00 -0.677E-03  0.793E+00 -0.198E-02  0.330E-03  0.000E+00  0.180E-01  0.223E+00  0.644E+00  0.000E+00      21
      64.00000  0.245E+00 -0.677E-03  0.836E+00 -0.210E-02  0.330E-03  0.000E+00  0.180E-01  0.206E+00  0.680E+00  0.000E+00      22
      64.02000  0.221E+00 -0.612E-03  0.841E+00 -0.211E-02  0.330E-03  0.000E+00  0.180E-01  0.175E+00  0.684E+00  0.000E+00      23
      64.04000  0.199E+00 -0.577E-03  0.845E+00 -0.212E-02  0.330E-03  0.000E+00  0.180E-01  0.173E+00  0.687E+00  0.000E+00      24
      64.06000  0.206E+00 -0.612E-03  0.849E+00 -0.213E-02  0.330E-03  0.000E+00  0.180E-01  0.171E+00  0.691E+00  0.000E+00      25
      64.08000  0.196E+00 -0.651E-03  0.853E+00 -0.214E-02  0.330E-03  0.000E+00  0.180E-01  0.169E+00  0.694E+00  0.000E+00      26
      64.10000  0.200E+00 -0.690E-03  0.857E+00 -0.216E-02  0.330E-03  0.000E+00  0.180E-01  0.168E+00  0.697E+00  0.000E+00      27
      64.12000  0.194E+00 -0.643E-03  0.861E+00 -0.217E-02  0.330E-03  0.000E+00  0.180E-01  0.168E+00  0.701E+00  0.000E+00      28
      64.14000  0.197E+00 -0.605E-03  0.865E+00 -0.218E-02  0.330E-03  0.000E+00  0.180E-01  0.167E+00  0.704E+00  0.000E+00      29
      64.16000  0.193E+00 -0.679E-03  0.868E+00 -0.220E-02  0.330E-03  0.000E+00  0.180E-01  0.167E+00  0.708E+00  0.000E+00      30
      64.18000  0.196E+00 -0.738E-03  0.872E+00 -0.221E-02  0.330E-03  0.000E+00  0.180E-01  0.168E+00  0.711E+00  0.000E+00      31
      64.20600  0.193E+00 -0.738E-03  0.877E+00 -0.223E-02  0.330E-03  0.000E+00  0.180E-01  0.169E+00  0.715E+00  0.000E+00      32
      64.23200  0.196E+00 -0.713E-03  0.882E+00 -0.225E-02  0.330E-03  0.000E+00  0.180E-01  0.172E+00  0.720E+00  0.000E+00      33
      64.25800  0.195E+00 -0.724E-03  0.888E+00 -0.227E-02  0.330E-03  0.000E+00  0.180E-01  0.175E+00  0.724E+00  0.000E+00      34
      64.28400  0.199E+00 -0.641E-03  0.893E+00 -0.229E-02  0.330E-03  0.000E+00  0.180E-01  0.178E+00  0.729E+00  0.000E+00      35
      64.31780  0.199E+00 -0.557E-03  0.899E+00 -0.230E-02  0.330E-03  0.000E+00  0.180E-01  0.183E+00  0.735E+00  0.000E+00      36
      64.36174  0.203E+00 -0.679E-03  0.908E+00 -0.233E-02  0.330E-03  0.000E+00  0.180E-01  0.190E+00  0.743E+00  0.000E+00      37
      64.40568  0.208E+00 -0.733E-03  0.918E+00 -0.237E-02  0.330E-03  0.000E+00  0.180E-01  0.200E+00  0.752E+00  0.000E+00      38
      64.44962  0.217E+00 -0.677E-03  0.927E+00 -0.240E-02  0.330E-03  0.000E+00  0.180E-01  0.212E+00  0.762E+00  0.000E+00      39
      64.50466  0.221E+00 -0.692E-03  0.939E+00 -0.243E-02  0.330E-03  0.000E+00  0.180E-01  0.222E+00  0.774E+00  0.000E+00      40
      64.55970  0.229E+00 -0.729E-03  0.952E+00 -0.247E-02  0.330E-03  0.000E+00  0.180E-01  0.234E+00  0.787E+00  0.000E+00      41
      64.61473  0.234E+00 -0.684E-03  0.965E+00 -0.251E-02  0.330E-03  0.000E+00  0.180E-01  0.242E+00  0.800E+00  0.000E+00      42
      64.69179  0.233E+00 -0.640E-03  0.983E+00 -0.256E-02  0.330E-03  0.000E+00  0.180E-01  0.245E+00  0.819E+00  0.000E+00      43
      64.79453  0.225E+00 -0.695E-03  0.101E+01 -0.263E-02  0.330E-03  0.000E+00  0.180E-01  0.239E+00  0.843E+00  0.000E+00      44
      64.89726  0.213E+00 -0.748E-03  0.103E+01 -0.271E-02  0.330E-03  0.000E+00  0.180E-01  0.220E+00  0.866E+00  0.000E+00      45
      65.00000  0.192E+00 -0.714E-03  0.105E+01 -0.278E-02  0.330E-03  0.380E-02  0.180E-01  0.196E+00  0.886E+00  0.000E+00      46
      65.02000  0.188E+00 -0.690E-03  0.105E+01 -0.280E-02  0.330E-03  0.406E-02  0.180E-01  0.178E+00  0.890E+00  0.640E-05      47
      65.04000  0.188E+00 -0.615E-03  0.105E+01 -0.281E-02  0.330E-03  0.413E-02  0.180E-01  0.176E+00  0.893E+00  0.128E-04      48
      65.06600  0.188E+00 -0.584E-03  0.106E+01 -0.282E-02  0.330E-03  0.412E-02  0.180E-01  0.174E+00  0.898E+00  0.212E-04      49
      65.09980  0.187E+00 -0.640E-03  0.107E+01 -0.285E-02  0.330E-03  0.411E-02  0.180E-01  0.171E+00  0.904E+00  0.320E-04      50
      65.14374  0.187E+00 -0.653E-03  0.107E+01 -0.287E-02  0.330E-03  0.409E-02  0.180E-01  0.170E+00  0.911E+00  0.460E-04      51
      65.20086  0.188E+00 -0.668E-03  0.109E+01 -0.291E-02  0.330E-03  0.407E-02  0.180E-01  0.170E+00  0.921E+00  0.641E-04      52
      65.27512  0.192E+00 -0.674E-03  0.110E+01 -0.296E-02  0.330E-03  0.404E-02  0.180E-01  0.174E+00  0.934E+00  0.873E-04      53
      65.36573  0.199E+00 -0.676E-03  0.112E+01 -0.302E-02  0.330E-03  0.401E-02  0.180E-01  0.184E+00  0.950E+00  0.115E-03      54
      65.49258  0.213E+00 -0.678E-03  0.114E+01 -0.311E-02  0.330E-03  0.400E-02  0.180E-01  0.204E+00  0.976E+00  0.152E-03      55
