 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1981                                        
 Date:  21. 3.    Time:  15:17:51
 Units: L = cm   , T = days , M = mmol 


 Time:      61.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  96     0.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.000330  0.2712E-01
  95    -1.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.000939  0.2441E-01
  94    -2.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.001550  0.2197E-01
  93    -3.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.002160  0.1977E-01
  92    -4.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.002770  0.1780E-01
  91    -5.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.003380  0.1602E-01
  90    -6.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.003990  0.1442E-01
  89    -7.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.004600  0.1298E-01
  88    -8.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.005200  0.1168E-01
  87    -9.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.005810  0.1051E-01
  86   -10.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.006420  0.9464E-02
  85   -11.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.007030  0.8519E-02
  84   -12.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.007640  0.7667E-02
  83   -13.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.008250  0.6901E-02
  82   -14.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.008860  0.6212E-02
  81   -15.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0     15.0000  0.009470  0.5591E-02
