 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1981                                        
 Date:  21. 3.    Time:  15:17:51
 Units: L = cm   , T = days , M = mmol 



                          Node( 21)                               Node( 41)                               Node( 56)

         time        h      theta    Temp    CO2             h      theta    Temp    CO2             h      theta    Temp    CO2      
        61.020    -100.00  0.3211  15.000  0.01250       -99.99  0.3991  15.000  0.01800      -100.00  0.3991  15.000  0.01800
        61.046    -100.00  0.3211  14.998  0.01263       -99.97  0.3991  15.001  0.01801      -100.00  0.3991  15.000  0.01800
        61.080    -100.00  0.3211  14.978  0.01277       -99.93  0.3991  15.001  0.01803      -100.00  0.3991  15.000  0.01800
        61.124     -99.99  0.3211  14.892  0.01286       -99.87  0.3991  15.002  0.01805      -100.00  0.3991  15.000  0.01801
        61.181     -99.99  0.3211  14.697  0.01295       -99.80  0.3992  15.001  0.01806      -100.00  0.3991  15.000  0.01801
        61.255    -100.03  0.3211  14.450  0.01303       -99.71  0.3992  14.993  0.01802      -100.00  0.3991  15.000  0.01802
        61.348    -100.15  0.3210  14.305  0.01310       -99.60  0.3993  14.968  0.01792      -100.00  0.3991  15.000  0.01803
        61.479    -100.50  0.3208  14.476  0.01315       -99.47  0.3993  14.913  0.01776      -100.00  0.3991  14.997  0.01804
        61.652    -101.24  0.3203  15.101  0.01318       -99.31  0.3994  14.867  0.01753       -99.99  0.3991  14.988  0.01805
        61.826    -102.22  0.3196  15.546  0.01314       -99.17  0.3995  14.901  0.01729       -99.97  0.3991  14.974  0.01807
        62.000    -103.39  0.3189  15.325  0.01295       -99.08  0.3995  14.984  0.01712       -99.95  0.3991  14.967  0.01808
        62.000    -103.39  0.3189  15.325  0.01295       -99.08  0.3995  14.984  0.01712       -99.95  0.3991  14.967  0.01808
        62.200    -104.92  0.3178  14.493  0.01254       -99.03  0.3995  15.026  0.01700       -99.93  0.3991  14.972  0.01809
        62.400    -106.57  0.3167  13.862  0.01183       -99.04  0.3995  14.946  0.01682       -99.90  0.3991  14.981  0.01810
        62.600    -108.31  0.3156  13.988  0.01109       -99.11  0.3995  14.797  0.01655       -99.87  0.3991  14.977  0.01810
