 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1981                                        
 Date:  21. 3.    Time:  15:17:51
 Units: L = cm   , T = days , M = mmol 


   TLevel     Time           dt      Iter   ItCum  KodT  KodB  Convergency

      1  0.610200E+02  0.200000E-01    3       3    -4    -5     1
      2  0.610460E+02  0.260000E-01    3       6    -4    -5     1
      3  0.610798E+02  0.338000E-01    2       8    -4    -5     1
      4  0.611237E+02  0.439400E-01    2      10    -4    -5     1
      5  0.611809E+02  0.571220E-01    2      12    -4    -5     1
      6  0.612551E+02  0.742586E-01    2      14    -4    -5     1
      7  0.613482E+02  0.931101E-01    2      16    -4    -5     1
      8  0.614786E+02  0.130354E+00    2      18    -4    -5     1
      9  0.616524E+02  0.173805E+00    3      21    -4    -5     1
     10  0.618262E+02  0.173805E+00    3      24    -4    -5     1
     11  0.620000E+02  0.173805E+00    4      28    -4    -5     1
     12  0.622000E+02  0.200000E+00    4      32    -4    -5     1
     13  0.624000E+02  0.200000E+00    4      36    -4    -5     1
     14  0.626000E+02  0.199999E+00    4      40    -4    -5     1
     15  0.628000E+02  0.200001E+00    4      44    -4    -5     1
     16  0.630000E+02  0.200000E+00    4      48    -4    -5     1
     17  0.632000E+02  0.200000E+00    4      52    -4    -5     1
     18  0.634000E+02  0.200000E+00    4      56    -4    -5     1
     19  0.636000E+02  0.199999E+00    7      63     4    -5     1
     20  0.637333E+02  0.133334E+00    7      70     4    -5     1
     21  0.638222E+02  0.888888E-01    3      73     4    -5     1
     22  0.640000E+02  0.177778E+00    5      78     4    -5     1
     23  0.640200E+02  0.200000E-01    5      83    -4    -5     1
     24  0.640400E+02  0.200000E-01    6      89    -4    -5     1
     25  0.640600E+02  0.200000E-01    5      94    -4    -5     1
     26  0.640800E+02  0.200000E-01    5      99    -4    -5     1
     27  0.641000E+02  0.200000E-01    5     104    -4    -5     1
     28  0.641200E+02  0.200000E-01    4     108    -4    -5     1
     29  0.641400E+02  0.200000E-01    4     112    -4    -5     1
     30  0.641600E+02  0.200000E-01    4     116    -4    -5     1
     31  0.641800E+02  0.200000E-01    2     118    -4    -5     1
     32  0.642060E+02  0.260000E-01    4     122    -4    -5     1
     33  0.642320E+02  0.260000E-01    4     126    -4    -5     1
     34  0.642580E+02  0.260000E-01    4     130    -4    -5     1
     35  0.642840E+02  0.260000E-01    2     132    -4    -5     1
     36  0.643178E+02  0.338000E-01    3     135    -4    -5     1
     37  0.643617E+02  0.439400E-01    4     139    -4    -5     1
     38  0.644057E+02  0.439400E-01    4     143    -4    -5     1
     39  0.644496E+02  0.439400E-01    3     146    -4    -5     1
     40  0.645047E+02  0.550377E-01    4     150    -4    -5     1
     41  0.645597E+02  0.550385E-01    4     154    -4    -5     1
     42  0.646147E+02  0.550385E-01    3     157    -4    -5     1
     43  0.646918E+02  0.770538E-01    3     160    -4    -5     1
     44  0.647945E+02  0.102737E+00    4     164    -4    -5     1
     45  0.648973E+02  0.102737E+00    4     168    -4    -5     1
     46  0.650000E+02  0.102737E+00    3     171    -4    -5     1
     47  0.650200E+02  0.200000E-01    4     175    -4    -5     1
     48  0.650400E+02  0.200000E-01    2     177    -4    -5     1
     49  0.650660E+02  0.260000E-01    2     179    -4    -5     1
     50  0.650998E+02  0.338000E-01    2     181    -4    -5     1
     51  0.651437E+02  0.439400E-01    2     183    -4    -5     1
     52  0.652009E+02  0.571220E-01    2     185    -4    -5     1
     53  0.652751E+02  0.742586E-01    2     187    -4    -5     1
     54  0.653657E+02  0.906096E-01    2     189    -4    -5     1
     55  0.654926E+02  0.126854E+00    2     191    -4    -5     1
     56  0.656617E+02  0.169139E+00    2     193    -4    -5     1
     57  0.658309E+02  0.169140E+00    2     195    -4    -5     1
     58  0.660000E+02  0.169137E+00    2     197    -4    -5     1
     59  0.662500E+02  0.250000E+00    5     202    -4    -5     1
     60  0.665000E+02  0.250000E+00    4     206    -4    -5     1
     61  0.667500E+02  0.250000E+00    4     210    -4    -5     1
     62  0.670000E+02  0.250000E+00    4     214    -4    -5     1
     63  0.672500E+02  0.250000E+00    6     220    -4    -5     1
     64  0.675000E+02  0.250000E+00    7     227    -4    -5     1
     65  0.676667E+02  0.166667E+00    7     234     4    -5     1
     66  0.678333E+02  0.166668E+00    5     239     4    -5     1
     67  0.680000E+02  0.166665E+00    3     242     4    -5     1
     68  0.681667E+02  0.166667E+00    9     251     4    -5     1
     69  0.682857E+02  0.119048E+00    2     253     4    -5     1
     70  0.684643E+02  0.178572E+00    2     255     4    -5     1
     71  0.686429E+02  0.178571E+00    2     257     4    -5     1
