
       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cTop       cRoot       cBot      vProd    Sum(vProd) Sum(Sink)  TLevel
        [T]     [L3/L2/T]  [L3/L2/T]   [L3/L2]    [L3/L2]   [L3/L3]     [L3/L3]    [L3/L3]   [L3/L2/T]    [L3/L2]   [L3/L2]

       0.02000  0.369E-02 -0.289E-04  0.737E-04 -0.579E-06  0.330E-03  0.330E-03  0.330E-03  0.865E-01  0.173E-02  0.000E+00       1
       0.04600  0.162E-01 -0.282E-04  0.494E-03 -0.131E-05  0.330E-03  0.330E-03  0.330E-03  0.809E-01  0.383E-02  0.000E+00       2
       0.07980  0.173E-01 -0.265E-04  0.108E-02 -0.221E-05  0.330E-03  0.470E-03  0.330E-03  0.757E-01  0.639E-02  0.000E+00       3
       0.12374  0.230E-01 -0.271E-04  0.209E-02 -0.340E-05  0.330E-03  0.555E-03  0.330E-03  0.737E-01  0.963E-02  0.000E+00       4
       0.18086  0.254E-01 -0.271E-04  0.354E-02 -0.494E-05  0.330E-03  0.629E-03  0.330E-03  0.720E-01  0.137E-01  0.000E+00       5
       0.25512  0.310E-01 -0.272E-04  0.584E-02 -0.696E-05  0.330E-03  0.697E-03  0.330E-03  0.728E-01  0.191E-01  0.000E+00       6
       0.34823  0.361E-01 -0.272E-04  0.920E-02 -0.950E-05  0.330E-03  0.766E-03  0.330E-03  0.763E-01  0.263E-01  0.000E+00       7
       0.47858  0.451E-01 -0.272E-04  0.151E-01 -0.131E-04  0.330E-03  0.844E-03  0.330E-03  0.853E-01  0.374E-01  0.000E+00       8
       0.65239  0.562E-01 -0.272E-04  0.248E-01 -0.178E-04  0.330E-03  0.941E-03  0.330E-03  0.996E-01  0.547E-01  0.000E+00       9
       0.82619  0.673E-01 -0.273E-04  0.365E-01 -0.225E-04  0.330E-03  0.108E-02  0.330E-03  0.105E+00  0.730E-01  0.000E+00      10
       1.00000  0.648E-01 -0.273E-04  0.478E-01 -0.273E-04  0.330E-03  0.126E-02  0.330E-03  0.904E-01  0.887E-01  0.000E+00      11
       1.25000  0.557E-01 -0.273E-04  0.617E-01 -0.341E-04  0.330E-03  0.132E-02  0.330E-03  0.747E-01  0.107E+00  0.526E-06      12
       1.62500  0.561E-01 -0.273E-04  0.828E-01 -0.443E-04  0.330E-03  0.123E-02  0.330E-03  0.756E-01  0.136E+00  0.125E-05      13
       2.00000  0.646E-01 -0.273E-04  0.107E+00 -0.545E-04  0.330E-03  0.117E-02  0.330E-03  0.101E+00  0.174E+00  0.190E-05      14
       2.50000  0.837E-01 -0.273E-04  0.149E+00 -0.682E-04  0.330E-03  0.124E-02  0.330E-03  0.770E-01  0.212E+00  0.323E-05      15
       3.00000  0.525E-01 -0.273E-04  0.175E+00 -0.818E-04  0.330E-03  0.148E-02  0.330E-03  0.955E-01  0.260E+00  0.409E-05      16
       3.02000  0.857E-01 -0.302E-04  0.177E+00 -0.824E-04  0.330E-03  0.116E-02  0.330E-03  0.794E-01  0.262E+00  0.415E-05      17
       3.04000  0.523E-01 -0.296E-04  0.178E+00 -0.830E-04  0.330E-03  0.158E-02  0.330E-03  0.764E-01  0.263E+00  0.421E-05      18
       3.06000  0.534E-01 -0.269E-04  0.179E+00 -0.836E-04  0.330E-03  0.145E-02  0.330E-03  0.746E-01  0.265E+00  0.426E-05      19
       3.08000  0.461E-01 -0.312E-04  0.180E+00 -0.842E-04  0.330E-03  0.145E-02  0.330E-03  0.733E-01  0.266E+00  0.432E-05      20
       3.10000  0.453E-01 -0.344E-04  0.181E+00 -0.849E-04  0.330E-03  0.147E-02  0.330E-03  0.724E-01  0.268E+00  0.438E-05      21
       3.12000  0.422E-01 -0.328E-04  0.182E+00 -0.855E-04  0.330E-03  0.150E-02  0.330E-03  0.718E-01  0.269E+00  0.444E-05      22
       3.14000  0.413E-01 -0.317E-04  0.182E+00 -0.862E-04  0.330E-03  0.154E-02  0.330E-03  0.715E-01  0.270E+00  0.450E-05      23
       3.16000  0.398E-01 -0.316E-04  0.183E+00 -0.868E-04  0.330E-03  0.157E-02  0.330E-03  0.714E-01  0.272E+00  0.457E-05      24
       3.18000  0.392E-01 -0.253E-04  0.184E+00 -0.873E-04  0.330E-03  0.161E-02  0.330E-03  0.717E-01  0.273E+00  0.463E-05      25
       3.20600  0.383E-01 -0.254E-04  0.185E+00 -0.880E-04  0.330E-03  0.166E-02  0.330E-03  0.722E-01  0.275E+00  0.472E-05      26
       3.23200  0.380E-01 -0.291E-04  0.186E+00 -0.887E-04  0.330E-03  0.170E-02  0.330E-03  0.732E-01  0.277E+00  0.481E-05      27
       3.26580  0.377E-01 -0.288E-04  0.187E+00 -0.897E-04  0.330E-03  0.176E-02  0.330E-03  0.746E-01  0.280E+00  0.492E-05      28
       3.29960  0.381E-01 -0.313E-04  0.189E+00 -0.907E-04  0.330E-03  0.182E-02  0.330E-03  0.771E-01  0.282E+00  0.504E-05      29
       3.33340  0.387E-01 -0.302E-04  0.190E+00 -0.918E-04  0.330E-03  0.191E-02  0.330E-03  0.802E-01  0.285E+00  0.516E-05      30
       3.37734  0.395E-01 -0.305E-04  0.192E+00 -0.931E-04  0.330E-03  0.201E-02  0.330E-03  0.837E-01  0.289E+00  0.533E-05      31
       3.42128  0.409E-01 -0.319E-04  0.193E+00 -0.945E-04  0.330E-03  0.212E-02  0.330E-03  0.890E-01  0.292E+00  0.550E-05      32
       3.46522  0.426E-01 -0.308E-04  0.195E+00 -0.959E-04  0.330E-03  0.227E-02  0.330E-03  0.944E-01  0.297E+00  0.567E-05      33
       3.52464  0.439E-01 -0.307E-04  0.198E+00 -0.977E-04  0.330E-03  0.244E-02  0.330E-03  0.995E-01  0.303E+00  0.592E-05      34
       3.58406  0.454E-01 -0.311E-04  0.201E+00 -0.995E-04  0.330E-03  0.262E-02  0.330E-03  0.105E+00  0.309E+00  0.619E-05      35
       3.64348  0.460E-01 -0.309E-04  0.203E+00 -0.101E-03  0.330E-03  0.287E-02  0.330E-03  0.108E+00  0.315E+00  0.648E-05      36
       3.70290  0.451E-01 -0.316E-04  0.206E+00 -0.103E-03  0.330E-03  0.310E-02  0.330E-03  0.108E+00  0.322E+00  0.679E-05      37
       3.77717  0.426E-01 -0.320E-04  0.209E+00 -0.106E-03  0.330E-03  0.330E-02  0.330E-03  0.104E+00  0.329E+00  0.720E-05      38
       3.85145  0.391E-01 -0.315E-04  0.212E+00 -0.108E-03  0.330E-03  0.343E-02  0.330E-03  0.971E-01  0.337E+00  0.763E-05      39
       3.92573  0.349E-01 -0.311E-04  0.215E+00 -0.110E-03  0.330E-03  0.352E-02  0.330E-03  0.887E-01  0.343E+00  0.810E-05      40
       4.00000  0.312E-01 -0.307E-04  0.217E+00 -0.113E-03  0.330E-03  0.352E-02  0.330E-03  0.808E-01  0.349E+00  0.858E-05      41
       4.10000  0.356E-01 -0.286E-04  0.221E+00 -0.115E-03  0.330E-03  0.347E-02  0.330E-03  0.749E-01  0.357E+00  0.927E-05      42
       4.20000  0.451E-01 -0.273E-04  0.225E+00 -0.118E-03  0.330E-03  0.341E-02  0.330E-03  0.711E-01  0.364E+00  0.994E-05      43
       4.30000  0.526E-01 -0.274E-04  0.230E+00 -0.121E-03  0.330E-03  0.334E-02  0.330E-03  0.728E-01  0.371E+00  0.106E-04      44
       4.40000  0.600E-01 -0.276E-04  0.236E+00 -0.124E-03  0.330E-03  0.324E-02  0.330E-03  0.801E-01  0.379E+00  0.112E-04      45
       4.52000  0.695E-01 -0.278E-04  0.245E+00 -0.127E-03  0.330E-03  0.320E-02  0.330E-03  0.913E-01  0.390E+00  0.118E-04      46
       4.68000  0.780E-01 -0.276E-04  0.257E+00 -0.131E-03  0.330E-03  0.322E-02  0.330E-03  0.104E+00  0.407E+00  0.126E-04      47
       4.84000  0.816E-01 -0.274E-04  0.270E+00 -0.136E-03  0.330E-03  0.357E-02  0.330E-03  0.105E+00  0.423E+00  0.135E-04      48
       5.00000  0.744E-01 -0.273E-04  0.282E+00 -0.140E-03  0.330E-03  0.356E-02  0.330E-03  0.895E-01  0.438E+00  0.143E-04      49
       5.20000  0.673E-01 -0.272E-04  0.296E+00 -0.146E-03  0.330E-03  0.335E-02  0.330E-03  0.751E-01  0.453E+00  0.155E-04      50
       5.46667  0.682E-01 -0.273E-04  0.314E+00 -0.153E-03  0.330E-03  0.302E-02  0.330E-03  0.732E-01  0.472E+00  0.168E-04      51
       6.00000  0.762E-01 -0.274E-04  0.354E+00 -0.167E-03  0.330E-03  0.279E-02  0.330E-03  0.976E-01  0.524E+00  0.191E-04      52
       6.33333  0.880E-01 -0.273E-04  0.384E+00 -0.177E-03  0.330E-03  0.276E-02  0.330E-03  0.778E-01  0.550E+00  0.210E-04      53
       7.00000  0.644E-01 -0.273E-04  0.427E+00 -0.195E-03  0.330E-03  0.284E-02  0.330E-03  0.822E-01  0.605E+00  0.239E-04      54
       7.50000  0.887E-01 -0.273E-04  0.471E+00 -0.208E-03  0.330E-03  0.241E-02  0.330E-03  0.742E-01  0.642E+00  0.265E-04      55
