 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1982                                        
 Date:  21. 3.    Time:  15:17:45
 Units: L = cm   , T = days , M = mmol 


 Time:       0.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  96     0.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.9073E-02
  95    -1.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.8169E-02
  94    -2.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.7355E-02
  93    -3.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.6622E-02
  92    -4.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.5962E-02
  91    -5.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.5367E-02
  90    -6.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.4832E-02
  89    -7.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.4351E-02
  88    -8.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3917E-02
  87    -9.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3527E-02
  86   -10.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3175E-02
  85   -11.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2859E-02
  84   -12.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2574E-02
  83   -13.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2317E-02
  82   -14.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2086E-02
  81   -15.00    -100.000 0.3211   0.4836E-01  0.7055E-03 -0.4836E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1878E-02
