 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1982                                        
 Date:  21. 3.    Time:  15:17:45
 Units: L = cm   , T = days , M = mmol 

       Time        rTop      rRoot      vTop       vRoot      vBot     sum(rTop) sum(rRoot)  sum(vTop) sum(vRoot)  sum(vBot)    hTop       hRoot      hBot      t-level
        [T]       [L/T]      [L/T]      [L/T]      [L/T]      [L/T]       [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]

       0.02000  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.314E-03  0.000E+00  0.314E-03  0.000E+00 -0.638E-03 -0.102E+03 -0.100E+03 -0.100E+03       1
       0.04600  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.722E-03  0.000E+00  0.722E-03  0.000E+00 -0.147E-02 -0.102E+03 -0.100E+03 -0.100E+03       2
       0.07980  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.125E-02  0.000E+00  0.125E-02  0.000E+00 -0.255E-02 -0.103E+03 -0.101E+03 -0.100E+03       3
       0.12374  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.194E-02  0.000E+00  0.194E-02  0.000E+00 -0.395E-02 -0.104E+03 -0.101E+03 -0.100E+03       4
       0.18086  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.284E-02  0.000E+00  0.284E-02  0.000E+00 -0.577E-02 -0.105E+03 -0.102E+03 -0.100E+03       5
       0.25512  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.401E-02  0.000E+00  0.401E-02  0.000E+00 -0.814E-02 -0.106E+03 -0.102E+03 -0.100E+03       6
       0.34823  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.547E-02  0.000E+00  0.547E-02  0.000E+00 -0.111E-01 -0.107E+03 -0.103E+03 -0.100E+03       7
       0.47858  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.751E-02  0.000E+00  0.751E-02  0.000E+00 -0.153E-01 -0.109E+03 -0.104E+03 -0.100E+03       8
       0.65239  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.102E-01  0.000E+00  0.102E-01  0.000E+00 -0.208E-01 -0.110E+03 -0.105E+03 -0.100E+03       9
       0.82619  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.130E-01  0.000E+00  0.130E-01  0.000E+00 -0.264E-01 -0.111E+03 -0.107E+03 -0.100E+03      10
       1.00000  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01  0.157E-01  0.000E+00  0.157E-01  0.000E+00 -0.319E-01 -0.113E+03 -0.108E+03 -0.100E+03      11
       1.25000  0.145E-01  0.117E-02  0.145E-01  0.117E-02 -0.319E-01  0.193E-01  0.291E-03  0.193E-01  0.291E-03 -0.399E-01 -0.114E+03 -0.109E+03 -0.100E+03      12
       1.62500  0.145E-01  0.117E-02  0.145E-01  0.117E-02 -0.319E-01  0.248E-01  0.728E-03  0.248E-01  0.728E-03 -0.519E-01 -0.116E+03 -0.110E+03 -0.100E+03      13
       2.00000  0.145E-01  0.117E-02  0.145E-01  0.117E-02 -0.319E-01  0.302E-01  0.117E-02  0.302E-01  0.117E-02 -0.638E-01 -0.118E+03 -0.112E+03 -0.100E+03      14
       2.50000  0.145E-01  0.121E-02  0.145E-01  0.121E-02 -0.319E-01  0.375E-01  0.177E-02  0.375E-01  0.177E-02 -0.798E-01 -0.120E+03 -0.114E+03 -0.100E+03      15
       3.00000  0.145E-01  0.121E-02  0.145E-01  0.121E-02 -0.319E-01  0.447E-01  0.238E-02  0.447E-01  0.238E-02 -0.958E-01 -0.122E+03 -0.116E+03 -0.100E+03      16
       3.02000 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01  0.190E-01  0.240E-02  0.190E-01  0.240E-02 -0.964E-01 -0.912E+02 -0.118E+03 -0.100E+03      17
       3.04000 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.670E-02  0.243E-02 -0.670E-02  0.243E-02 -0.970E-01 -0.792E+02 -0.113E+03 -0.100E+03      18
       3.06000 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.324E-01  0.245E-02 -0.324E-01  0.245E-02 -0.977E-01 -0.723E+02 -0.107E+03 -0.100E+03      19
       3.08000 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.581E-01  0.248E-02 -0.581E-01  0.248E-02 -0.983E-01 -0.676E+02 -0.101E+03 -0.100E+03      20
       3.10000 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.838E-01  0.250E-02 -0.838E-01  0.250E-02 -0.990E-01 -0.638E+02 -0.952E+02 -0.100E+03      21
       3.12000 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.110E+00  0.253E-02 -0.110E+00  0.253E-02 -0.996E-01 -0.608E+02 -0.900E+02 -0.100E+03      22
       3.14000 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.135E+00  0.255E-02 -0.135E+00  0.255E-02 -0.100E+00 -0.582E+02 -0.853E+02 -0.100E+03      23
       3.16000 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.161E+00  0.258E-02 -0.161E+00  0.258E-02 -0.101E+00 -0.561E+02 -0.811E+02 -0.100E+03      24
       3.18000 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.187E+00  0.260E-02 -0.187E+00  0.260E-02 -0.102E+00 -0.542E+02 -0.774E+02 -0.100E+03      25
       3.20600 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.220E+00  0.264E-02 -0.220E+00  0.264E-02 -0.102E+00 -0.521E+02 -0.740E+02 -0.100E+03      26
       3.23200 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.254E+00  0.267E-02 -0.254E+00  0.267E-02 -0.103E+00 -0.503E+02 -0.702E+02 -0.100E+03      27
       3.26580 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.297E+00  0.271E-02 -0.297E+00  0.271E-02 -0.104E+00 -0.482E+02 -0.668E+02 -0.100E+03      28
       3.29960 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.340E+00  0.275E-02 -0.340E+00  0.275E-02 -0.105E+00 -0.464E+02 -0.630E+02 -0.100E+03      29
       3.33340 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.384E+00  0.280E-02 -0.384E+00  0.280E-02 -0.106E+00 -0.448E+02 -0.598E+02 -0.100E+03      30
       3.37734 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.440E+00  0.285E-02 -0.440E+00  0.285E-02 -0.108E+00 -0.431E+02 -0.570E+02 -0.100E+03      31
       3.42128 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.497E+00  0.291E-02 -0.497E+00  0.291E-02 -0.109E+00 -0.416E+02 -0.539E+02 -0.100E+03      32
       3.46522 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.553E+00  0.296E-02 -0.553E+00  0.296E-02 -0.111E+00 -0.403E+02 -0.513E+02 -0.100E+03      33
       3.52464 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.630E+00  0.304E-02 -0.630E+00  0.304E-02 -0.113E+00 -0.387E+02 -0.490E+02 -0.100E+03      34
       3.58406 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.706E+00  0.311E-02 -0.706E+00  0.311E-02 -0.114E+00 -0.373E+02 -0.464E+02 -0.100E+03      35
       3.64348 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.783E+00  0.319E-02 -0.783E+00  0.319E-02 -0.116E+00 -0.361E+02 -0.442E+02 -0.100E+03      36
       3.70290 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.859E+00  0.326E-02 -0.859E+00  0.326E-02 -0.118E+00 -0.350E+02 -0.422E+02 -0.100E+03      37
       3.77717 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.954E+00  0.336E-02 -0.954E+00  0.336E-02 -0.121E+00 -0.339E+02 -0.406E+02 -0.100E+03      38
       3.85145 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.105E+01  0.345E-02 -0.105E+01  0.345E-02 -0.123E+00 -0.329E+02 -0.388E+02 -0.100E+03      39
       3.92573 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.115E+01  0.354E-02 -0.115E+01  0.354E-02 -0.125E+00 -0.320E+02 -0.373E+02 -0.100E+03      40
       4.00000 -0.129E+01  0.126E-02 -0.129E+01  0.126E-02 -0.319E-01 -0.124E+01  0.364E-02 -0.124E+01  0.364E-02 -0.128E+00 -0.312E+02 -0.359E+02 -0.100E+03      41
       4.10000  0.144E-01  0.131E-02  0.144E-01  0.131E-02 -0.319E-01 -0.124E+01  0.377E-02 -0.124E+01  0.377E-02 -0.131E+00 -0.419E+02 -0.347E+02 -0.100E+03      42
       4.20000  0.144E-01  0.131E-02  0.144E-01  0.131E-02 -0.319E-01 -0.124E+01  0.390E-02 -0.124E+01  0.390E-02 -0.134E+00 -0.470E+02 -0.410E+02 -0.100E+03      43
       4.30000  0.144E-01  0.131E-02  0.144E-01  0.131E-02 -0.319E-01 -0.124E+01  0.403E-02 -0.124E+01  0.403E-02 -0.137E+00 -0.511E+02 -0.454E+02 -0.100E+03      44
